LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AK: ANCHORAGE,01/01/2019 00:15:00,31.00,674.00,408.00,125.00,66.00,41.00,58.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 01:16:00,31.00,660.00,401.00,121.00,66.00,41.00,56.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 02:16:00,29.00,654.00,394.00,120.00,64.00,40.00,56.00,48.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 03:16:00,32.00,657.00,389.00,118.00,62.00,39.00,56.00,47.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 04:16:00,31.00,648.00,389.00,117.00,63.00,39.00,56.00,46.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 05:17:00,32.00,649.00,388.00,121.00,63.00,38.00,55.00,49.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 06:17:00,30.00,651.00,389.00,118.00,62.00,39.00,54.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 07:17:00,33.00,658.00,390.00,119.00,63.00,40.00,57.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 08:17:00,35.00,654.00,393.00,123.00,63.00,38.00,55.00,46.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 09:17:00,33.00,659.00,394.00,120.00,62.00,39.00,56.00,46.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 10:18:00,31.00,664.00,385.00,122.00,63.00,40.00,56.00,47.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 11:18:00,33.00,667.00,398.00,122.00,63.00,40.00,56.00,48.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 12:18:00,33.00,666.00,412.00,123.00,65.00,41.00,57.00,47.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 13:18:00,35.00,672.00,405.00,124.00,66.00,39.00,57.00,49.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 14:19:00,35.00,669.00,396.00,123.00,63.00,39.00,58.00,49.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 15:19:00,36.00,660.00,403.00,122.00,64.00,39.00,59.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 16:19:00,36.00,671.00,412.00,127.00,64.00,41.00,58.00,49.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 17:19:00,34.00,677.00,411.00,126.00,67.00,41.00,59.00,49.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 18:19:00,34.00,673.00,411.00,126.00,66.00,41.00,59.00,50.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 19:20:00,33.00,672.00,407.00,123.00,65.00,42.00,58.00,47.00,27.00,APPROVED
AK: ANCHORAGE,01/01/2019 20:20:00,34.00,675.00,400.00,123.00,63.00,41.00,57.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 21:20:00,37.00,662.00,399.00,123.00,62.00,41.00,59.00,48.00,25.00,APPROVED
AK: ANCHORAGE,01/01/2019 22:20:00,33.00,655.00,388.00,119.00,62.00,38.00,57.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/01/2019 23:21:00,34.00,654.00,385.00,121.00,62.00,39.00,57.00,49.00,25.00,APPROVED
AK: ANCHORAGE,01/02/2019 00:21:00,33.00,664.00,394.00,121.00,64.00,41.00,57.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/02/2019 01:21:00,34.00,675.00,403.00,125.00,65.00,40.00,57.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/02/2019 02:21:00,34.00,662.00,393.00,122.00,61.00,40.00,56.00,49.00,27.00,APPROVED
AK: ANCHORAGE,01/02/2019 03:22:00,34.00,657.00,391.00,121.00,63.00,38.00,56.00,48.00,25.00,APPROVED
AK: ANCHORAGE,01/02/2019 04:22:00,33.00,661.00,390.00,122.00,62.00,39.00,56.00,48.00,26.00,APPROVED
AK: ANCHORAGE,01/02/2019 05:22:00,33.00,657.00,389.00,121.00,62.00,40.00,58.00,47.00,27.00,APPROVED
AK: ANCHORAGE,01/02/2019 06:22:00,31.00,666.00,388.00,124.00,63.00,39.00,57.00,48.00,27.00,APPROVED
AK: ANCHORAGE,01/02/2019 07:22:00,32.00,667.00,396.00,124.00,63.00,38.00,56.00,45.00,26.00,APPROVED
AK: ANCHORAGE,01/02/2019 08:23:00,31.00,663.00,392.00,121.00,63.00,40.00,57.00,49.00,26.00,APPROVED
AK: ANCHORAGE,01/02/2019 09:23:00,33.00,666.00,389.00,120.00,62.00,40.00,58.00,47.00,25.00,APPROVED
AK: ANCHORAGE,01/02/2019 10:23:00,32.00,659.00,394.00,123.00,62.00,39.00,57.00,48.00,25.00,APPROVED
