LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AK: FAIRBANKS,01/01/2018 00:16:00,42.00,1049.00,704.00,203.00,134.00,70.00,102.00,75.00,49.00,APPROVED
AK: FAIRBANKS,01/01/2018 01:17:00,42.00,1034.00,692.00,203.00,129.00,71.00,98.00,76.00,48.00,APPROVED
AK: FAIRBANKS,01/01/2018 02:17:00,42.00,1017.00,662.00,194.00,121.00,70.00,95.00,72.00,47.00,APPROVED
AK: FAIRBANKS,01/01/2018 03:17:00,41.00,987.00,624.00,186.00,114.00,65.00,91.00,69.00,48.00,APPROVED
AK: FAIRBANKS,01/01/2018 04:17:00,40.00,971.00,613.00,180.00,110.00,62.00,90.00,68.00,50.00,APPROVED
AK: FAIRBANKS,01/01/2018 05:18:00,41.00,964.00,599.00,178.00,110.00,63.00,89.00,65.00,52.00,APPROVED
AK: FAIRBANKS,01/01/2018 06:18:00,41.00,955.00,595.00,174.00,105.00,63.00,84.00,63.00,51.00,APPROVED
AK: FAIRBANKS,01/01/2018 07:18:00,39.00,962.00,590.00,178.00,106.00,60.00,85.00,62.00,51.00,APPROVED
AK: FAIRBANKS,01/01/2018 08:18:00,41.00,964.00,594.00,175.00,106.00,61.00,87.00,67.00,49.00,APPROVED
AK: FAIRBANKS,01/01/2018 09:18:00,40.00,991.00,630.00,187.00,114.00,63.00,90.00,74.00,46.00,APPROVED
AK: FAIRBANKS,01/01/2018 10:19:00,41.00,1014.00,654.00,194.00,119.00,65.00,93.00,76.00,42.00,APPROVED
AK: FAIRBANKS,01/01/2018 11:19:00,40.00,1014.00,652.00,192.00,117.00,66.00,95.00,75.00,44.00,APPROVED
AK: FAIRBANKS,01/01/2018 12:19:00,41.00,984.00,628.00,186.00,114.00,63.00,91.00,71.00,46.00,APPROVED
AK: FAIRBANKS,01/01/2018 13:19:00,42.00,997.00,647.00,189.00,119.00,66.00,94.00,73.00,45.00,APPROVED
AK: FAIRBANKS,01/01/2018 14:20:00,42.00,1033.00,678.00,198.00,125.00,68.00,98.00,77.00,42.00,APPROVED
AK: FAIRBANKS,01/01/2018 15:20:00,42.00,1037.00,686.00,202.00,125.00,68.00,100.00,80.00,43.00,APPROVED
AK: FAIRBANKS,01/01/2018 16:20:00,43.00,1060.00,702.00,207.00,132.00,72.00,100.00,79.00,44.00,APPROVED
AK: FAIRBANKS,01/01/2018 17:20:00,44.00,1077.00,734.00,216.00,135.00,72.00,106.00,81.00,43.00,APPROVED
AK: FAIRBANKS,01/01/2018 18:21:00,44.00,1079.00,730.00,216.00,134.00,72.00,107.00,82.00,43.00,APPROVED
AK: FAIRBANKS,01/01/2018 19:21:00,46.00,1120.00,762.00,227.00,142.00,75.00,113.00,86.00,43.00,APPROVED
AK: FAIRBANKS,01/01/2018 21:21:00,45.00,1115.00,766.00,221.00,142.00,76.00,110.00,83.00,44.00,APPROVED
AK: FAIRBANKS,01/01/2018 23:22:00,46.00,1129.00,762.00,222.00,139.00,75.00,108.00,83.00,42.00,APPROVED
AK: FAIRBANKS,01/02/2018 00:22:00,48.00,1171.00,789.00,227.00,142.00,75.00,111.00,81.00,45.00,APPROVED
AK: FAIRBANKS,01/02/2018 01:22:00,46.00,1177.00,785.00,226.00,139.00,75.00,109.00,84.00,45.00,APPROVED
AK: FAIRBANKS,01/02/2018 02:22:00,44.00,1152.00,782.00,220.00,141.00,75.00,107.00,84.00,42.00,APPROVED
AK: FAIRBANKS,01/02/2018 03:23:00,44.00,1139.00,757.00,220.00,136.00,74.00,108.00,83.00,41.00,APPROVED
AK: FAIRBANKS,01/02/2018 04:23:00,43.00,1122.00,753.00,223.00,134.00,74.00,107.00,84.00,45.00,APPROVED
AK: FAIRBANKS,01/02/2018 05:23:00,44.00,1120.00,757.00,222.00,139.00,75.00,109.00,81.00,46.00,APPROVED
AK: FAIRBANKS,01/02/2018 06:23:00,42.00,1109.00,748.00,219.00,136.00,74.00,108.00,79.00,47.00,APPROVED
AK: FAIRBANKS,01/02/2018 07:24:00,45.00,1080.00,729.00,212.00,131.00,71.00,105.00,78.00,49.00,APPROVED
AK: FAIRBANKS,01/02/2018 08:24:00,45.00,1076.00,721.00,208.00,132.00,72.00,102.00,74.00,49.00,APPROVED
AK: FAIRBANKS,01/02/2018 09:24:00,45.00,1076.00,721.00,211.00,136.00,71.00,100.00,73.00,55.00,APPROVED
AK: FAIRBANKS,01/02/2018 10:24:00,45.00,1069.00,728.00,214.00,136.00,74.00,102.00,73.00,56.00,APPROVED
AK: FAIRBANKS,01/02/2018 11:24:00,46.00,1058.00,720.00,207.00,133.00,72.00,102.00,71.00,56.00,APPROVED
AK: FAIRBANKS,01/02/2018 12:25:00,44.00,1040.00,692.00,203.00,127.00,69.00,98.00,70.00,52.00,APPROVED
AK: FAIRBANKS,01/02/2018 13:25:00,44.00,1035.00,684.00,201.00,130.00,69.00,98.00,69.00,56.00,APPROVED
AK: FAIRBANKS,01/02/2018 14:25:00,44.00,1026.00,691.00,200.00,130.00,70.00,101.00,69.00,55.00,APPROVED
AK: FAIRBANKS,01/02/2018 15:25:00,45.00,1022.00,695.00,204.00,132.00,72.00,101.00,67.00,56.00,APPROVED
AK: FAIRBANKS,01/02/2018 16:26:00,44.00,991.00,671.00,199.00,129.00,71.00,98.00,67.00,59.00,APPROVED
AK: FAIRBANKS,01/02/2018 17:26:00,43.00,992.00,657.00,194.00,124.00,67.00,95.00,65.00,59.00,APPROVED
AK: FAIRBANKS,01/02/2018 18:26:00,44.00,975.00,657.00,196.00,123.00,70.00,97.00,65.00,60.00,APPROVED
AK: FAIRBANKS,01/02/2018 20:27:00,43.00,940.00,613.00,182.00,115.00,64.00,91.00,60.00,57.00,APPROVED
AK: FAIRBANKS,01/02/2018 21:27:00,41.00,923.00,580.00,173.00,107.00,63.00,87.00,59.00,57.00,APPROVED
AK: FAIRBANKS,01/02/2018 22:27:00,39.00,877.00,551.00,170.00,103.00,60.00,80.00,55.00,56.00,APPROVED
AK: FAIRBANKS,01/02/2018 23:27:00,40.00,854.00,520.00,156.00,96.00,54.00,77.00,52.00,56.00,APPROVED
AK: FAIRBANKS,01/03/2018 02:28:00,37.00,824.00,476.00,142.00,82.00,52.00,70.00,48.00,47.00,APPROVED
