LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AK: JUNEAU,01/01/2018 00:27:00,,1232.00,635.00,189.00,94.00,62.00,82.00,49.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 01:27:00,,1236.00,642.00,188.00,96.00,62.00,83.00,50.00,35.00,APPROVED
AK: JUNEAU,01/01/2018 02:28:00,,1242.00,642.00,187.00,96.00,63.00,82.00,50.00,35.00,APPROVED
AK: JUNEAU,01/01/2018 03:28:00,,1236.00,639.00,185.00,97.00,61.00,81.00,50.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 04:28:00,,1236.00,635.00,190.00,98.00,62.00,79.00,50.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 05:28:00,,1242.00,652.00,186.00,97.00,62.00,83.00,51.00,34.00,APPROVED
AK: JUNEAU,01/01/2018 06:28:00,,1298.00,687.00,202.00,106.00,65.00,87.00,52.00,37.00,APPROVED
AK: JUNEAU,01/01/2018 07:29:00,,1299.00,700.00,207.00,107.00,65.00,87.00,51.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 08:29:00,,1322.00,728.00,206.00,112.00,67.00,90.00,53.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 09:29:00,,1341.00,736.00,215.00,116.00,68.00,90.00,57.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 10:29:00,,1328.00,736.00,215.00,114.00,68.00,91.00,55.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 11:29:00,,1447.00,828.00,239.00,131.00,74.00,101.00,60.00,37.00,APPROVED
AK: JUNEAU,01/01/2018 12:30:00,,1536.00,913.00,259.00,145.00,80.00,110.00,64.00,38.00,APPROVED
AK: JUNEAU,01/01/2018 13:30:00,,1491.00,863.00,253.00,141.00,80.00,109.00,61.00,39.00,APPROVED
AK: JUNEAU,01/01/2018 14:30:00,,1341.00,745.00,222.00,119.00,68.00,97.00,57.00,38.00,APPROVED
AK: JUNEAU,01/01/2018 15:30:00,,1306.00,710.00,206.00,114.00,67.00,88.00,54.00,35.00,APPROVED
AK: JUNEAU,01/01/2018 16:30:00,,1232.00,650.00,196.00,99.00,60.00,84.00,49.00,34.00,APPROVED
AK: JUNEAU,01/01/2018 17:31:00,,1231.00,643.00,191.00,98.00,61.00,82.00,50.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 18:31:00,,1241.00,647.00,189.00,103.00,61.00,83.00,51.00,35.00,APPROVED
AK: JUNEAU,01/01/2018 19:31:00,,1190.00,620.00,184.00,94.00,60.00,80.00,48.00,34.00,APPROVED
AK: JUNEAU,01/01/2018 20:31:00,,1172.00,595.00,175.00,90.00,58.00,77.00,49.00,35.00,APPROVED
AK: JUNEAU,01/01/2018 21:31:00,,1169.00,601.00,176.00,92.00,58.00,79.00,49.00,36.00,APPROVED
AK: JUNEAU,01/01/2018 22:32:00,,1168.00,600.00,175.00,94.00,60.00,77.00,48.00,34.00,APPROVED
AK: JUNEAU,01/01/2018 23:32:00,,1227.00,659.00,195.00,102.00,61.00,82.00,53.00,35.00,APPROVED
AK: JUNEAU,01/02/2018 00:32:00,,1301.00,713.00,209.00,112.00,67.00,89.00,55.00,36.00,APPROVED
AK: JUNEAU,01/02/2018 01:32:00,,1342.00,759.00,217.00,118.00,71.00,92.00,57.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 02:33:00,,1270.00,690.00,203.00,112.00,68.00,87.00,54.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 03:33:00,,1174.00,613.00,180.00,93.00,60.00,78.00,50.00,34.00,APPROVED
AK: JUNEAU,01/02/2018 04:33:00,,1161.00,605.00,178.00,93.00,60.00,77.00,51.00,34.00,APPROVED
AK: JUNEAU,01/02/2018 05:33:00,,1194.00,634.00,184.00,102.00,63.00,82.00,53.00,35.00,APPROVED
AK: JUNEAU,01/02/2018 06:33:00,,1254.00,695.00,200.00,109.00,66.00,85.00,53.00,36.00,APPROVED
AK: JUNEAU,01/02/2018 07:34:00,,1283.00,722.00,211.00,115.00,68.00,91.00,56.00,36.00,APPROVED
AK: JUNEAU,01/02/2018 08:34:00,,1282.00,718.00,210.00,119.00,68.00,89.00,57.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 09:34:00,,1258.00,698.00,203.00,112.00,67.00,88.00,54.00,38.00,APPROVED
AK: JUNEAU,01/02/2018 10:34:00,,1230.00,668.00,196.00,108.00,64.00,89.00,56.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 11:34:00,,1219.00,670.00,196.00,107.00,66.00,87.00,54.00,35.00,APPROVED
AK: JUNEAU,01/02/2018 12:35:00,,1244.00,698.00,201.00,109.00,68.00,89.00,57.00,36.00,APPROVED
AK: JUNEAU,01/02/2018 13:35:00,,1237.00,669.00,204.00,108.00,67.00,85.00,53.00,36.00,APPROVED
AK: JUNEAU,01/02/2018 14:35:00,,1238.00,688.00,205.00,109.00,68.00,87.00,56.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 15:35:00,,1290.00,718.00,210.00,117.00,69.00,90.00,56.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 16:35:00,,1308.00,742.00,216.00,117.00,74.00,93.00,58.00,35.00,APPROVED
AK: JUNEAU,01/02/2018 17:36:00,,1332.00,752.00,217.00,122.00,72.00,93.00,57.00,38.00,APPROVED
AK: JUNEAU,01/02/2018 18:36:00,,1336.00,771.00,222.00,125.00,71.00,98.00,59.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 19:36:00,,1326.00,762.00,222.00,122.00,71.00,97.00,60.00,38.00,APPROVED
AK: JUNEAU,01/02/2018 20:36:00,,1349.00,779.00,224.00,128.00,74.00,98.00,61.00,38.00,APPROVED
AK: JUNEAU,01/02/2018 21:36:00,,1320.00,738.00,215.00,121.00,71.00,96.00,58.00,38.00,APPROVED
AK: JUNEAU,01/02/2018 22:37:00,,1277.00,703.00,205.00,115.00,66.00,89.00,56.00,37.00,APPROVED
AK: JUNEAU,01/02/2018 23:37:00,,1219.00,660.00,196.00,105.00,67.00,84.00,56.00,35.00,APPROVED
AK: JUNEAU,01/03/2018 00:37:00,,1177.00,627.00,187.00,96.00,61.00,79.00,54.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 01:37:00,,1167.00,616.00,183.00,97.00,61.00,78.00,52.00,35.00,APPROVED
AK: JUNEAU,01/03/2018 02:37:00,,1187.00,630.00,185.00,95.00,62.00,80.00,53.00,35.00,APPROVED
AK: JUNEAU,01/03/2018 03:38:00,,1241.00,682.00,200.00,110.00,67.00,85.00,53.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 04:38:00,,1274.00,715.00,209.00,115.00,70.00,89.00,56.00,37.00,APPROVED
AK: JUNEAU,01/03/2018 05:38:00,,1326.00,753.00,220.00,120.00,71.00,95.00,60.00,38.00,APPROVED
AK: JUNEAU,01/03/2018 06:38:00,,1353.00,774.00,222.00,124.00,72.00,95.00,59.00,37.00,APPROVED
AK: JUNEAU,01/03/2018 07:39:00,,1304.00,738.00,217.00,118.00,70.00,94.00,58.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 08:39:00,,1299.00,738.00,215.00,119.00,70.00,92.00,58.00,38.00,APPROVED
AK: JUNEAU,01/03/2018 09:39:00,,1341.00,764.00,221.00,124.00,72.00,94.00,60.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 10:39:00,,1342.00,769.00,222.00,125.00,72.00,96.00,62.00,37.00,APPROVED
AK: JUNEAU,01/03/2018 11:39:00,,1336.00,770.00,223.00,121.00,72.00,97.00,59.00,38.00,APPROVED
AK: JUNEAU,01/03/2018 12:40:00,,1299.00,735.00,212.00,119.00,73.00,92.00,59.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 13:40:00,,1249.00,689.00,204.00,111.00,65.00,86.00,55.00,37.00,APPROVED
AK: JUNEAU,01/03/2018 14:40:00,,1248.00,681.00,204.00,107.00,67.00,88.00,56.00,35.00,APPROVED
AK: JUNEAU,01/03/2018 15:40:00,,1220.00,667.00,197.00,107.00,64.00,86.00,55.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 16:40:00,,1187.00,634.00,189.00,98.00,63.00,82.00,54.00,37.00,APPROVED
AK: JUNEAU,01/03/2018 17:41:00,,1247.00,687.00,197.00,106.00,68.00,86.00,57.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 18:41:00,,1239.00,674.00,199.00,108.00,66.00,88.00,55.00,36.00,APPROVED
AK: JUNEAU,01/03/2018 19:41:00,,1217.00,659.00,194.00,104.00,63.00,86.00,54.00,35.00,APPROVED
