LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AL: BIRMINGHAM,01/01/2026 00:55:00,61.00,1907.00,963.00,282.00,133.00,85.00,106.00,58.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 01:55:00,58.00,1914.00,952.00,277.00,132.00,85.00,106.00,55.00,32.00,APPROVED
AL: BIRMINGHAM,01/01/2026 02:55:00,58.00,1919.00,952.00,282.00,131.00,87.00,107.00,54.00,32.00,APPROVED
AL: BIRMINGHAM,01/01/2026 03:55:00,61.00,1913.00,951.00,283.00,126.00,85.00,107.00,53.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 04:55:00,60.00,1923.00,948.00,278.00,131.00,83.00,108.00,53.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 05:55:00,60.00,1937.00,948.00,281.00,129.00,85.00,109.00,54.00,35.00,APPROVED
AL: BIRMINGHAM,01/01/2026 06:55:00,59.00,1929.00,959.00,285.00,128.00,85.00,108.00,51.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 07:55:00,63.00,1966.00,971.00,289.00,130.00,87.00,109.00,55.00,36.00,APPROVED
AL: BIRMINGHAM,01/01/2026 08:55:00,64.00,1990.00,980.00,294.00,135.00,87.00,114.00,52.00,36.00,APPROVED
AL: BIRMINGHAM,01/01/2026 09:55:00,62.00,1987.00,1000.00,297.00,135.00,88.00,111.00,53.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 10:55:00,65.00,2016.00,1002.00,301.00,136.00,91.00,113.00,57.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 11:55:00,65.00,2019.00,1010.00,298.00,138.00,91.00,115.00,55.00,36.00,APPROVED
AL: BIRMINGHAM,01/01/2026 12:55:00,62.00,2027.00,1008.00,297.00,135.00,87.00,116.00,54.00,35.00,APPROVED
AL: BIRMINGHAM,01/01/2026 13:55:00,65.00,2042.00,1028.00,302.00,138.00,90.00,117.00,54.00,35.00,APPROVED
AL: BIRMINGHAM,01/01/2026 14:55:00,64.00,2029.00,1020.00,301.00,136.00,90.00,114.00,53.00,35.00,APPROVED
AL: BIRMINGHAM,01/01/2026 15:55:00,58.00,1999.00,999.00,294.00,140.00,90.00,110.00,59.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 16:55:00,60.00,2018.00,1015.00,294.00,140.00,89.00,107.00,64.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 17:55:00,60.00,1997.00,1018.00,290.00,140.00,88.00,108.00,64.00,32.00,APPROVED
AL: BIRMINGHAM,01/01/2026 18:55:00,58.00,1968.00,1014.00,289.00,143.00,89.00,105.00,65.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 19:55:00,59.00,1963.00,1006.00,286.00,146.00,88.00,104.00,66.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 20:55:00,58.00,1934.00,993.00,281.00,138.00,88.00,102.00,66.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 21:56:00,57.00,1941.00,1013.00,284.00,142.00,88.00,104.00,66.00,34.00,APPROVED
AL: BIRMINGHAM,01/01/2026 22:56:00,56.00,1943.00,1002.00,283.00,142.00,87.00,101.00,65.00,33.00,APPROVED
AL: BIRMINGHAM,01/01/2026 23:56:00,61.00,1950.00,998.00,288.00,139.00,88.00,105.00,63.00,33.00,APPROVED
