LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AL: MOBILE,01/01/2018 11:20:00,,2393.00,1132.00,325.00,145.00,83.00,100.00,56.00,45.00,APPROVED
AL: MOBILE,01/01/2018 12:20:00,,2496.00,1120.00,326.00,146.00,81.00,102.00,57.00,46.00,APPROVED
AL: MOBILE,01/01/2018 13:20:00,,2665.00,1109.00,325.00,141.00,83.00,101.00,54.00,44.00,APPROVED
AL: MOBILE,01/01/2018 14:20:00,,2839.00,1111.00,320.00,139.00,81.00,102.00,54.00,43.00,APPROVED
AL: MOBILE,01/01/2018 15:20:00,,2761.00,1115.00,325.00,146.00,83.00,102.00,55.00,45.00,APPROVED
AL: MOBILE,01/02/2018 07:24:00,,2631.00,1139.00,331.00,149.00,83.00,102.00,56.00,46.00,APPROVED
AL: MOBILE,01/02/2018 08:24:00,,2755.00,1134.00,330.00,147.00,82.00,102.00,57.00,47.00,APPROVED
AL: MOBILE,01/02/2018 09:24:00,,3074.00,1136.00,331.00,145.00,83.00,104.00,54.00,45.00,APPROVED
AL: MOBILE,01/02/2018 10:24:00,,3346.00,1138.00,332.00,144.00,85.00,104.00,55.00,44.00,APPROVED
AL: MOBILE,01/02/2018 11:24:00,,3688.00,1134.00,328.00,145.00,82.00,102.00,55.00,45.00,APPROVED
AL: MOBILE,01/02/2018 15:25:00,,3332.00,1158.00,343.00,147.00,85.00,105.00,56.00,46.00,APPROVED
AL: MOBILE,01/02/2018 23:27:00,,2345.00,1224.00,358.00,155.00,97.00,110.00,59.00,46.00,APPROVED
AL: MOBILE,01/03/2018 00:27:00,,2332.00,1203.00,348.00,151.00,92.00,110.00,58.00,47.00,APPROVED
AL: MOBILE,01/03/2018 01:27:00,,2336.00,1187.00,343.00,150.00,89.00,106.00,58.00,48.00,APPROVED
AL: MOBILE,01/03/2018 02:27:00,,2335.00,1176.00,345.00,146.00,89.00,105.00,57.00,45.00,APPROVED
AL: MOBILE,01/03/2018 03:28:00,,2359.00,1194.00,343.00,150.00,89.00,103.00,58.00,48.00,APPROVED
AL: MOBILE,01/03/2018 04:28:00,,2360.00,1209.00,353.00,152.00,89.00,110.00,57.00,47.00,APPROVED
AL: MOBILE,01/03/2018 05:28:00,,2369.00,1215.00,354.00,154.00,89.00,108.00,59.00,47.00,APPROVED
AL: MOBILE,01/03/2018 06:28:00,,2360.00,1220.00,359.00,151.00,93.00,111.00,60.00,47.00,APPROVED
AL: MOBILE,01/03/2018 07:28:00,,2374.00,1220.00,356.00,157.00,93.00,108.00,61.00,48.00,APPROVED
AL: MOBILE,01/03/2018 08:29:00,,2369.00,1217.00,356.00,156.00,93.00,109.00,60.00,47.00,APPROVED
AL: MOBILE,01/03/2018 11:29:00,,2371.00,1209.00,354.00,151.00,90.00,109.00,58.00,46.00,APPROVED
AL: MOBILE,01/04/2018 19:46:00,,2256.00,1142.00,352.00,156.00,92.00,110.00,61.00,51.00,APPROVED
AL: MOBILE,01/04/2018 22:47:00,,2258.00,1134.00,344.00,152.00,88.00,106.00,59.00,50.00,APPROVED
AL: MOBILE,01/04/2018 23:47:00,,2262.00,1128.00,340.00,147.00,87.00,108.00,60.00,48.00,APPROVED
AL: MOBILE,01/05/2018 00:47:00,,2272.00,1118.00,336.00,149.00,85.00,107.00,59.00,47.00,APPROVED
AL: MOBILE,01/05/2018 16:51:00,,2297.00,1112.00,330.00,146.00,84.00,107.00,58.00,47.00,APPROVED
AL: MOBILE,01/05/2018 17:51:00,,2256.00,1122.00,334.00,149.00,85.00,106.00,59.00,48.00,APPROVED
AL: MOBILE,01/05/2018 18:51:00,,2211.00,1101.00,337.00,147.00,86.00,109.00,59.00,50.00,APPROVED
AL: MOBILE,01/05/2018 19:51:00,,2144.00,1087.00,332.00,149.00,83.00,104.00,60.00,49.00,APPROVED
AL: MOBILE,01/05/2018 23:21:00,,2599.00,1251.00,352.00,150.00,97.00,114.00,62.00,44.00,APPROVED
AL: MOBILE,01/06/2018 00:22:00,,2975.00,1262.00,357.00,151.00,98.00,114.00,60.00,44.00,APPROVED
AL: MOBILE,01/06/2018 01:22:00,,3429.00,1287.00,361.00,149.00,101.00,114.00,61.00,46.00,APPROVED
AL: MOBILE,01/06/2018 02:22:00,,3935.00,1285.00,356.00,149.00,99.00,111.00,57.00,46.00,APPROVED
AL: MOBILE,01/06/2018 16:25:00,,3999.00,1372.00,394.00,161.00,105.00,124.00,64.00,48.00,APPROVED
AL: MOBILE,01/06/2018 17:25:00,,2602.00,1315.00,380.00,156.00,102.00,121.00,64.00,45.00,APPROVED
AL: MOBILE,01/06/2018 19:25:00,,2216.00,1247.00,360.00,156.00,103.00,115.00,62.00,48.00,APPROVED
AL: MOBILE,01/06/2018 20:26:00,,2121.00,1216.00,358.00,153.00,101.00,115.00,65.00,44.00,APPROVED
AL: MOBILE,01/06/2018 21:26:00,,2082.00,1197.00,350.00,157.00,99.00,115.00,65.00,45.00,APPROVED
AL: MOBILE,01/06/2018 22:26:00,,2126.00,1219.00,349.00,151.00,99.00,113.00,65.00,46.00,APPROVED
AL: MOBILE,01/06/2018 23:26:00,,2208.00,1250.00,354.00,155.00,98.00,114.00,63.00,46.00,APPROVED
AL: MOBILE,01/07/2018 00:26:00,,2282.00,1282.00,360.00,155.00,100.00,112.00,63.00,45.00,APPROVED
AL: MOBILE,01/07/2018 01:27:00,,2349.00,1286.00,365.00,151.00,101.00,114.00,62.00,45.00,APPROVED
AL: MOBILE,01/07/2018 02:27:00,,2480.00,1304.00,368.00,153.00,99.00,115.00,61.00,45.00,APPROVED
AL: MOBILE,01/07/2018 03:27:00,,2767.00,1333.00,375.00,155.00,102.00,117.00,62.00,47.00,APPROVED
AL: MOBILE,01/07/2018 04:27:00,,3136.00,1362.00,384.00,158.00,104.00,123.00,61.00,46.00,APPROVED
AL: MOBILE,01/07/2018 05:27:00,,3625.00,1379.00,385.00,160.00,105.00,123.00,61.00,46.00,APPROVED
AL: MOBILE,01/07/2018 06:28:00,,3953.00,1371.00,390.00,160.00,104.00,122.00,62.00,47.00,APPROVED
AL: MOBILE,01/07/2018 14:29:00,,3742.00,1385.00,391.00,161.00,106.00,128.00,63.00,46.00,APPROVED
AL: MOBILE,01/07/2018 15:29:00,,2707.00,1372.00,388.00,160.00,104.00,126.00,63.00,46.00,APPROVED
AL: MOBILE,01/07/2018 23:31:00,,2257.00,1291.00,369.00,165.00,103.00,121.00,64.00,44.00,APPROVED
AL: MOBILE,01/08/2018 00:31:00,,2277.00,1298.00,364.00,159.00,103.00,121.00,63.00,47.00,APPROVED
AL: MOBILE,01/08/2018 01:31:00,,2293.00,1287.00,364.00,156.00,101.00,118.00,62.00,46.00,APPROVED
AL: MOBILE,01/08/2018 02:32:00,,2267.00,1273.00,363.00,157.00,100.00,115.00,63.00,46.00,APPROVED
AL: MOBILE,01/08/2018 03:32:00,,2256.00,1258.00,362.00,152.00,99.00,112.00,62.00,45.00,APPROVED
AL: MOBILE,01/08/2018 04:32:00,,2261.00,1259.00,359.00,153.00,99.00,115.00,61.00,45.00,APPROVED
AL: MOBILE,01/08/2018 07:33:00,,2325.00,1288.00,369.00,157.00,101.00,118.00,61.00,47.00,APPROVED
AL: MOBILE,01/08/2018 11:33:00,,2377.00,1349.00,395.00,165.00,103.00,128.00,65.00,47.00,APPROVED
AL: MOBILE,01/08/2018 23:36:00,,2082.00,1198.00,346.00,160.00,101.00,111.00,71.00,44.00,APPROVED
AL: MOBILE,01/09/2018 00:36:00,,2013.00,1148.00,327.00,150.00,96.00,103.00,70.00,44.00,APPROVED
AL: MOBILE,01/09/2018 01:36:00,,2026.00,1154.00,328.00,151.00,97.00,101.00,67.00,43.00,APPROVED
AL: MOBILE,01/09/2018 03:37:00,,2056.00,1173.00,331.00,153.00,96.00,103.00,68.00,42.00,APPROVED
AL: MOBILE,01/09/2018 04:37:00,,2071.00,1196.00,335.00,157.00,100.00,104.00,70.00,43.00,APPROVED
AL: MOBILE,01/09/2018 05:37:00,,2089.00,1211.00,341.00,162.00,101.00,107.00,71.00,46.00,APPROVED
AL: MOBILE,01/09/2018 06:37:00,,2124.00,1247.00,353.00,165.00,101.00,113.00,70.00,44.00,APPROVED
AL: MOBILE,01/09/2018 07:37:00,,2131.00,1237.00,342.00,162.00,99.00,110.00,70.00,46.00,APPROVED
AL: MOBILE,01/09/2018 08:38:00,,2131.00,1228.00,346.00,161.00,100.00,109.00,67.00,45.00,APPROVED
AL: MOBILE,01/09/2018 09:38:00,,2141.00,1234.00,344.00,162.00,100.00,108.00,68.00,45.00,APPROVED
AL: MOBILE,01/09/2018 10:38:00,,2146.00,1236.00,346.00,166.00,101.00,112.00,70.00,44.00,APPROVED
AL: MOBILE,01/09/2018 11:38:00,,2139.00,1243.00,347.00,165.00,101.00,109.00,70.00,42.00,APPROVED
AL: MOBILE,01/09/2018 12:38:00,,2145.00,1242.00,349.00,164.00,101.00,109.00,69.00,44.00,APPROVED
AL: MOBILE,01/09/2018 13:39:00,,2141.00,1238.00,347.00,163.00,101.00,109.00,71.00,44.00,APPROVED
AL: MOBILE,01/09/2018 14:39:00,,2142.00,1235.00,344.00,162.00,101.00,109.00,70.00,43.00,APPROVED
AL: MOBILE,01/09/2018 15:39:00,,2162.00,1245.00,350.00,164.00,100.00,112.00,68.00,44.00,APPROVED
AL: MOBILE,01/09/2018 16:39:00,,2182.00,1268.00,363.00,170.00,104.00,114.00,72.00,45.00,APPROVED
AL: MOBILE,01/09/2018 17:39:00,,2160.00,1280.00,362.00,173.00,105.00,114.00,74.00,45.00,APPROVED
AL: MOBILE,01/09/2018 18:40:00,,2137.00,1267.00,361.00,173.00,108.00,115.00,75.00,43.00,APPROVED
AL: MOBILE,01/10/2018 03:41:00,,2088.00,1201.00,343.00,162.00,100.00,104.00,70.00,42.00,APPROVED
AL: MOBILE,01/10/2018 04:42:00,,2101.00,1213.00,346.00,162.00,101.00,106.00,71.00,43.00,APPROVED
AL: MOBILE,01/10/2018 07:42:00,,2243.00,1293.00,353.00,172.00,103.00,112.00,69.00,45.00,APPROVED
AL: MOBILE,01/10/2018 08:42:00,,2270.00,1315.00,370.00,176.00,104.00,118.00,71.00,46.00,APPROVED
AL: MOBILE,01/10/2018 09:43:00,,2277.00,1346.00,370.00,177.00,106.00,118.00,73.00,45.00,APPROVED
AL: MOBILE,01/10/2018 11:43:00,,2181.00,1283.00,363.00,172.00,104.00,115.00,73.00,44.00,APPROVED
AL: MOBILE,01/10/2018 12:43:00,,2176.00,1286.00,358.00,174.00,106.00,112.00,73.00,45.00,APPROVED
AL: MOBILE,01/10/2018 13:43:00,,2165.00,1262.00,358.00,172.00,104.00,112.00,73.00,44.00,APPROVED
AL: MOBILE,01/10/2018 14:44:00,,2117.00,1223.00,343.00,168.00,102.00,108.00,73.00,46.00,APPROVED
AL: MOBILE,01/10/2018 15:44:00,,2073.00,1197.00,338.00,161.00,100.00,103.00,71.00,45.00,APPROVED
AL: MOBILE,01/10/2018 16:44:00,,2040.00,1179.00,336.00,159.00,99.00,101.00,72.00,44.00,APPROVED
AL: MOBILE,01/10/2018 17:44:00,,2004.00,1157.00,336.00,156.00,97.00,101.00,71.00,44.00,APPROVED
AL: MOBILE,01/10/2018 18:53:00,,2006.00,1156.00,325.00,153.00,99.00,97.00,72.00,44.00,APPROVED
AL: MOBILE,01/11/2018 07:55:00,,2059.00,1191.00,331.00,160.00,101.00,101.00,70.00,44.00,APPROVED
