LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AL: MONTGOMERY,06/07/2006 15:05:00,,2904.00,353.00,213.00,151.00,224.00,137.00,33.00,42.00,APPROVED
AL: MONTGOMERY,06/07/2006 16:06:00,,3061.00,376.00,236.00,162.00,254.00,154.00,37.00,42.00,APPROVED
AL: MONTGOMERY,06/07/2006 17:06:00,,2842.00,351.00,210.00,149.00,229.00,144.00,32.00,40.00,APPROVED
AL: MONTGOMERY,06/07/2006 18:06:00,,2746.00,341.00,195.00,139.00,223.00,132.00,32.00,40.00,APPROVED
AL: MONTGOMERY,06/07/2006 19:06:00,,2727.00,341.00,194.00,138.00,216.00,131.00,31.00,39.00,APPROVED
AL: MONTGOMERY,06/07/2006 20:06:00,,2682.00,329.00,188.00,135.00,215.00,133.00,30.00,39.00,APPROVED
AL: MONTGOMERY,06/07/2006 21:07:00,,2630.00,328.00,184.00,135.00,209.00,127.00,30.00,39.00,APPROVED
AL: MONTGOMERY,06/07/2006 22:07:00,,2612.00,324.00,183.00,133.00,213.00,131.00,30.00,39.00,APPROVED
AL: MONTGOMERY,06/07/2006 23:07:00,,2666.00,331.00,182.00,134.00,209.00,132.00,31.00,39.00,APPROVED
AL: MONTGOMERY,06/08/2006 00:07:00,,2726.00,333.00,188.00,133.00,213.00,131.00,30.00,39.00,APPROVED
AL: MONTGOMERY,06/09/2006 21:55:00,,2285.00,270.00,137.00,81.00,120.00,112.00,30.00,95.00,APPROVED
AL: MONTGOMERY,06/09/2006 22:55:00,,2423.00,240.00,136.00,88.00,146.00,92.00,34.00,95.00,APPROVED
AL: MONTGOMERY,06/09/2006 23:55:00,,2816.00,355.00,185.00,151.00,219.00,138.00,29.00,41.00,APPROVED
AL: MONTGOMERY,06/16/2006 14:32:00,,1745.00,254.00,82.00,107.00,164.00,75.00,18.00,400.00,APPROVED
AL: MONTGOMERY,06/16/2006 14:39:00,,2453.00,316.00,250.00,147.00,393.00,34.00,0.00,116.00,APPROVED
AL: MONTGOMERY,06/16/2006 16:02:00,,3247.00,462.00,201.00,228.00,266.00,168.00,37.00,51.00,APPROVED
AL: MONTGOMERY,06/16/2006 17:02:00,,3206.00,458.00,207.00,232.00,271.00,181.00,34.00,49.00,APPROVED
AL: MONTGOMERY,06/16/2006 18:02:00,,3010.00,428.00,184.00,195.00,276.00,136.00,40.00,86.00,APPROVED
AL: MONTGOMERY,06/16/2006 19:02:00,,2345.00,313.00,121.00,126.00,174.00,136.00,17.00,221.00,APPROVED
AL: MONTGOMERY,06/16/2006 20:03:00,,1477.00,259.00,92.00,80.00,161.00,63.00,15.00,236.00,APPROVED
AL: MONTGOMERY,06/16/2006 21:03:00,,1342.00,196.00,89.00,102.00,106.00,84.00,10.00,247.00,APPROVED
AL: MONTGOMERY,06/16/2006 22:03:00,,1547.00,295.00,75.00,153.00,187.00,66.00,10.00,336.00,APPROVED
AL: MONTGOMERY,06/16/2006 23:03:00,,2938.00,468.00,168.00,195.00,285.00,133.00,39.00,133.00,APPROVED
AL: MONTGOMERY,06/17/2006 00:03:00,,3252.00,487.00,195.00,225.00,266.00,159.00,49.00,48.00,APPROVED
AL: MONTGOMERY,06/17/2006 01:04:00,,3314.00,500.00,199.00,227.00,272.00,157.00,48.00,48.00,APPROVED
AL: MONTGOMERY,06/17/2006 02:04:00,,3377.00,514.00,199.00,224.00,273.00,159.00,46.00,48.00,APPROVED
AL: MONTGOMERY,06/17/2006 03:04:00,,3441.00,519.00,200.00,226.00,278.00,155.00,46.00,47.00,APPROVED
AL: MONTGOMERY,06/17/2006 04:04:00,,3463.00,532.00,204.00,233.00,277.00,161.00,48.00,50.00,APPROVED
AL: MONTGOMERY,06/17/2006 05:04:00,,3556.00,547.00,204.00,242.00,285.00,164.00,48.00,52.00,APPROVED
AL: MONTGOMERY,06/17/2006 06:05:00,,3693.00,581.00,216.00,255.00,303.00,175.00,50.00,52.00,APPROVED
AL: MONTGOMERY,06/17/2006 07:05:00,,3888.00,634.00,226.00,278.00,333.00,192.00,54.00,56.00,APPROVED
AL: MONTGOMERY,06/17/2006 08:05:00,,3919.00,645.00,231.00,292.00,344.00,199.00,56.00,56.00,APPROVED
AL: MONTGOMERY,06/17/2006 09:05:00,,3910.00,637.00,229.00,280.00,337.00,193.00,55.00,57.00,APPROVED
AL: MONTGOMERY,06/17/2006 10:05:00,,3887.00,632.00,225.00,278.00,328.00,194.00,54.00,56.00,APPROVED
AL: MONTGOMERY,06/19/2006 17:50:00,,2956.00,384.00,159.00,190.00,261.00,105.00,35.00,111.00,APPROVED
AL: MONTGOMERY,06/19/2006 18:51:00,,2773.00,476.00,176.00,177.00,213.00,142.00,25.00,160.00,APPROVED
AL: MONTGOMERY,06/19/2006 19:51:00,,2477.00,388.00,143.00,117.00,198.00,99.00,33.00,175.00,APPROVED
AL: MONTGOMERY,06/19/2006 20:51:00,,2297.00,336.00,145.00,154.00,261.00,147.00,34.00,281.00,APPROVED
AL: MONTGOMERY,06/19/2006 21:51:00,,2584.00,363.00,140.00,184.00,205.00,122.00,35.00,167.00,APPROVED
AL: MONTGOMERY,06/19/2006 22:51:00,,3051.00,455.00,172.00,173.00,235.00,140.00,37.00,54.00,APPROVED
AL: MONTGOMERY,06/19/2006 23:52:00,,3000.00,416.00,180.00,192.00,238.00,127.00,42.00,52.00,APPROVED
AL: MONTGOMERY,06/21/2006 13:35:00,,2122.00,353.00,166.00,88.00,201.00,122.00,39.00,120.00,APPROVED
AL: MONTGOMERY,06/21/2006 14:35:00,,3260.00,506.00,194.00,205.00,290.00,151.00,43.00,110.00,APPROVED
AL: MONTGOMERY,06/21/2006 15:36:00,,3643.00,602.00,222.00,282.00,321.00,191.00,55.00,56.00,APPROVED
AL: MONTGOMERY,06/21/2006 16:36:00,,3446.00,584.00,241.00,230.00,297.00,165.00,60.00,70.00,APPROVED
AL: MONTGOMERY,06/21/2006 17:36:00,,2693.00,443.00,144.00,203.00,210.00,163.00,31.00,220.00,APPROVED
AL: MONTGOMERY,06/21/2006 18:36:00,,1467.00,282.00,123.00,63.00,182.00,86.00,23.00,212.00,APPROVED
AL: MONTGOMERY,06/21/2006 19:36:00,,948.00,133.00,43.00,73.00,59.00,44.00,11.00,104.00,APPROVED
AL: MONTGOMERY,06/21/2006 20:37:00,,313.00,47.00,24.00,21.00,34.00,22.00,7.00,57.00,APPROVED
AL: MONTGOMERY,06/21/2006 21:37:00,,107.00,21.00,9.00,7.00,8.00,5.00,2.00,18.00,APPROVED
AL: MONTGOMERY,06/21/2006 22:37:00,,533.00,69.00,49.00,22.00,47.00,24.00,6.00,72.00,APPROVED
