LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AR: FORT SMITH,01/01/2026 00:51:00,63.00,2001.00,1256.00,374.00,200.00,140.00,176.00,162.00,21.00,APPROVED
AR: FORT SMITH,01/01/2026 01:51:00,64.00,1994.00,1256.00,365.00,197.00,140.00,171.00,162.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 02:51:00,61.00,1998.00,1259.00,370.00,199.00,142.00,173.00,160.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 03:51:00,63.00,2015.00,1275.00,373.00,200.00,141.00,174.00,161.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 04:51:00,63.00,2031.00,1282.00,377.00,203.00,144.00,180.00,164.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 05:51:00,64.00,2035.00,1289.00,375.00,202.00,142.00,180.00,157.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 06:51:00,63.00,2048.00,1293.00,380.00,207.00,143.00,179.00,160.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 07:51:00,66.00,2075.00,1307.00,384.00,205.00,146.00,184.00,160.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 08:51:00,62.00,2093.00,1333.00,388.00,213.00,145.00,186.00,165.00,24.00,APPROVED
AR: FORT SMITH,01/01/2026 09:51:00,65.00,2102.00,1336.00,393.00,210.00,146.00,185.00,160.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 10:51:00,64.00,2107.00,1340.00,395.00,212.00,148.00,185.00,164.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 11:51:00,65.00,2126.00,1351.00,394.00,216.00,145.00,188.00,163.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 12:51:00,64.00,2136.00,1349.00,393.00,214.00,144.00,189.00,161.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 13:51:00,67.00,2133.00,1360.00,402.00,215.00,147.00,190.00,164.00,24.00,APPROVED
AR: FORT SMITH,01/01/2026 14:52:00,64.00,2133.00,1355.00,394.00,213.00,147.00,192.00,161.00,24.00,APPROVED
AR: FORT SMITH,01/01/2026 15:52:00,66.00,2120.00,1349.00,392.00,214.00,146.00,186.00,162.00,24.00,APPROVED
AR: FORT SMITH,01/01/2026 16:52:00,68.00,2134.00,1346.00,400.00,212.00,147.00,186.00,163.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 17:52:00,68.00,2150.00,1349.00,399.00,214.00,149.00,182.00,167.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 18:52:00,64.00,2105.00,1325.00,392.00,209.00,146.00,178.00,166.00,21.00,APPROVED
AR: FORT SMITH,01/01/2026 19:52:00,66.00,2095.00,1320.00,392.00,211.00,147.00,180.00,166.00,21.00,APPROVED
AR: FORT SMITH,01/01/2026 20:52:00,68.00,2090.00,1329.00,385.00,207.00,143.00,180.00,165.00,21.00,APPROVED
AR: FORT SMITH,01/01/2026 21:52:00,66.00,2089.00,1322.00,385.00,209.00,146.00,179.00,165.00,23.00,APPROVED
AR: FORT SMITH,01/01/2026 22:52:00,65.00,2080.00,1308.00,383.00,205.00,147.00,177.00,168.00,22.00,APPROVED
AR: FORT SMITH,01/01/2026 23:52:00,65.00,2075.00,1317.00,384.00,207.00,142.00,176.00,166.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 00:52:00,66.00,2071.00,1311.00,383.00,207.00,144.00,178.00,167.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 01:52:00,66.00,2062.00,1313.00,384.00,209.00,145.00,180.00,165.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 02:52:00,64.00,2090.00,1315.00,386.00,212.00,146.00,180.00,168.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 03:52:00,63.00,2095.00,1331.00,387.00,208.00,143.00,180.00,168.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 04:52:00,66.00,2091.00,1320.00,393.00,210.00,146.00,181.00,163.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 05:52:00,65.00,2110.00,1344.00,393.00,213.00,148.00,183.00,169.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 06:52:00,63.00,2118.00,1343.00,395.00,211.00,149.00,185.00,166.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 07:53:00,67.00,2140.00,1363.00,398.00,216.00,149.00,184.00,167.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 08:53:00,66.00,2144.00,1361.00,403.00,215.00,146.00,188.00,166.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 09:53:00,68.00,2140.00,1354.00,392.00,213.00,152.00,185.00,165.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 10:53:00,67.00,2119.00,1350.00,393.00,212.00,146.00,183.00,164.00,24.00,APPROVED
AR: FORT SMITH,01/02/2026 11:53:00,67.00,2131.00,1353.00,398.00,214.00,149.00,187.00,166.00,24.00,APPROVED
AR: FORT SMITH,01/02/2026 12:53:00,69.00,2189.00,1401.00,410.00,223.00,154.00,187.00,171.00,25.00,APPROVED
AR: FORT SMITH,01/02/2026 13:53:00,66.00,2178.00,1387.00,406.00,221.00,153.00,190.00,169.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 14:53:00,66.00,2149.00,1360.00,400.00,215.00,148.00,187.00,167.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 15:53:00,65.00,2129.00,1351.00,400.00,211.00,147.00,186.00,167.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 16:53:00,64.00,2113.00,1333.00,389.00,210.00,147.00,183.00,163.00,23.00,APPROVED
AR: FORT SMITH,01/02/2026 17:53:00,63.00,2098.00,1313.00,382.00,208.00,145.00,180.00,164.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 18:53:00,65.00,2054.00,1292.00,388.00,205.00,144.00,179.00,161.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 19:53:00,64.00,2041.00,1284.00,375.00,204.00,145.00,176.00,164.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 20:53:00,62.00,2032.00,1269.00,378.00,201.00,140.00,175.00,162.00,22.00,APPROVED
AR: FORT SMITH,01/02/2026 21:53:00,63.00,2028.00,1276.00,378.00,200.00,143.00,175.00,163.00,21.00,APPROVED
AR: FORT SMITH,01/02/2026 22:53:00,62.00,2026.00,1272.00,373.00,199.00,142.00,174.00,162.00,21.00,APPROVED
AR: FORT SMITH,01/02/2026 23:53:00,64.00,2024.00,1275.00,374.00,204.00,139.00,176.00,166.00,22.00,APPROVED
AR: FORT SMITH,01/03/2026 00:54:00,65.00,2043.00,1282.00,375.00,202.00,146.00,176.00,167.00,24.00,APPROVED
AR: FORT SMITH,01/03/2026 01:54:00,65.00,2051.00,1280.00,376.00,203.00,144.00,178.00,165.00,21.00,APPROVED
AR: FORT SMITH,01/03/2026 02:54:00,65.00,2034.00,1285.00,379.00,201.00,143.00,175.00,162.00,21.00,APPROVED
AR: FORT SMITH,01/03/2026 03:54:00,65.00,2049.00,1296.00,380.00,199.00,141.00,177.00,161.00,22.00,APPROVED
AR: FORT SMITH,01/03/2026 04:54:00,62.00,2071.00,1301.00,381.00,205.00,140.00,178.00,167.00,22.00,APPROVED
AR: FORT SMITH,01/03/2026 05:54:00,66.00,2101.00,1310.00,388.00,206.00,145.00,180.00,164.00,23.00,APPROVED
