LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: PHOENIX,01/01/2026 00:42:00,85.00,3083.00,2086.00,605.00,379.00,232.00,295.00,210.00,41.00,APPROVED
AZ: PHOENIX,01/01/2026 01:42:00,85.00,3115.00,2126.00,615.00,392.00,241.00,301.00,217.00,42.00,APPROVED
AZ: PHOENIX,01/01/2026 02:42:00,87.00,3138.00,2168.00,622.00,399.00,239.00,306.00,218.00,43.00,APPROVED
AZ: PHOENIX,01/01/2026 03:42:00,87.00,3126.00,2164.00,621.00,403.00,243.00,307.00,219.00,44.00,APPROVED
AZ: PHOENIX,01/01/2026 04:42:00,86.00,3162.00,2204.00,629.00,416.00,244.00,315.00,222.00,45.00,APPROVED
AZ: PHOENIX,01/01/2026 05:42:00,85.00,3216.00,2262.00,646.00,433.00,254.00,320.00,225.00,48.00,APPROVED
AZ: PHOENIX,01/01/2026 06:43:00,85.00,3278.00,2360.00,672.00,457.00,258.00,338.00,237.00,51.00,APPROVED
AZ: PHOENIX,01/01/2026 07:43:00,87.00,3368.00,2492.00,698.00,502.00,274.00,360.00,248.00,52.00,APPROVED
AZ: PHOENIX,01/01/2026 08:43:00,89.00,3384.00,2497.00,702.00,503.00,278.00,361.00,248.00,55.00,APPROVED
AZ: PHOENIX,01/01/2026 09:43:00,88.00,3331.00,2429.00,682.00,487.00,267.00,347.00,243.00,54.00,APPROVED
AZ: PHOENIX,01/01/2026 10:43:00,84.00,3248.00,2316.00,663.00,451.00,256.00,334.00,236.00,51.00,APPROVED
AZ: PHOENIX,01/01/2026 11:43:00,88.00,3177.00,2261.00,651.00,433.00,249.00,323.00,230.00,49.00,APPROVED
AZ: PHOENIX,01/01/2026 12:43:00,85.00,3147.00,2219.00,639.00,417.00,246.00,312.00,224.00,46.00,APPROVED
AZ: PHOENIX,01/01/2026 13:43:00,85.00,3125.00,2176.00,633.00,412.00,245.00,309.00,223.00,45.00,APPROVED
AZ: PHOENIX,01/01/2026 14:43:00,85.00,3094.00,2159.00,628.00,405.00,240.00,303.00,222.00,46.00,APPROVED
AZ: PHOENIX,01/01/2026 15:43:00,83.00,3144.00,2178.00,622.00,404.00,240.00,308.00,220.00,45.00,APPROVED
