LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: TUCSON,01/02/2019 15:53:00,,3518.00,1973.00,503.00,260.00,155.00,183.00,113.00,39.00,APPROVED
AZ: TUCSON,01/02/2019 16:53:00,,3534.00,2014.00,518.00,282.00,164.00,192.00,120.00,40.00,APPROVED
AZ: TUCSON,01/02/2019 17:53:00,,3525.00,2023.00,526.00,283.00,164.00,199.00,121.00,42.00,APPROVED
AZ: TUCSON,01/02/2019 18:54:00,,3473.00,1985.00,522.00,284.00,168.00,200.00,119.00,41.00,APPROVED
AZ: TUCSON,01/02/2019 19:54:00,,3395.00,1942.00,512.00,279.00,165.00,197.00,117.00,40.00,APPROVED
AZ: TUCSON,01/02/2019 20:54:00,,3331.00,1884.00,513.00,270.00,163.00,195.00,117.00,40.00,APPROVED
AZ: TUCSON,01/02/2019 21:54:00,,3271.00,1833.00,504.00,260.00,160.00,193.00,112.00,40.00,APPROVED
AZ: TUCSON,01/02/2019 22:54:00,,3260.00,1837.00,503.00,263.00,162.00,187.00,115.00,41.00,APPROVED
AZ: TUCSON,01/02/2019 23:55:00,,3325.00,1871.00,503.00,262.00,162.00,192.00,115.00,40.00,APPROVED
AZ: TUCSON,01/03/2019 00:55:00,,3342.00,1874.00,497.00,262.00,162.00,187.00,115.00,40.00,APPROVED
AZ: TUCSON,01/03/2019 01:55:00,,3403.00,1916.00,506.00,263.00,160.00,189.00,116.00,38.00,APPROVED
AZ: TUCSON,01/03/2019 02:55:00,,3442.00,1928.00,502.00,269.00,159.00,185.00,114.00,39.00,APPROVED
AZ: TUCSON,01/03/2019 03:55:00,,3461.00,1945.00,506.00,267.00,162.00,188.00,114.00,40.00,APPROVED
AZ: TUCSON,01/03/2019 04:56:00,,3500.00,1974.00,510.00,270.00,160.00,185.00,116.00,41.00,APPROVED
AZ: TUCSON,01/03/2019 05:56:00,,3514.00,1991.00,510.00,277.00,163.00,193.00,119.00,42.00,APPROVED
AZ: TUCSON,01/03/2019 06:56:00,,3511.00,2014.00,517.00,279.00,164.00,198.00,120.00,40.00,APPROVED
AZ: TUCSON,01/03/2019 07:56:00,,3522.00,2005.00,513.00,280.00,167.00,192.00,119.00,41.00,APPROVED
AZ: TUCSON,01/03/2019 08:56:00,,3528.00,2003.00,510.00,278.00,165.00,189.00,120.00,41.00,APPROVED
AZ: TUCSON,01/03/2019 09:57:00,,3554.00,2036.00,518.00,281.00,165.00,194.00,122.00,42.00,APPROVED
AZ: TUCSON,01/03/2019 10:57:00,,3580.00,2058.00,526.00,284.00,165.00,194.00,121.00,41.00,APPROVED
AZ: TUCSON,01/03/2019 11:57:00,,3600.00,2060.00,527.00,291.00,167.00,195.00,120.00,43.00,APPROVED
AZ: TUCSON,01/03/2019 12:57:00,,3573.00,2055.00,536.00,286.00,168.00,196.00,121.00,42.00,APPROVED
AZ: TUCSON,01/03/2019 13:57:00,,3589.00,2078.00,529.00,294.00,173.00,195.00,122.00,42.00,APPROVED
AZ: TUCSON,01/03/2019 15:58:00,,3574.00,2072.00,536.00,292.00,170.00,201.00,122.00,44.00,APPROVED
AZ: TUCSON,01/03/2019 16:58:00,,3471.00,1994.00,522.00,286.00,171.00,197.00,123.00,42.00,APPROVED
AZ: TUCSON,01/03/2019 22:59:00,,2952.00,1657.00,474.00,247.00,154.00,181.00,114.00,41.00,APPROVED
AZ: TUCSON,01/03/2019 23:59:00,,2989.00,1670.00,471.00,245.00,155.00,176.00,115.00,39.00,APPROVED
AZ: TUCSON,01/04/2019 01:00:00,,3079.00,1739.00,478.00,251.00,157.00,178.00,115.00,39.00,APPROVED
AZ: TUCSON,01/04/2019 02:00:00,,3242.00,1820.00,498.00,255.00,157.00,185.00,111.00,39.00,APPROVED
AZ: TUCSON,01/04/2019 03:00:00,,3341.00,1876.00,510.00,261.00,164.00,193.00,112.00,39.00,APPROVED
AZ: TUCSON,01/04/2019 04:00:00,,3386.00,1899.00,505.00,267.00,163.00,190.00,114.00,40.00,APPROVED
AZ: TUCSON,01/04/2019 05:00:00,,3447.00,1947.00,516.00,275.00,162.00,192.00,117.00,40.00,APPROVED
AZ: TUCSON,01/04/2019 06:01:00,,3509.00,1993.00,522.00,279.00,166.00,196.00,120.00,42.00,APPROVED
AZ: TUCSON,01/04/2019 07:01:00,,3516.00,2008.00,526.00,283.00,166.00,197.00,119.00,41.00,APPROVED
AZ: TUCSON,01/04/2019 08:01:00,,3523.00,2008.00,524.00,282.00,164.00,195.00,119.00,41.00,APPROVED
AZ: TUCSON,01/04/2019 09:01:00,,3553.00,2051.00,529.00,287.00,167.00,196.00,121.00,42.00,APPROVED
AZ: TUCSON,01/04/2019 10:01:00,,3571.00,2071.00,542.00,292.00,168.00,201.00,123.00,44.00,APPROVED
AZ: TUCSON,01/04/2019 11:02:00,,3602.00,2096.00,545.00,299.00,168.00,201.00,125.00,44.00,APPROVED
AZ: TUCSON,01/04/2019 12:02:00,,3619.00,2120.00,550.00,310.00,171.00,208.00,128.00,43.00,APPROVED
AZ: TUCSON,01/04/2019 13:02:00,,3639.00,2169.00,554.00,310.00,176.00,210.00,129.00,45.00,APPROVED
AZ: TUCSON,01/04/2019 14:02:00,,3647.00,2179.00,554.00,316.00,177.00,211.00,130.00,44.00,APPROVED
AZ: TUCSON,01/04/2019 15:02:00,,3619.00,2153.00,550.00,317.00,174.00,208.00,129.00,46.00,APPROVED
AZ: TUCSON,01/04/2019 16:03:00,,3563.00,2104.00,544.00,305.00,173.00,209.00,128.00,44.00,APPROVED
AZ: TUCSON,01/04/2019 17:21:00,,3087.00,1678.00,465.00,228.00,148.00,170.00,107.00,38.00,APPROVED
AZ: TUCSON,01/04/2019 18:21:00,,2980.00,1649.00,466.00,232.00,150.00,172.00,110.00,38.00,APPROVED
AZ: TUCSON,01/04/2019 19:21:00,,2896.00,1623.00,452.00,234.00,149.00,172.00,111.00,38.00,APPROVED
AZ: TUCSON,01/04/2019 20:21:00,,2840.00,1569.00,445.00,235.00,151.00,175.00,113.00,39.00,APPROVED
AZ: TUCSON,01/04/2019 21:22:00,,2902.00,1612.00,448.00,242.00,149.00,173.00,117.00,40.00,APPROVED
AZ: TUCSON,01/04/2019 22:22:00,,2919.00,1626.00,453.00,245.00,151.00,174.00,118.00,40.00,APPROVED
AZ: TUCSON,01/04/2019 23:22:00,,3031.00,1707.00,465.00,252.00,153.00,182.00,119.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 00:22:00,,3123.00,1765.00,480.00,263.00,157.00,183.00,123.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 01:22:00,,3120.00,1761.00,473.00,262.00,157.00,185.00,118.00,40.00,APPROVED
AZ: TUCSON,01/05/2019 02:23:00,,3178.00,1803.00,488.00,258.00,159.00,182.00,120.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 03:23:00,,3236.00,1825.00,492.00,262.00,159.00,186.00,117.00,40.00,APPROVED
AZ: TUCSON,01/05/2019 04:23:00,,3290.00,1850.00,503.00,263.00,157.00,186.00,118.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 05:23:00,,3361.00,1898.00,503.00,265.00,161.00,191.00,113.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 06:23:00,,3441.00,1951.00,522.00,275.00,166.00,198.00,119.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 07:24:00,,3442.00,1948.00,521.00,274.00,160.00,194.00,114.00,40.00,APPROVED
AZ: TUCSON,01/05/2019 08:24:00,,3419.00,1950.00,513.00,269.00,162.00,189.00,113.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 09:24:00,,3448.00,1969.00,516.00,276.00,162.00,192.00,117.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 10:24:00,,3483.00,1985.00,521.00,278.00,164.00,197.00,117.00,42.00,APPROVED
AZ: TUCSON,01/05/2019 11:24:00,,3497.00,2020.00,525.00,281.00,166.00,203.00,119.00,42.00,APPROVED
AZ: TUCSON,01/05/2019 12:25:00,,3510.00,2047.00,536.00,289.00,169.00,205.00,122.00,43.00,APPROVED
AZ: TUCSON,01/05/2019 13:25:00,,3528.00,2038.00,533.00,286.00,170.00,200.00,122.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 14:25:00,,3515.00,2028.00,538.00,286.00,168.00,201.00,120.00,41.00,APPROVED
AZ: TUCSON,01/05/2019 15:25:00,,3480.00,2039.00,536.00,292.00,172.00,199.00,122.00,43.00,APPROVED
AZ: TUCSON,01/05/2019 16:25:00,,3426.00,1990.00,535.00,285.00,167.00,201.00,121.00,43.00,APPROVED
AZ: TUCSON,01/05/2019 17:26:00,,3246.00,1885.00,516.00,273.00,164.00,194.00,118.00,42.00,APPROVED
AZ: TUCSON,01/05/2019 18:26:00,,3088.00,1774.00,495.00,265.00,165.00,190.00,119.00,43.00,APPROVED
