LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: YUMA,01/01/2021 00:06:00,80.00,3114.00,1652.00,474.00,228.00,155.00,183.00,98.00,37.00,APPROVED
AZ: YUMA,01/01/2021 01:06:00,83.00,3167.00,1661.00,479.00,231.00,159.00,184.00,99.00,36.00,APPROVED
AZ: YUMA,01/01/2021 02:07:00,82.00,3180.00,1666.00,478.00,230.00,160.00,184.00,95.00,37.00,APPROVED
AZ: YUMA,01/01/2021 03:07:00,80.00,3151.00,1632.00,475.00,223.00,159.00,185.00,91.00,38.00,APPROVED
AZ: YUMA,01/01/2021 04:07:00,83.00,3128.00,1629.00,470.00,225.00,157.00,184.00,89.00,37.00,APPROVED
AZ: YUMA,01/01/2021 05:07:00,78.00,3136.00,1641.00,467.00,223.00,154.00,184.00,91.00,36.00,APPROVED
AZ: YUMA,01/01/2021 06:08:00,79.00,3127.00,1621.00,469.00,221.00,156.00,183.00,91.00,38.00,APPROVED
AZ: YUMA,01/01/2021 07:08:00,81.00,3138.00,1623.00,469.00,224.00,158.00,185.00,89.00,37.00,APPROVED
AZ: YUMA,01/01/2021 08:08:00,80.00,3128.00,1626.00,467.00,223.00,156.00,184.00,92.00,37.00,APPROVED
AZ: YUMA,01/01/2021 09:08:00,80.00,3080.00,1616.00,466.00,221.00,154.00,181.00,91.00,37.00,APPROVED
AZ: YUMA,01/01/2021 10:09:00,82.00,3100.00,1604.00,463.00,219.00,157.00,180.00,94.00,38.00,APPROVED
AZ: YUMA,01/01/2021 11:09:00,78.00,3087.00,1615.00,463.00,218.00,156.00,182.00,91.00,37.00,APPROVED
AZ: YUMA,01/01/2021 12:09:00,77.00,3092.00,1615.00,469.00,225.00,156.00,184.00,89.00,38.00,APPROVED
