LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: ANAHEIM,01/01/2013 00:01:00,,2960.00,1640.00,486.00,245.00,166.00,199.00,99.00,36.00,APPROVED
CA: ANAHEIM,01/01/2013 01:01:00,,3058.00,1688.00,495.00,244.00,165.00,201.00,97.00,38.00,APPROVED
CA: ANAHEIM,01/01/2013 02:01:00,,3204.00,1759.00,503.00,247.00,165.00,196.00,102.00,38.00,APPROVED
CA: ANAHEIM,01/01/2013 03:01:00,,3277.00,1785.00,502.00,250.00,165.00,197.00,102.00,38.00,APPROVED
CA: ANAHEIM,01/01/2013 04:01:00,,3326.00,1804.00,499.00,248.00,163.00,195.00,103.00,37.00,APPROVED
CA: ANAHEIM,01/01/2013 05:02:00,,3383.00,1837.00,511.00,255.00,167.00,197.00,104.00,37.00,APPROVED
CA: ANAHEIM,01/01/2013 06:02:00,,3435.00,1861.00,510.00,261.00,168.00,197.00,107.00,39.00,APPROVED
CA: ANAHEIM,01/01/2013 07:02:00,,3478.00,1917.00,521.00,267.00,171.00,204.00,109.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 08:02:00,,3497.00,1935.00,528.00,273.00,171.00,207.00,114.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 09:03:00,,3507.00,1942.00,534.00,274.00,174.00,204.00,111.00,38.00,APPROVED
CA: ANAHEIM,01/01/2013 10:03:00,,3538.00,1955.00,542.00,274.00,174.00,204.00,113.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 11:03:00,,3567.00,1990.00,537.00,278.00,178.00,208.00,114.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 12:03:00,,3555.00,1976.00,537.00,281.00,174.00,209.00,111.00,41.00,APPROVED
CA: ANAHEIM,01/01/2013 13:03:00,,3514.00,1952.00,538.00,273.00,175.00,204.00,112.00,39.00,APPROVED
CA: ANAHEIM,01/01/2013 14:04:00,,3532.00,1949.00,537.00,277.00,174.00,205.00,112.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 15:04:00,,3572.00,2002.00,540.00,284.00,175.00,209.00,115.00,39.00,APPROVED
CA: ANAHEIM,01/01/2013 16:04:00,,3584.00,1999.00,541.00,281.00,177.00,212.00,114.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 17:04:00,,3569.00,1997.00,546.00,281.00,177.00,212.00,114.00,39.00,APPROVED
CA: ANAHEIM,01/01/2013 18:04:00,,3518.00,1982.00,545.00,286.00,178.00,209.00,114.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 19:05:00,,3416.00,1909.00,537.00,273.00,173.00,215.00,107.00,38.00,APPROVED
CA: ANAHEIM,01/01/2013 20:05:00,,3310.00,1862.00,534.00,267.00,172.00,211.00,103.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 21:05:00,,3166.00,1779.00,528.00,262.00,172.00,212.00,104.00,42.00,APPROVED
CA: ANAHEIM,01/01/2013 22:05:00,,3084.00,1719.00,512.00,247.00,166.00,207.00,101.00,40.00,APPROVED
CA: ANAHEIM,01/01/2013 23:06:00,,3067.00,1715.00,512.00,256.00,170.00,209.00,101.00,37.00,APPROVED
CA: ANAHEIM,01/02/2013 00:06:00,,2963.00,1662.00,503.00,247.00,169.00,207.00,105.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 01:06:00,,3003.00,1688.00,502.00,249.00,169.00,201.00,106.00,38.00,APPROVED
CA: ANAHEIM,01/02/2013 02:06:00,,3189.00,1774.00,512.00,254.00,170.00,201.00,100.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 03:06:00,,3292.00,1810.00,515.00,261.00,169.00,203.00,105.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 04:07:00,,3304.00,1814.00,507.00,258.00,166.00,201.00,104.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 05:07:00,,3291.00,1809.00,513.00,255.00,165.00,202.00,106.00,38.00,APPROVED
CA: ANAHEIM,01/02/2013 06:07:00,,3272.00,1794.00,509.00,257.00,168.00,199.00,102.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 07:07:00,,3281.00,1802.00,506.00,257.00,167.00,204.00,105.00,40.00,APPROVED
CA: ANAHEIM,01/02/2013 08:07:00,,3300.00,1804.00,508.00,253.00,163.00,198.00,103.00,36.00,APPROVED
CA: ANAHEIM,01/02/2013 09:08:00,,3298.00,1817.00,503.00,255.00,167.00,197.00,107.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 10:08:00,,3327.00,1820.00,501.00,255.00,165.00,197.00,106.00,38.00,APPROVED
CA: ANAHEIM,01/02/2013 11:08:00,,3317.00,1827.00,514.00,258.00,166.00,196.00,104.00,39.00,APPROVED
CA: ANAHEIM,01/02/2013 12:08:00,,3317.00,1823.00,507.00,254.00,168.00,198.00,104.00,40.00,APPROVED
CA: ANAHEIM,01/02/2013 13:09:00,,3305.00,1807.00,506.00,254.00,167.00,195.00,105.00,39.00,APPROVED
