LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: BAKERSFIELD,01/01/2021 00:10:00,,2497.00,1323.00,385.00,188.00,125.00,144.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 01:10:00,,2465.00,1292.00,375.00,180.00,121.00,141.00,81.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 02:11:00,,2494.00,1307.00,375.00,182.00,123.00,140.00,79.00,28.00,APPROVED
CA: BAKERSFIELD,01/01/2021 03:11:00,,2449.00,1290.00,373.00,186.00,122.00,138.00,82.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 04:11:00,,2456.00,1288.00,371.00,182.00,118.00,141.00,79.00,28.00,APPROVED
CA: BAKERSFIELD,01/01/2021 05:11:00,,2503.00,1329.00,380.00,188.00,124.00,144.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 06:11:00,,2457.00,1316.00,374.00,187.00,122.00,143.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 07:12:00,,2483.00,1319.00,380.00,189.00,126.00,147.00,83.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 08:12:00,,2492.00,1343.00,388.00,193.00,123.00,146.00,82.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 09:12:00,,2484.00,1334.00,384.00,192.00,127.00,147.00,84.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 10:12:00,,2502.00,1337.00,388.00,193.00,125.00,146.00,83.00,28.00,APPROVED
CA: BAKERSFIELD,01/01/2021 11:12:00,,2498.00,1336.00,381.00,192.00,124.00,142.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 12:13:00,,2473.00,1324.00,381.00,189.00,125.00,147.00,82.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 13:13:00,,2467.00,1315.00,376.00,189.00,126.00,145.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 14:13:00,,2467.00,1325.00,380.00,192.00,123.00,146.00,83.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 15:13:00,,2458.00,1314.00,378.00,192.00,124.00,146.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 16:14:00,,2473.00,1321.00,381.00,195.00,123.00,146.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/01/2021 17:14:00,,2480.00,1318.00,378.00,192.00,126.00,147.00,83.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 18:14:00,,2468.00,1307.00,379.00,189.00,124.00,143.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 19:14:00,,2442.00,1298.00,376.00,184.00,122.00,144.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 20:14:00,,2429.00,1279.00,373.00,184.00,122.00,141.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 21:15:00,,2415.00,1260.00,374.00,178.00,122.00,140.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 22:15:00,,2417.00,1270.00,371.00,183.00,117.00,143.00,79.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2021 23:15:00,,2417.00,1273.00,374.00,183.00,118.00,138.00,82.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2021 00:15:00,,2424.00,1277.00,372.00,184.00,118.00,140.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2021 01:15:00,,2430.00,1262.00,371.00,179.00,119.00,141.00,77.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2021 02:16:00,,2432.00,1263.00,363.00,179.00,120.00,143.00,80.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2021 03:16:00,,2455.00,1278.00,368.00,181.00,118.00,140.00,78.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2021 04:16:00,,2477.00,1310.00,379.00,184.00,121.00,140.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2021 05:16:00,,2485.00,1326.00,380.00,192.00,124.00,146.00,81.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2021 06:17:00,,2573.00,1370.00,392.00,199.00,128.00,149.00,84.00,31.00,APPROVED
CA: BAKERSFIELD,01/02/2021 07:17:00,,2569.00,1370.00,396.00,194.00,131.00,147.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 08:17:00,,2576.00,1392.00,401.00,201.00,129.00,152.00,85.00,31.00,APPROVED
CA: BAKERSFIELD,01/02/2021 09:17:00,,2605.00,1394.00,400.00,202.00,129.00,153.00,86.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 10:17:00,,2583.00,1397.00,399.00,203.00,130.00,152.00,84.00,31.00,APPROVED
CA: BAKERSFIELD,01/02/2021 11:18:00,,2547.00,1382.00,398.00,201.00,129.00,153.00,84.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 12:18:00,,2566.00,1406.00,401.00,203.00,128.00,154.00,86.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 13:18:00,,2657.00,1477.00,427.00,214.00,133.00,161.00,90.00,33.00,APPROVED
CA: BAKERSFIELD,01/02/2021 14:18:00,,2646.00,1458.00,415.00,214.00,134.00,164.00,90.00,32.00,APPROVED
CA: BAKERSFIELD,01/02/2021 15:18:00,,2726.00,1497.00,426.00,218.00,135.00,165.00,91.00,32.00,APPROVED
CA: BAKERSFIELD,01/02/2021 16:19:00,,2858.00,1602.00,452.00,234.00,145.00,175.00,97.00,32.00,APPROVED
CA: BAKERSFIELD,01/02/2021 17:19:00,,2738.00,1533.00,435.00,228.00,139.00,167.00,96.00,33.00,APPROVED
CA: BAKERSFIELD,01/02/2021 18:19:00,,2649.00,1456.00,419.00,213.00,133.00,161.00,91.00,31.00,APPROVED
CA: BAKERSFIELD,01/02/2021 19:19:00,,2584.00,1389.00,405.00,201.00,128.00,156.00,85.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 20:20:00,,2524.00,1367.00,397.00,202.00,128.00,149.00,85.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 21:20:00,,2516.00,1353.00,396.00,196.00,124.00,148.00,83.00,31.00,APPROVED
CA: BAKERSFIELD,01/02/2021 22:20:00,,2483.00,1332.00,386.00,195.00,124.00,145.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/02/2021 23:20:00,,2443.00,1297.00,382.00,188.00,120.00,144.00,82.00,30.00,APPROVED
CA: BAKERSFIELD,01/03/2021 00:20:00,,2441.00,1293.00,381.00,186.00,118.00,142.00,83.00,30.00,APPROVED
CA: BAKERSFIELD,01/03/2021 01:21:00,,2441.00,1285.00,375.00,183.00,117.00,139.00,82.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2021 02:21:00,,2434.00,1282.00,372.00,181.00,119.00,144.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2021 03:21:00,,2449.00,1281.00,377.00,177.00,121.00,141.00,80.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2021 04:21:00,,2494.00,1322.00,378.00,191.00,122.00,144.00,78.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2021 05:21:00,,2538.00,1345.00,395.00,189.00,128.00,150.00,84.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2021 06:22:00,,2540.00,1372.00,393.00,197.00,127.00,149.00,84.00,31.00,APPROVED
CA: BAKERSFIELD,01/03/2021 07:22:00,,2591.00,1393.00,404.00,203.00,133.00,157.00,86.00,32.00,APPROVED
CA: BAKERSFIELD,01/03/2021 08:22:00,,2620.00,1426.00,411.00,205.00,130.00,154.00,88.00,31.00,APPROVED
CA: BAKERSFIELD,01/03/2021 09:22:00,,2662.00,1450.00,415.00,212.00,133.00,157.00,88.00,32.00,APPROVED
CA: BAKERSFIELD,01/03/2021 10:23:00,,2655.00,1446.00,419.00,212.00,133.00,158.00,89.00,33.00,APPROVED
CA: BAKERSFIELD,01/03/2021 11:23:00,,2687.00,1498.00,421.00,219.00,136.00,166.00,91.00,31.00,APPROVED
CA: BAKERSFIELD,01/03/2021 12:23:00,,2654.00,1470.00,423.00,218.00,136.00,165.00,90.00,32.00,APPROVED
