LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: EUREKA,01/01/2013 00:41:00,,1860.00,1230.00,380.00,209.00,114.00,142.00,88.00,34.00,APPROVED
CA: EUREKA,01/01/2013 01:41:00,,1917.00,1264.00,390.00,208.00,114.00,146.00,88.00,34.00,APPROVED
CA: EUREKA,01/01/2013 02:42:00,,1940.00,1278.00,389.00,208.00,115.00,144.00,88.00,34.00,APPROVED
CA: EUREKA,01/01/2013 03:42:00,,1985.00,1284.00,393.00,210.00,116.00,143.00,88.00,35.00,APPROVED
CA: EUREKA,01/01/2013 04:42:00,,1992.00,1286.00,398.00,209.00,113.00,141.00,89.00,31.00,APPROVED
CA: EUREKA,01/01/2013 05:42:00,,2046.00,1311.00,404.00,213.00,113.00,145.00,89.00,34.00,APPROVED
CA: EUREKA,01/01/2013 06:42:00,,2107.00,1340.00,416.00,218.00,118.00,146.00,91.00,36.00,APPROVED
CA: EUREKA,01/01/2013 07:43:00,,2107.00,1339.00,414.00,221.00,117.00,146.00,94.00,34.00,APPROVED
CA: EUREKA,01/01/2013 08:43:00,,2147.00,1369.00,421.00,219.00,120.00,148.00,93.00,35.00,APPROVED
CA: EUREKA,01/01/2013 09:43:00,,2183.00,1381.00,430.00,226.00,119.00,152.00,94.00,37.00,APPROVED
CA: EUREKA,01/01/2013 10:43:00,,2231.00,1413.00,434.00,227.00,121.00,153.00,95.00,38.00,APPROVED
CA: EUREKA,01/01/2013 11:43:00,,2245.00,1412.00,438.00,230.00,119.00,154.00,95.00,37.00,APPROVED
CA: EUREKA,01/01/2013 12:44:00,,2234.00,1413.00,440.00,229.00,120.00,153.00,94.00,36.00,APPROVED
CA: EUREKA,01/01/2013 13:44:00,,2255.00,1420.00,441.00,234.00,123.00,155.00,92.00,37.00,APPROVED
CA: EUREKA,01/01/2013 14:44:00,,2270.00,1430.00,439.00,231.00,123.00,156.00,95.00,37.00,APPROVED
