LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: FRESNO,01/01/2015 01:18:00,,3344.00,1904.00,534.00,256.00,166.00,186.00,103.00,47.00,APPROVED
CA: FRESNO,01/01/2015 02:18:00,,3400.00,1957.00,558.00,268.00,172.00,196.00,110.00,49.00,APPROVED
CA: FRESNO,01/01/2015 03:18:00,,3443.00,1994.00,564.00,278.00,169.00,199.00,113.00,49.00,APPROVED
CA: FRESNO,01/01/2015 04:18:00,,3463.00,2012.00,564.00,282.00,173.00,200.00,112.00,50.00,APPROVED
CA: FRESNO,01/01/2015 05:19:00,,3483.00,2014.00,566.00,282.00,173.00,202.00,114.00,50.00,APPROVED
CA: FRESNO,01/01/2015 06:19:00,,3527.00,2040.00,569.00,281.00,174.00,203.00,117.00,50.00,APPROVED
CA: FRESNO,01/01/2015 07:19:00,,3550.00,2071.00,583.00,291.00,179.00,203.00,116.00,52.00,APPROVED
CA: FRESNO,01/01/2015 08:19:00,,3569.00,2083.00,583.00,297.00,179.00,207.00,116.00,51.00,APPROVED
CA: FRESNO,01/01/2015 09:19:00,,3560.00,2089.00,587.00,292.00,180.00,208.00,115.00,52.00,APPROVED
CA: FRESNO,01/01/2015 10:20:00,,3560.00,2105.00,589.00,305.00,181.00,213.00,120.00,54.00,APPROVED
CA: FRESNO,01/01/2015 11:20:00,,3583.00,2127.00,592.00,307.00,181.00,212.00,120.00,51.00,APPROVED
CA: FRESNO,01/01/2015 12:20:00,,3605.00,2152.00,595.00,314.00,186.00,213.00,124.00,52.00,APPROVED
CA: FRESNO,01/01/2015 13:20:00,,3658.00,2238.00,619.00,329.00,188.00,222.00,128.00,54.00,APPROVED
CA: FRESNO,01/01/2015 14:20:00,,3668.00,2236.00,623.00,335.00,190.00,227.00,129.00,55.00,APPROVED
CA: FRESNO,01/01/2015 15:21:00,,3675.00,2249.00,627.00,337.00,194.00,233.00,131.00,55.00,APPROVED
CA: FRESNO,01/01/2015 16:21:00,,3722.00,2291.00,642.00,341.00,195.00,233.00,133.00,56.00,APPROVED
CA: FRESNO,01/01/2015 17:21:00,,3698.00,2269.00,638.00,338.00,195.00,237.00,131.00,55.00,APPROVED
CA: FRESNO,01/01/2015 18:21:00,,3593.00,2190.00,614.00,324.00,187.00,231.00,124.00,53.00,APPROVED
CA: FRESNO,01/01/2015 19:21:00,,3424.00,2068.00,599.00,297.00,180.00,222.00,118.00,51.00,APPROVED
CA: FRESNO,01/01/2015 20:22:00,,3267.00,1919.00,574.00,277.00,175.00,211.00,107.00,50.00,APPROVED
CA: FRESNO,01/01/2015 21:22:00,,3142.00,1822.00,546.00,255.00,169.00,200.00,103.00,50.00,APPROVED
CA: FRESNO,01/01/2015 22:22:00,,3089.00,1791.00,534.00,254.00,165.00,193.00,101.00,50.00,APPROVED
CA: FRESNO,01/01/2015 23:22:00,,3033.00,1751.00,527.00,252.00,165.00,191.00,105.00,48.00,APPROVED
CA: FRESNO,01/02/2015 00:22:00,,3030.00,1770.00,527.00,253.00,164.00,188.00,107.00,48.00,APPROVED
CA: FRESNO,01/02/2015 01:23:00,,3163.00,1819.00,537.00,253.00,167.00,192.00,103.00,50.00,APPROVED
CA: FRESNO,01/02/2015 02:23:00,,3298.00,1876.00,541.00,259.00,167.00,193.00,103.00,50.00,APPROVED
