LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: LOS ANGELES,01/01/2017 00:56:00,,3130.00,1727.00,516.00,255.00,178.00,233.00,103.00,57.00,APPROVED
CA: LOS ANGELES,01/01/2017 01:57:00,,3105.00,1713.00,511.00,252.00,173.00,230.00,99.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 02:57:00,,3076.00,1680.00,506.00,249.00,177.00,230.00,94.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 03:57:00,,3042.00,1659.00,489.00,244.00,170.00,224.00,91.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 04:57:00,,3038.00,1645.00,491.00,242.00,171.00,224.00,93.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 05:58:00,,3067.00,1670.00,504.00,244.00,173.00,226.00,92.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 06:58:00,,3102.00,1697.00,508.00,250.00,171.00,233.00,89.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 07:58:00,,3116.00,1703.00,506.00,246.00,173.00,234.00,92.00,54.00,APPROVED
CA: LOS ANGELES,01/01/2017 08:58:00,,3106.00,1707.00,512.00,246.00,173.00,240.00,87.00,58.00,APPROVED
CA: LOS ANGELES,01/01/2017 09:58:00,,3089.00,1702.00,513.00,249.00,172.00,237.00,87.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 10:59:00,,3106.00,1706.00,508.00,250.00,175.00,237.00,89.00,58.00,APPROVED
CA: LOS ANGELES,01/01/2017 11:59:00,,3086.00,1693.00,513.00,248.00,174.00,237.00,86.00,57.00,APPROVED
CA: LOS ANGELES,01/01/2017 12:59:00,,3116.00,1705.00,514.00,251.00,170.00,237.00,87.00,59.00,APPROVED
CA: LOS ANGELES,01/01/2017 13:59:00,,3133.00,1704.00,516.00,252.00,178.00,244.00,85.00,59.00,APPROVED
CA: LOS ANGELES,01/01/2017 15:00:00,,3134.00,1735.00,525.00,254.00,182.00,243.00,89.00,57.00,APPROVED
CA: LOS ANGELES,01/01/2017 16:00:00,,3174.00,1760.00,531.00,257.00,177.00,245.00,91.00,58.00,APPROVED
CA: LOS ANGELES,01/01/2017 17:00:00,,3157.00,1750.00,534.00,254.00,176.00,247.00,91.00,58.00,APPROVED
CA: LOS ANGELES,01/01/2017 18:00:00,,3121.00,1727.00,521.00,253.00,176.00,241.00,93.00,57.00,APPROVED
CA: LOS ANGELES,01/01/2017 19:00:00,,3109.00,1713.00,516.00,250.00,172.00,235.00,91.00,56.00,APPROVED
CA: LOS ANGELES,01/01/2017 20:01:00,,3107.00,1721.00,514.00,255.00,176.00,229.00,100.00,55.00,APPROVED
CA: LOS ANGELES,01/01/2017 21:01:00,,3106.00,1738.00,515.00,251.00,178.00,226.00,109.00,53.00,APPROVED
CA: LOS ANGELES,01/01/2017 22:01:00,,3096.00,1746.00,515.00,258.00,178.00,224.00,116.00,54.00,APPROVED
CA: LOS ANGELES,01/01/2017 23:01:00,,3128.00,1754.00,518.00,257.00,175.00,223.00,114.00,56.00,APPROVED
CA: LOS ANGELES,01/02/2017 00:02:00,,3104.00,1731.00,511.00,257.00,175.00,224.00,109.00,53.00,APPROVED
CA: LOS ANGELES,01/02/2017 01:02:00,,3099.00,1728.00,510.00,252.00,176.00,222.00,106.00,55.00,APPROVED
CA: LOS ANGELES,01/02/2017 02:02:00,,3115.00,1717.00,505.00,250.00,175.00,222.00,105.00,57.00,APPROVED
CA: LOS ANGELES,01/02/2017 03:02:00,,3098.00,1718.00,509.00,247.00,172.00,229.00,99.00,54.00,APPROVED
CA: LOS ANGELES,01/02/2017 04:03:00,,3102.00,1728.00,514.00,251.00,175.00,230.00,105.00,53.00,APPROVED
CA: LOS ANGELES,01/02/2017 05:03:00,,3104.00,1716.00,512.00,254.00,175.00,234.00,101.00,55.00,APPROVED
CA: LOS ANGELES,01/02/2017 06:03:00,,3077.00,1695.00,505.00,250.00,174.00,225.00,101.00,56.00,APPROVED
