LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: RIVERSIDE,03/02/2007 20:55:00,,3615.00,385.00,172.00,167.00,220.00,132.00,18.00,21.00,APPROVED
CA: RIVERSIDE,03/02/2007 21:55:00,,3378.00,368.00,171.00,170.00,223.00,132.00,19.00,22.00,APPROVED
CA: RIVERSIDE,03/02/2007 22:55:00,,3482.00,382.00,174.00,168.00,225.00,133.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/02/2007 23:55:00,,3525.00,383.00,179.00,173.00,232.00,136.00,20.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 00:55:00,,3439.00,383.00,178.00,172.00,223.00,133.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 01:56:00,,3311.00,363.00,169.00,160.00,220.00,128.00,18.00,21.00,APPROVED
CA: RIVERSIDE,03/03/2007 02:56:00,,3327.00,361.00,168.00,163.00,215.00,126.00,18.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 03:56:00,,3346.00,358.00,170.00,160.00,216.00,129.00,17.00,22.00,APPROVED
CA: RIVERSIDE,03/03/2007 04:56:00,,3353.00,358.00,171.00,160.00,217.00,128.00,18.00,22.00,APPROVED
CA: RIVERSIDE,03/03/2007 16:58:00,,3467.00,371.00,184.00,171.00,228.00,132.00,18.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 17:59:00,,3420.00,378.00,182.00,172.00,228.00,133.00,19.00,24.00,APPROVED
CA: RIVERSIDE,03/03/2007 18:59:00,,3365.00,377.00,179.00,173.00,229.00,137.00,21.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 19:59:00,,3332.00,372.00,175.00,173.00,227.00,137.00,20.00,23.00,APPROVED
CA: RIVERSIDE,03/03/2007 20:59:00,,3298.00,372.00,180.00,171.00,228.00,135.00,21.00,22.00,APPROVED
CA: RIVERSIDE,03/03/2007 21:59:00,,3301.00,367.00,173.00,170.00,227.00,138.00,20.00,22.00,APPROVED
CA: RIVERSIDE,03/03/2007 23:00:00,,3326.00,375.00,176.00,169.00,226.00,139.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 00:00:00,,3397.00,373.00,178.00,175.00,231.00,138.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 01:00:00,,3410.00,378.00,175.00,172.00,225.00,136.00,20.00,21.00,APPROVED
CA: RIVERSIDE,03/04/2007 02:00:00,,3416.00,374.00,176.00,172.00,225.00,134.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 03:00:00,,3417.00,369.00,177.00,169.00,226.00,131.00,20.00,22.00,APPROVED
CA: RIVERSIDE,03/04/2007 04:01:00,,3418.00,369.00,179.00,171.00,226.00,134.00,18.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 05:01:00,,3427.00,369.00,180.00,165.00,224.00,131.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 06:01:00,,3439.00,371.00,179.00,163.00,223.00,129.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 17:03:00,,3555.00,388.00,191.00,179.00,237.00,138.00,21.00,25.00,APPROVED
CA: RIVERSIDE,03/04/2007 18:03:00,,3528.00,388.00,192.00,179.00,235.00,139.00,21.00,24.00,APPROVED
CA: RIVERSIDE,03/04/2007 19:03:00,,3456.00,388.00,189.00,181.00,236.00,137.00,22.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 20:04:00,,3402.00,382.00,188.00,179.00,234.00,140.00,21.00,24.00,APPROVED
CA: RIVERSIDE,03/04/2007 21:04:00,,3393.00,378.00,180.00,180.00,232.00,141.00,20.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 22:04:00,,3397.00,376.00,177.00,175.00,229.00,137.00,22.00,23.00,APPROVED
CA: RIVERSIDE,03/04/2007 23:04:00,,3393.00,367.00,173.00,174.00,225.00,135.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 00:04:00,,3390.00,376.00,174.00,171.00,228.00,137.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 01:05:00,,3390.00,375.00,173.00,174.00,225.00,136.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 02:05:00,,3408.00,374.00,174.00,171.00,227.00,136.00,20.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 03:05:00,,3422.00,377.00,173.00,172.00,229.00,136.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 04:05:00,,3426.00,372.00,179.00,167.00,227.00,136.00,19.00,23.00,APPROVED
CA: RIVERSIDE,03/05/2007 05:05:00,,3439.00,372.00,179.00,171.00,227.00,133.00,19.00,24.00,APPROVED
