LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN BERNARDINO,01/01/2016 00:36:00,,3119.00,1881.00,524.00,299.00,179.00,207.00,132.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 01:36:00,,3103.00,1855.00,516.00,288.00,176.00,201.00,131.00,42.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 02:36:00,,3108.00,1834.00,516.00,282.00,174.00,198.00,131.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 03:36:00,,3108.00,1823.00,514.00,278.00,175.00,196.00,129.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 04:37:00,,3089.00,1816.00,514.00,272.00,173.00,194.00,123.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 05:37:00,,3077.00,1817.00,508.00,269.00,173.00,195.00,122.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 06:37:00,,3055.00,1781.00,503.00,271.00,170.00,194.00,121.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 07:37:00,,3048.00,1785.00,506.00,270.00,169.00,197.00,119.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 08:37:00,,3064.00,1803.00,509.00,269.00,174.00,196.00,120.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 09:38:00,,3075.00,1805.00,514.00,272.00,174.00,198.00,119.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 10:38:00,,3069.00,1791.00,512.00,269.00,174.00,199.00,121.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 11:38:00,,3074.00,1798.00,508.00,271.00,173.00,199.00,118.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 12:38:00,,3069.00,1805.00,509.00,266.00,173.00,200.00,119.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 13:38:00,,3047.00,1783.00,505.00,265.00,170.00,195.00,122.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 14:39:00,,3049.00,1790.00,504.00,269.00,173.00,194.00,127.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 15:39:00,,3057.00,1809.00,506.00,276.00,175.00,195.00,127.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 16:39:00,,3047.00,1803.00,506.00,279.00,172.00,196.00,122.00,42.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 17:39:00,,3100.00,1830.00,514.00,278.00,173.00,197.00,125.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 18:39:00,,3108.00,1842.00,505.00,286.00,174.00,200.00,132.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 19:40:00,,3077.00,1857.00,508.00,290.00,174.00,201.00,133.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 20:40:00,,3076.00,1879.00,515.00,298.00,177.00,204.00,134.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 21:40:00,,3089.00,1884.00,517.00,301.00,180.00,205.00,137.00,44.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 22:40:00,,3085.00,1897.00,514.00,301.00,176.00,204.00,134.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2016 23:40:00,,3078.00,1869.00,518.00,295.00,175.00,203.00,137.00,45.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 00:41:00,,3098.00,1882.00,510.00,294.00,176.00,202.00,136.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 01:41:00,,3103.00,1847.00,512.00,289.00,176.00,200.00,131.00,42.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 02:41:00,,3074.00,1835.00,513.00,282.00,172.00,196.00,126.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 03:41:00,,3083.00,1832.00,508.00,275.00,173.00,201.00,125.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 04:42:00,,3113.00,1835.00,515.00,275.00,174.00,198.00,124.00,40.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 05:42:00,,3153.00,1856.00,528.00,282.00,175.00,205.00,122.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 06:42:00,,3156.00,1863.00,528.00,285.00,177.00,204.00,124.00,44.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 07:42:00,,3163.00,1893.00,523.00,285.00,177.00,211.00,125.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 08:42:00,,3152.00,1893.00,529.00,290.00,178.00,209.00,127.00,42.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 09:43:00,,3166.00,1919.00,534.00,297.00,180.00,209.00,129.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 10:43:00,,3144.00,1911.00,528.00,302.00,179.00,205.00,130.00,42.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 11:43:00,,3127.00,1895.00,523.00,291.00,179.00,206.00,129.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 12:43:00,,3128.00,1902.00,531.00,291.00,179.00,204.00,130.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 13:43:00,,3159.00,1911.00,528.00,297.00,180.00,207.00,132.00,44.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 14:44:00,,3104.00,1878.00,531.00,293.00,178.00,208.00,132.00,45.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 15:44:00,,3123.00,1898.00,524.00,297.00,180.00,206.00,135.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 16:44:00,,3105.00,1871.00,526.00,295.00,180.00,202.00,132.00,42.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 17:44:00,,3181.00,1913.00,537.00,293.00,179.00,206.00,130.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 18:44:00,,3175.00,1954.00,537.00,310.00,185.00,212.00,137.00,46.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 19:45:00,,3180.00,1988.00,536.00,320.00,183.00,215.00,139.00,46.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 20:45:00,,3146.00,1961.00,534.00,320.00,182.00,217.00,139.00,49.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 21:45:00,,3125.00,1952.00,526.00,315.00,181.00,217.00,141.00,47.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 22:45:00,,3112.00,1925.00,522.00,306.00,178.00,209.00,136.00,47.00,APPROVED
CA: SAN BERNARDINO,01/02/2016 23:45:00,,3109.00,1929.00,523.00,307.00,181.00,208.00,140.00,47.00,APPROVED
CA: SAN BERNARDINO,01/03/2016 00:46:00,,3138.00,1933.00,526.00,309.00,178.00,208.00,137.00,44.00,APPROVED
CA: SAN BERNARDINO,01/03/2016 01:46:00,,3167.00,1981.00,538.00,312.00,183.00,213.00,140.00,46.00,APPROVED
CA: SAN BERNARDINO,01/03/2016 02:46:00,,3187.00,1969.00,541.00,318.00,187.00,212.00,139.00,47.00,APPROVED
CA: SAN BERNARDINO,01/03/2016 03:46:00,,3209.00,1975.00,542.00,312.00,186.00,215.00,138.00,46.00,APPROVED
