LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN DIEGO,01/01/2026 00:16:00,89.00,3461.00,2043.00,580.00,318.00,205.00,248.00,175.00,38.00,APPROVED
CA: SAN DIEGO,01/01/2026 01:17:00,88.00,3447.00,2035.00,584.00,317.00,204.00,248.00,176.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 02:17:00,92.00,3443.00,2019.00,578.00,317.00,206.00,249.00,175.00,37.00,APPROVED
CA: SAN DIEGO,01/01/2026 03:17:00,85.00,3429.00,2021.00,579.00,315.00,206.00,249.00,175.00,36.00,APPROVED
CA: SAN DIEGO,01/01/2026 04:17:00,90.00,3430.00,2046.00,579.00,324.00,209.00,251.00,176.00,39.00,APPROVED
CA: SAN DIEGO,01/01/2026 05:17:00,90.00,3439.00,2037.00,581.00,322.00,208.00,247.00,177.00,38.00,APPROVED
CA: SAN DIEGO,01/01/2026 06:18:00,91.00,3503.00,2106.00,597.00,332.00,210.00,255.00,180.00,41.00,APPROVED
CA: SAN DIEGO,01/01/2026 07:18:00,95.00,3590.00,2185.00,618.00,346.00,218.00,267.00,182.00,43.00,APPROVED
CA: SAN DIEGO,01/01/2026 08:18:00,95.00,3596.00,2166.00,618.00,356.00,217.00,268.00,183.00,45.00,APPROVED
CA: SAN DIEGO,01/01/2026 09:18:00,90.00,3519.00,2104.00,598.00,331.00,210.00,259.00,178.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 10:18:00,90.00,3458.00,2045.00,584.00,326.00,205.00,251.00,176.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 11:19:00,92.00,3501.00,2085.00,591.00,332.00,210.00,258.00,180.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 12:19:00,91.00,3493.00,2087.00,595.00,328.00,213.00,255.00,177.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 13:19:00,92.00,3487.00,2097.00,598.00,324.00,208.00,254.00,177.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 14:19:00,89.00,3474.00,2074.00,586.00,332.00,212.00,255.00,178.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 15:20:00,91.00,3411.00,2049.00,578.00,320.00,204.00,249.00,175.00,40.00,APPROVED
CA: SAN DIEGO,01/01/2026 16:20:00,90.00,3345.00,1985.00,563.00,308.00,200.00,245.00,168.00,39.00,APPROVED
