LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN JOSE,01/01/2011 00:21:00,,1764.00,1058.00,344.00,157.00,109.00,148.00,58.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 01:21:00,,1794.00,1067.00,346.00,160.00,110.00,151.00,59.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 02:21:00,,1806.00,1077.00,346.00,159.00,108.00,149.00,58.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 03:21:00,,1834.00,1082.00,352.00,160.00,112.00,151.00,59.00,38.00,APPROVED
CA: SAN JOSE,01/01/2011 04:22:00,,1867.00,1110.00,352.00,165.00,111.00,151.00,60.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 05:22:00,,1879.00,1122.00,362.00,164.00,112.00,155.00,59.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 06:22:00,,1922.00,1141.00,365.00,168.00,116.00,159.00,62.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 07:22:00,,1931.00,1164.00,375.00,171.00,115.00,161.00,60.00,38.00,APPROVED
CA: SAN JOSE,01/01/2011 10:23:00,,1980.00,1197.00,382.00,175.00,119.00,163.00,62.00,39.00,APPROVED
CA: SAN JOSE,01/01/2011 11:23:00,,2003.00,1216.00,393.00,176.00,117.00,166.00,64.00,38.00,APPROVED
CA: SAN JOSE,01/01/2011 12:23:00,,2014.00,1198.00,386.00,175.00,119.00,164.00,60.00,38.00,APPROVED
CA: SAN JOSE,01/01/2011 14:24:00,,1963.00,1180.00,379.00,170.00,115.00,161.00,61.00,36.00,APPROVED
CA: SAN JOSE,01/01/2011 15:24:00,,1967.00,1192.00,375.00,171.00,116.00,161.00,60.00,40.00,APPROVED
CA: SAN JOSE,01/01/2011 16:24:00,,1970.00,1179.00,377.00,170.00,114.00,164.00,59.00,38.00,APPROVED
CA: SAN JOSE,01/01/2011 17:24:00,,1943.00,1176.00,371.00,170.00,117.00,160.00,61.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 18:25:00,,1939.00,1154.00,372.00,165.00,117.00,160.00,59.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 19:25:00,,1924.00,1166.00,368.00,166.00,116.00,160.00,60.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 20:25:00,,1917.00,1148.00,366.00,169.00,114.00,157.00,60.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 21:25:00,,1917.00,1149.00,365.00,166.00,112.00,157.00,61.00,37.00,APPROVED
CA: SAN JOSE,01/01/2011 22:26:00,,1912.00,1144.00,368.00,169.00,116.00,157.00,61.00,36.00,APPROVED
CA: SAN JOSE,01/01/2011 23:26:00,,1916.00,1146.00,367.00,171.00,113.00,158.00,61.00,38.00,APPROVED
CA: SAN JOSE,01/02/2011 00:26:00,,1895.00,1150.00,369.00,169.00,112.00,156.00,62.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 01:26:00,,1902.00,1156.00,367.00,165.00,115.00,158.00,62.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 02:26:00,,1892.00,1134.00,366.00,169.00,115.00,157.00,62.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 04:27:00,,1921.00,1133.00,366.00,164.00,113.00,156.00,59.00,36.00,APPROVED
CA: SAN JOSE,01/02/2011 05:27:00,,1907.00,1142.00,361.00,166.00,114.00,156.00,61.00,38.00,APPROVED
CA: SAN JOSE,01/02/2011 06:27:00,,1881.00,1113.00,358.00,163.00,110.00,151.00,59.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 07:27:00,,1881.00,1121.00,354.00,164.00,111.00,153.00,58.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 08:28:00,,1957.00,1215.00,381.00,173.00,118.00,160.00,62.00,38.00,APPROVED
CA: SAN JOSE,01/02/2011 09:28:00,,1949.00,1202.00,383.00,174.00,118.00,166.00,63.00,37.00,APPROVED
CA: SAN JOSE,01/02/2011 10:28:00,,1912.00,1177.00,379.00,173.00,117.00,161.00,64.00,38.00,APPROVED
