LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CO: COLORADO SPRINGS,01/05/2020 21:53:00,,4137.00,2387.00,678.00,363.00,234.00,267.00,185.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/05/2020 22:53:00,,4134.00,2421.00,694.00,372.00,240.00,278.00,191.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/05/2020 23:53:00,,4168.00,2421.00,692.00,373.00,237.00,273.00,190.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 00:53:00,,4141.00,2426.00,696.00,380.00,239.00,276.00,189.00,77.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 01:54:00,,4166.00,2429.00,693.00,374.00,238.00,278.00,189.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 02:54:00,,4173.00,2430.00,698.00,376.00,234.00,277.00,192.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 03:54:00,,4215.00,2463.00,701.00,379.00,239.00,276.00,188.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 04:54:00,,4314.00,2542.00,718.00,396.00,244.00,289.00,193.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 05:55:00,,4313.00,2585.00,725.00,404.00,253.00,297.00,193.00,84.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 06:55:00,,4167.00,2473.00,705.00,390.00,245.00,284.00,195.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 07:55:00,,4065.00,2372.00,683.00,365.00,240.00,273.00,183.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 08:55:00,,4074.00,2366.00,683.00,367.00,232.00,270.00,186.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 09:55:00,,4090.00,2362.00,680.00,362.00,235.00,272.00,183.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 10:56:00,,4068.00,2368.00,678.00,361.00,236.00,275.00,186.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 11:56:00,,4054.00,2343.00,675.00,357.00,233.00,271.00,182.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 12:56:00,,4076.00,2346.00,676.00,357.00,230.00,267.00,183.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 13:56:00,,4083.00,2349.00,665.00,354.00,232.00,269.00,183.00,78.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 14:56:00,,4040.00,2327.00,666.00,350.00,232.00,266.00,180.00,78.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 15:57:00,,4036.00,2312.00,668.00,348.00,229.00,262.00,182.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 16:57:00,,3999.00,2293.00,664.00,350.00,229.00,264.00,180.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 17:57:00,,3997.00,2300.00,668.00,349.00,228.00,265.00,180.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 18:57:00,,4000.00,2303.00,665.00,349.00,227.00,264.00,181.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 19:57:00,,3979.00,2293.00,659.00,348.00,227.00,264.00,185.00,76.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 20:58:00,,3959.00,2266.00,664.00,348.00,228.00,268.00,179.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 21:58:00,,3959.00,2277.00,663.00,348.00,231.00,263.00,184.00,78.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 22:58:00,,3972.00,2297.00,664.00,351.00,228.00,262.00,182.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/06/2020 23:58:00,,3978.00,2298.00,656.00,350.00,229.00,261.00,184.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 00:58:00,,3994.00,2306.00,668.00,353.00,233.00,265.00,181.00,78.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 01:59:00,,3996.00,2298.00,663.00,352.00,230.00,265.00,181.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 02:59:00,,4029.00,2335.00,667.00,359.00,232.00,270.00,188.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 03:59:00,,4047.00,2335.00,680.00,361.00,231.00,270.00,183.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 04:59:00,,4107.00,2386.00,683.00,365.00,234.00,273.00,189.00,78.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 05:59:00,,4116.00,2409.00,689.00,371.00,237.00,271.00,189.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 07:00:00,,4112.00,2418.00,688.00,368.00,239.00,279.00,189.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 08:00:00,,4113.00,2397.00,691.00,370.00,234.00,276.00,185.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 09:00:00,,4117.00,2408.00,687.00,375.00,237.00,275.00,186.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 10:00:00,,4131.00,2421.00,684.00,371.00,233.00,275.00,187.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 11:00:00,,4070.00,2367.00,680.00,368.00,234.00,274.00,185.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 12:01:00,,4021.00,2329.00,675.00,357.00,233.00,264.00,184.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 13:01:00,,4041.00,2351.00,672.00,357.00,231.00,270.00,185.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 14:01:00,,4064.00,2375.00,676.00,363.00,232.00,273.00,188.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 15:01:00,,4110.00,2398.00,682.00,366.00,239.00,277.00,190.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 16:01:00,,4120.00,2408.00,684.00,373.00,237.00,283.00,190.00,83.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 17:02:00,,4072.00,2421.00,696.00,381.00,239.00,279.00,190.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 18:02:00,,3940.00,2342.00,677.00,367.00,235.00,277.00,192.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 19:02:00,,3913.00,2310.00,678.00,365.00,234.00,274.00,191.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 20:02:00,,3864.00,2275.00,665.00,360.00,231.00,268.00,190.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 21:02:00,,3842.00,2273.00,667.00,363.00,235.00,270.00,188.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 22:03:00,,3773.00,2246.00,665.00,357.00,227.00,272.00,193.00,79.00,APPROVED
CO: COLORADO SPRINGS,01/07/2020 23:03:00,,3713.00,2215.00,663.00,357.00,232.00,273.00,191.00,81.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 00:03:00,,3835.00,2287.00,675.00,364.00,234.00,277.00,192.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 01:03:00,,4055.00,2460.00,700.00,391.00,243.00,284.00,199.00,83.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 02:03:00,,4134.00,2508.00,706.00,396.00,243.00,289.00,198.00,83.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 03:04:00,,4100.00,2445.00,697.00,384.00,240.00,287.00,196.00,85.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 04:04:00,,3987.00,2350.00,676.00,370.00,235.00,276.00,189.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 05:04:00,,3991.00,2349.00,677.00,360.00,232.00,271.00,189.00,82.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 06:04:00,,4013.00,2375.00,681.00,368.00,235.00,276.00,192.00,80.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 07:04:00,,4135.00,2472.00,697.00,386.00,242.00,284.00,194.00,84.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 08:05:00,,4217.00,2530.00,715.00,397.00,247.00,289.00,196.00,84.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 09:05:00,,4238.00,2536.00,717.00,403.00,249.00,296.00,196.00,86.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 10:05:00,,4245.00,2563.00,727.00,405.00,246.00,299.00,196.00,83.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 11:05:00,,4265.00,2575.00,733.00,407.00,251.00,292.00,198.00,85.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 12:05:00,,4303.00,2592.00,730.00,415.00,249.00,298.00,202.00,85.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 13:06:00,,4294.00,2603.00,734.00,410.00,251.00,300.00,200.00,85.00,APPROVED
CO: COLORADO SPRINGS,01/08/2020 14:06:00,,4311.00,2592.00,737.00,415.00,253.00,304.00,199.00,84.00,APPROVED
