LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CT: HARTFORD,01/01/2015 00:16:00,,2746.00,1764.00,567.00,283.00,163.00,164.00,87.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 01:16:00,,2749.00,1777.00,567.00,279.00,167.00,164.00,87.00,30.00,APPROVED
CT: HARTFORD,01/01/2015 02:16:00,,2753.00,1770.00,565.00,279.00,165.00,166.00,88.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 03:17:00,,2756.00,1777.00,563.00,280.00,167.00,165.00,86.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 04:17:00,,2763.00,1793.00,564.00,281.00,166.00,169.00,88.00,32.00,APPROVED
CT: HARTFORD,01/01/2015 05:17:00,,2763.00,1784.00,565.00,284.00,168.00,167.00,92.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 06:17:00,,2761.00,1803.00,568.00,284.00,164.00,171.00,91.00,30.00,APPROVED
CT: HARTFORD,01/01/2015 07:18:00,,2789.00,1792.00,568.00,280.00,167.00,167.00,89.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 08:18:00,,2783.00,1802.00,574.00,282.00,165.00,168.00,90.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 09:18:00,,2771.00,1811.00,564.00,286.00,167.00,170.00,90.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 10:18:00,,2785.00,1813.00,572.00,285.00,165.00,168.00,90.00,32.00,APPROVED
CT: HARTFORD,01/01/2015 11:19:00,,2777.00,1818.00,576.00,287.00,165.00,168.00,92.00,32.00,APPROVED
CT: HARTFORD,01/01/2015 12:19:00,,2794.00,1816.00,574.00,288.00,166.00,171.00,90.00,33.00,APPROVED
CT: HARTFORD,01/01/2015 13:19:00,,2790.00,1828.00,577.00,289.00,168.00,170.00,91.00,32.00,APPROVED
CT: HARTFORD,01/01/2015 14:19:00,,2809.00,1826.00,574.00,292.00,168.00,171.00,91.00,31.00,APPROVED
CT: HARTFORD,01/01/2015 15:19:00,,2821.00,1831.00,582.00,285.00,169.00,172.00,93.00,32.00,APPROVED
