LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
DC: WASHINGTON,01/01/2019 00:18:00,,1118.00,670.00,209.00,110.00,64.00,98.00,61.00,38.00,APPROVED
DC: WASHINGTON,01/01/2019 01:18:00,,1076.00,635.00,197.00,102.00,64.00,93.00,59.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 02:18:00,53.00,1037.00,604.00,189.00,100.00,63.00,93.00,57.00,38.00,APPROVED
DC: WASHINGTON,01/01/2019 03:19:00,55.00,1022.00,595.00,185.00,99.00,61.00,90.00,57.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 04:19:00,53.00,1036.00,606.00,186.00,99.00,63.00,93.00,58.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 05:19:00,56.00,1053.00,626.00,190.00,103.00,65.00,93.00,59.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 06:19:00,52.00,1027.00,612.00,192.00,103.00,62.00,93.00,57.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 07:19:00,46.00,1002.00,574.00,182.00,95.00,60.00,87.00,56.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 08:20:00,47.00,982.00,549.00,168.00,89.00,57.00,80.00,55.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 09:20:00,43.00,956.00,527.00,162.00,84.00,54.00,81.00,51.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 10:20:00,45.00,947.00,517.00,162.00,83.00,53.00,77.00,52.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 11:20:00,43.00,946.00,516.00,160.00,84.00,54.00,79.00,50.00,34.00,APPROVED
DC: WASHINGTON,01/01/2019 12:21:00,45.00,949.00,513.00,157.00,80.00,53.00,78.00,52.00,37.00,APPROVED
DC: WASHINGTON,01/01/2019 13:21:00,43.00,942.00,512.00,156.00,84.00,56.00,79.00,50.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 14:21:00,44.00,935.00,500.00,153.00,82.00,52.00,76.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/01/2019 15:21:00,41.00,912.00,483.00,149.00,79.00,52.00,75.00,51.00,35.00,APPROVED
DC: WASHINGTON,01/01/2019 16:22:00,42.00,920.00,486.00,148.00,78.00,50.00,73.00,49.00,34.00,APPROVED
DC: WASHINGTON,01/01/2019 17:22:00,41.00,922.00,502.00,153.00,77.00,52.00,74.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 18:22:00,44.00,927.00,499.00,153.00,79.00,53.00,74.00,50.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 19:22:00,43.00,953.00,511.00,157.00,79.00,54.00,75.00,50.00,34.00,APPROVED
DC: WASHINGTON,01/01/2019 20:22:00,43.00,973.00,535.00,162.00,83.00,53.00,77.00,51.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 21:23:00,43.00,968.00,527.00,159.00,85.00,55.00,78.00,51.00,35.00,APPROVED
DC: WASHINGTON,01/01/2019 22:23:00,47.00,947.00,518.00,154.00,80.00,54.00,75.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/01/2019 23:23:00,46.00,948.00,502.00,154.00,79.00,53.00,75.00,50.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 00:23:00,47.00,949.00,505.00,150.00,79.00,53.00,74.00,49.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 01:24:00,46.00,931.00,496.00,150.00,78.00,54.00,72.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 02:24:00,45.00,931.00,486.00,148.00,75.00,51.00,72.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 03:24:00,47.00,925.00,491.00,150.00,77.00,51.00,70.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 04:24:00,47.00,923.00,480.00,150.00,77.00,52.00,71.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 05:24:00,44.00,923.00,487.00,145.00,78.00,50.00,70.00,49.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 06:25:00,50.00,922.00,486.00,149.00,78.00,51.00,71.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 07:25:00,49.00,913.00,479.00,148.00,76.00,51.00,73.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 08:25:00,49.00,918.00,481.00,145.00,77.00,51.00,71.00,50.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 09:25:00,48.00,919.00,495.00,149.00,78.00,51.00,73.00,50.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 10:26:00,46.00,927.00,500.00,151.00,79.00,52.00,73.00,48.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 11:26:00,48.00,928.00,494.00,152.00,80.00,52.00,72.00,49.00,33.00,APPROVED
DC: WASHINGTON,01/02/2019 12:26:00,48.00,934.00,506.00,151.00,80.00,52.00,75.00,51.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 13:26:00,48.00,924.00,493.00,150.00,78.00,53.00,75.00,51.00,33.00,APPROVED
DC: WASHINGTON,01/02/2019 14:27:00,46.00,916.00,491.00,148.00,76.00,51.00,72.00,50.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 15:27:00,46.00,919.00,493.00,151.00,77.00,51.00,74.00,50.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 16:27:00,47.00,916.00,485.00,150.00,77.00,52.00,73.00,48.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 17:27:00,45.00,904.00,485.00,147.00,77.00,51.00,72.00,49.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 18:27:00,47.00,908.00,483.00,149.00,77.00,52.00,73.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 19:28:00,48.00,909.00,487.00,146.00,78.00,51.00,71.00,48.00,34.00,APPROVED
DC: WASHINGTON,01/02/2019 20:28:00,45.00,914.00,474.00,149.00,74.00,52.00,71.00,49.00,36.00,APPROVED
DC: WASHINGTON,01/02/2019 21:28:00,51.00,905.00,476.00,145.00,76.00,51.00,73.00,49.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 22:28:00,45.00,908.00,476.00,145.00,74.00,51.00,70.00,48.00,35.00,APPROVED
DC: WASHINGTON,01/02/2019 23:29:00,46.00,905.00,469.00,144.00,75.00,50.00,69.00,47.00,35.00,APPROVED
DC: WASHINGTON,01/03/2019 00:29:00,49.00,904.00,465.00,141.00,73.00,49.00,71.00,46.00,36.00,APPROVED
DC: WASHINGTON,01/03/2019 01:29:00,48.00,896.00,463.00,143.00,72.00,49.00,68.00,48.00,33.00,APPROVED
DC: WASHINGTON,01/03/2019 02:29:00,46.00,900.00,472.00,141.00,75.00,49.00,71.00,48.00,34.00,APPROVED
DC: WASHINGTON,01/03/2019 03:30:00,47.00,895.00,469.00,143.00,75.00,50.00,68.00,48.00,34.00,APPROVED
