LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
FL: MIAMI,01/01/2024 00:09:00,48.00,1650.00,878.00,243.00,120.00,79.00,98.00,51.00,23.00,APPROVED
FL: MIAMI,01/01/2024 01:09:00,47.00,1643.00,889.00,243.00,122.00,78.00,97.00,50.00,21.00,APPROVED
FL: MIAMI,01/01/2024 02:09:00,50.00,1639.00,887.00,245.00,120.00,79.00,96.00,50.00,22.00,APPROVED
FL: MIAMI,01/01/2024 03:09:00,48.00,1635.00,878.00,242.00,119.00,79.00,97.00,50.00,24.00,APPROVED
FL: MIAMI,01/01/2024 04:10:00,47.00,1651.00,881.00,243.00,120.00,78.00,98.00,50.00,22.00,APPROVED
FL: MIAMI,01/01/2024 05:10:00,47.00,1639.00,879.00,247.00,117.00,76.00,96.00,51.00,23.00,APPROVED
FL: MIAMI,01/01/2024 06:10:00,48.00,1646.00,879.00,247.00,119.00,76.00,96.00,50.00,22.00,APPROVED
FL: MIAMI,01/01/2024 07:10:00,50.00,1692.00,900.00,251.00,122.00,78.00,101.00,52.00,23.00,APPROVED
FL: MIAMI,01/01/2024 08:11:00,48.00,1674.00,894.00,250.00,120.00,79.00,98.00,51.00,22.00,APPROVED
FL: MIAMI,01/01/2024 09:11:00,48.00,1673.00,891.00,251.00,121.00,81.00,98.00,51.00,23.00,APPROVED
FL: MIAMI,01/01/2024 10:11:00,47.00,1665.00,894.00,248.00,120.00,80.00,99.00,48.00,23.00,APPROVED
FL: MIAMI,01/01/2024 11:11:00,49.00,1664.00,890.00,242.00,119.00,80.00,97.00,49.00,23.00,APPROVED
FL: MIAMI,01/01/2024 12:12:00,50.00,1655.00,893.00,247.00,124.00,78.00,99.00,48.00,23.00,APPROVED
FL: MIAMI,01/01/2024 13:12:00,49.00,1652.00,889.00,244.00,121.00,77.00,100.00,48.00,23.00,APPROVED
FL: MIAMI,01/01/2024 14:12:00,49.00,1658.00,892.00,245.00,119.00,78.00,98.00,49.00,23.00,APPROVED
FL: MIAMI,01/01/2024 15:12:00,48.00,1649.00,870.00,245.00,121.00,77.00,96.00,47.00,24.00,APPROVED
FL: MIAMI,01/01/2024 16:12:00,45.00,1642.00,887.00,244.00,119.00,80.00,98.00,51.00,23.00,APPROVED
FL: MIAMI,01/01/2024 18:13:00,51.00,1639.00,892.00,244.00,122.00,77.00,98.00,52.00,23.00,APPROVED
FL: MIAMI,01/01/2024 19:13:00,50.00,1641.00,898.00,242.00,124.00,79.00,97.00,53.00,24.00,APPROVED
FL: MIAMI,01/01/2024 20:13:00,48.00,1643.00,896.00,244.00,124.00,80.00,96.00,55.00,24.00,APPROVED
FL: MIAMI,01/01/2024 21:14:00,47.00,1631.00,891.00,242.00,124.00,77.00,99.00,54.00,24.00,APPROVED
FL: MIAMI,01/01/2024 22:14:00,48.00,1634.00,887.00,243.00,122.00,79.00,97.00,52.00,23.00,APPROVED
FL: MIAMI,01/01/2024 23:14:00,47.00,1651.00,890.00,240.00,124.00,79.00,96.00,52.00,24.00,APPROVED
FL: MIAMI,01/02/2024 00:14:00,48.00,1637.00,890.00,245.00,125.00,76.00,98.00,51.00,23.00,APPROVED
FL: MIAMI,01/02/2024 01:15:00,49.00,1638.00,881.00,241.00,121.00,77.00,97.00,50.00,23.00,APPROVED
FL: MIAMI,01/02/2024 02:15:00,49.00,1632.00,889.00,243.00,119.00,78.00,97.00,51.00,22.00,APPROVED
FL: MIAMI,01/02/2024 03:15:00,50.00,1653.00,893.00,248.00,119.00,76.00,99.00,49.00,22.00,APPROVED
FL: MIAMI,01/02/2024 04:15:00,49.00,1652.00,892.00,245.00,123.00,78.00,100.00,49.00,23.00,APPROVED
FL: MIAMI,01/02/2024 05:16:00,50.00,1653.00,880.00,245.00,119.00,78.00,100.00,50.00,22.00,APPROVED
FL: MIAMI,01/02/2024 06:16:00,50.00,1649.00,889.00,244.00,119.00,77.00,97.00,49.00,22.00,APPROVED
FL: MIAMI,01/02/2024 07:16:00,50.00,1651.00,882.00,247.00,119.00,76.00,99.00,49.00,23.00,APPROVED
FL: MIAMI,01/02/2024 08:16:00,48.00,1645.00,886.00,245.00,118.00,77.00,99.00,49.00,23.00,APPROVED
FL: MIAMI,01/02/2024 09:16:00,49.00,1646.00,883.00,245.00,120.00,78.00,99.00,48.00,23.00,APPROVED
FL: MIAMI,01/02/2024 10:17:00,48.00,1647.00,877.00,243.00,119.00,77.00,98.00,50.00,23.00,APPROVED
FL: MIAMI,01/02/2024 11:17:00,50.00,1637.00,884.00,245.00,118.00,78.00,97.00,47.00,23.00,APPROVED
FL: MIAMI,01/02/2024 12:17:00,48.00,1634.00,885.00,240.00,118.00,79.00,98.00,50.00,22.00,APPROVED
FL: MIAMI,01/02/2024 13:17:00,49.00,1648.00,887.00,245.00,121.00,78.00,98.00,49.00,23.00,APPROVED
