LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
FL: ORLANDO,01/01/2013 00:47:00,,1746.00,987.00,269.00,137.00,82.00,103.00,53.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 01:47:00,,1807.00,1006.00,268.00,136.00,83.00,105.00,51.00,27.00,APPROVED
FL: ORLANDO,01/01/2013 02:47:00,,1847.00,1015.00,272.00,134.00,79.00,108.00,50.00,28.00,APPROVED
FL: ORLANDO,01/01/2013 03:47:00,,1859.00,1019.00,275.00,136.00,81.00,106.00,50.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 04:48:00,,1882.00,1029.00,274.00,137.00,80.00,107.00,53.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 05:48:00,,1882.00,1044.00,274.00,141.00,79.00,107.00,55.00,28.00,APPROVED
FL: ORLANDO,01/01/2013 06:48:00,,1905.00,1064.00,277.00,148.00,82.00,107.00,56.00,30.00,APPROVED
FL: ORLANDO,01/01/2013 07:48:00,,1966.00,1108.00,281.00,155.00,86.00,111.00,58.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 08:48:00,,1942.00,1103.00,284.00,154.00,88.00,109.00,57.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 09:49:00,,1964.00,1108.00,291.00,153.00,85.00,111.00,59.00,30.00,APPROVED
FL: ORLANDO,01/01/2013 10:49:00,,1974.00,1114.00,290.00,161.00,87.00,113.00,59.00,29.00,APPROVED
FL: ORLANDO,01/01/2013 11:49:00,,2007.00,1132.00,294.00,160.00,87.00,113.00,58.00,30.00,APPROVED
FL: ORLANDO,01/01/2013 12:49:00,,2057.00,1186.00,304.00,172.00,92.00,119.00,64.00,31.00,APPROVED
FL: ORLANDO,01/01/2013 13:49:00,,2052.00,1195.00,308.00,172.00,93.00,123.00,62.00,30.00,APPROVED
FL: ORLANDO,01/01/2013 14:50:00,,1898.00,1123.00,305.00,164.00,91.00,121.00,63.00,31.00,APPROVED
FL: ORLANDO,01/01/2013 15:50:00,,1764.00,1029.00,287.00,145.00,86.00,114.00,57.00,28.00,APPROVED
