LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
FL: TALLAHASSEE,01/01/2022 00:31:00,51.00,2036.00,1114.00,327.00,171.00,97.00,98.00,58.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 01:31:00,50.00,2047.00,1118.00,316.00,171.00,96.00,100.00,58.00,36.00,APPROVED
FL: TALLAHASSEE,01/01/2022 02:31:00,50.00,2030.00,1114.00,322.00,172.00,96.00,100.00,59.00,33.00,APPROVED
FL: TALLAHASSEE,01/01/2022 03:32:00,51.00,2041.00,1126.00,325.00,172.00,96.00,99.00,60.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 04:32:00,50.00,2058.00,1129.00,327.00,175.00,95.00,99.00,61.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 05:32:00,51.00,2053.00,1126.00,323.00,175.00,98.00,100.00,60.00,33.00,APPROVED
FL: TALLAHASSEE,01/01/2022 06:32:00,49.00,2048.00,1113.00,319.00,172.00,96.00,99.00,58.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 07:32:00,50.00,2043.00,1111.00,322.00,172.00,98.00,99.00,60.00,34.00,APPROVED
FL: TALLAHASSEE,01/01/2022 08:33:00,49.00,2045.00,1121.00,325.00,171.00,98.00,100.00,59.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 09:33:00,52.00,2047.00,1124.00,326.00,175.00,97.00,101.00,58.00,34.00,APPROVED
FL: TALLAHASSEE,01/01/2022 10:33:00,51.00,2049.00,1119.00,323.00,172.00,95.00,100.00,59.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2022 11:33:00,49.00,2055.00,1113.00,324.00,172.00,98.00,101.00,58.00,35.00,APPROVED
