LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
FL: TAMPA,01/01/2015 00:32:00,,1039.00,604.00,180.00,86.00,53.00,76.00,55.00,44.00,APPROVED
FL: TAMPA,01/01/2015 01:32:00,,1038.00,605.00,180.00,87.00,55.00,77.00,54.00,44.00,APPROVED
FL: TAMPA,01/01/2015 02:33:00,,1051.00,605.00,180.00,86.00,53.00,79.00,55.00,44.00,APPROVED
FL: TAMPA,01/01/2015 03:33:00,,1046.00,609.00,182.00,86.00,52.00,79.00,55.00,43.00,APPROVED
FL: TAMPA,01/01/2015 04:33:00,,1052.00,608.00,182.00,87.00,52.00,77.00,54.00,44.00,APPROVED
FL: TAMPA,01/01/2015 05:33:00,,1061.00,623.00,188.00,88.00,55.00,78.00,56.00,46.00,APPROVED
FL: TAMPA,01/01/2015 06:34:00,,1062.00,628.00,189.00,89.00,54.00,81.00,55.00,44.00,APPROVED
FL: TAMPA,01/01/2015 07:34:00,,1062.00,618.00,185.00,88.00,55.00,80.00,56.00,45.00,APPROVED
FL: TAMPA,01/01/2015 08:34:00,,1062.00,619.00,185.00,86.00,56.00,80.00,56.00,46.00,APPROVED
FL: TAMPA,01/01/2015 09:34:00,,1064.00,613.00,186.00,85.00,56.00,78.00,55.00,42.00,APPROVED
FL: TAMPA,01/01/2015 10:34:00,,1070.00,617.00,187.00,89.00,54.00,78.00,55.00,44.00,APPROVED
FL: TAMPA,01/01/2015 11:35:00,,1072.00,628.00,190.00,88.00,54.00,81.00,54.00,45.00,APPROVED
FL: TAMPA,01/01/2015 12:35:00,,1080.00,628.00,193.00,89.00,54.00,82.00,56.00,44.00,APPROVED
FL: TAMPA,01/01/2015 13:35:00,,1083.00,630.00,191.00,87.00,54.00,81.00,56.00,45.00,APPROVED
FL: TAMPA,01/01/2015 14:35:00,,1060.00,616.00,187.00,84.00,53.00,79.00,56.00,44.00,APPROVED
FL: TAMPA,01/01/2015 15:36:00,,1047.00,609.00,185.00,87.00,54.00,78.00,53.00,45.00,APPROVED
FL: TAMPA,01/01/2015 16:36:00,,1015.00,592.00,182.00,85.00,54.00,76.00,57.00,45.00,APPROVED
FL: TAMPA,01/01/2015 17:36:00,,984.00,574.00,175.00,84.00,52.00,77.00,56.00,46.00,APPROVED
FL: TAMPA,01/01/2015 18:36:00,,965.00,567.00,175.00,85.00,52.00,74.00,56.00,44.00,APPROVED
FL: TAMPA,01/01/2015 19:36:00,,989.00,582.00,175.00,88.00,52.00,74.00,59.00,43.00,APPROVED
FL: TAMPA,01/01/2015 20:37:00,,1076.00,623.00,179.00,91.00,55.00,75.00,56.00,46.00,APPROVED
FL: TAMPA,01/01/2015 21:37:00,,1101.00,638.00,184.00,94.00,54.00,75.00,59.00,44.00,APPROVED
FL: TAMPA,01/01/2015 22:37:00,,1109.00,646.00,183.00,91.00,55.00,78.00,56.00,44.00,APPROVED
FL: TAMPA,01/01/2015 23:37:00,,1124.00,639.00,185.00,91.00,53.00,75.00,55.00,43.00,APPROVED
FL: TAMPA,01/02/2015 00:38:00,,1117.00,633.00,179.00,89.00,52.00,73.00,56.00,43.00,APPROVED
FL: TAMPA,01/02/2015 01:38:00,,1027.00,592.00,173.00,86.00,53.00,72.00,56.00,45.00,APPROVED
FL: TAMPA,01/02/2015 02:38:00,,1002.00,581.00,177.00,85.00,52.00,74.00,56.00,44.00,APPROVED
FL: TAMPA,01/02/2015 03:38:00,,1001.00,583.00,178.00,84.00,53.00,72.00,55.00,43.00,APPROVED
FL: TAMPA,01/02/2015 04:38:00,,997.00,582.00,180.00,87.00,53.00,74.00,55.00,44.00,APPROVED
FL: TAMPA,01/02/2015 05:39:00,,1008.00,586.00,183.00,87.00,53.00,77.00,57.00,43.00,APPROVED
FL: TAMPA,01/02/2015 06:39:00,,1020.00,610.00,189.00,92.00,56.00,81.00,58.00,44.00,APPROVED
FL: TAMPA,01/02/2015 07:39:00,,1024.00,625.00,195.00,91.00,55.00,83.00,58.00,45.00,APPROVED
FL: TAMPA,01/02/2015 08:39:00,,1025.00,618.00,191.00,91.00,55.00,82.00,58.00,44.00,APPROVED
FL: TAMPA,01/02/2015 09:39:00,,1041.00,633.00,194.00,96.00,58.00,82.00,59.00,45.00,APPROVED
FL: TAMPA,01/02/2015 10:40:00,,1060.00,647.00,194.00,99.00,59.00,83.00,59.00,46.00,APPROVED
FL: TAMPA,01/02/2015 11:40:00,,1062.00,655.00,195.00,100.00,60.00,81.00,61.00,45.00,APPROVED
FL: TAMPA,01/02/2015 12:40:00,,1065.00,655.00,194.00,98.00,58.00,85.00,62.00,45.00,APPROVED
FL: TAMPA,01/02/2015 13:40:00,,1059.00,664.00,199.00,102.00,59.00,85.00,63.00,45.00,APPROVED
FL: TAMPA,01/02/2015 14:41:00,,1070.00,672.00,202.00,104.00,61.00,88.00,62.00,45.00,APPROVED
FL: TAMPA,01/02/2015 15:41:00,,1063.00,660.00,204.00,103.00,64.00,88.00,61.00,44.00,APPROVED
FL: TAMPA,01/02/2015 16:41:00,,1037.00,651.00,202.00,101.00,58.00,85.00,62.00,46.00,APPROVED
FL: TAMPA,01/02/2015 17:41:00,,1021.00,632.00,194.00,97.00,59.00,84.00,60.00,44.00,APPROVED
FL: TAMPA,01/02/2015 18:41:00,,1074.00,659.00,197.00,99.00,60.00,85.00,61.00,45.00,APPROVED
FL: TAMPA,01/02/2015 19:42:00,,1153.00,702.00,204.00,112.00,62.00,87.00,63.00,47.00,APPROVED
FL: TAMPA,01/02/2015 20:42:00,,1151.00,716.00,206.00,113.00,63.00,86.00,63.00,46.00,APPROVED
FL: TAMPA,01/02/2015 21:42:00,,1150.00,708.00,200.00,114.00,61.00,86.00,64.00,46.00,APPROVED
FL: TAMPA,01/02/2015 22:42:00,,1149.00,706.00,200.00,111.00,60.00,84.00,63.00,46.00,APPROVED
FL: TAMPA,01/02/2015 23:43:00,,1161.00,704.00,196.00,107.00,59.00,82.00,61.00,45.00,APPROVED
FL: TAMPA,01/03/2015 00:43:00,,1143.00,679.00,191.00,100.00,57.00,80.00,59.00,43.00,APPROVED
FL: TAMPA,01/03/2015 01:43:00,,1118.00,649.00,185.00,93.00,54.00,76.00,56.00,45.00,APPROVED
FL: TAMPA,01/03/2015 02:43:00,,1138.00,656.00,188.00,92.00,54.00,78.00,58.00,45.00,APPROVED
FL: TAMPA,01/03/2015 03:43:00,,1149.00,669.00,189.00,94.00,56.00,77.00,59.00,44.00,APPROVED
FL: TAMPA,01/03/2015 04:44:00,,1172.00,679.00,191.00,93.00,57.00,78.00,58.00,45.00,APPROVED
FL: TAMPA,01/03/2015 05:44:00,,1171.00,696.00,199.00,100.00,56.00,83.00,60.00,48.00,APPROVED
FL: TAMPA,01/03/2015 06:44:00,,1192.00,725.00,203.00,104.00,59.00,87.00,61.00,43.00,APPROVED
FL: TAMPA,01/03/2015 07:44:00,,1187.00,713.00,204.00,107.00,61.00,85.00,61.00,46.00,APPROVED
