LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
GA: ATLANTA,01/04/2013 20:34:00,,2893.00,1624.00,467.00,233.00,157.00,185.00,117.00,40.00,APPROVED
GA: ATLANTA,01/04/2013 21:34:00,,2890.00,1642.00,473.00,237.00,159.00,188.00,116.00,42.00,APPROVED
GA: ATLANTA,01/04/2013 22:34:00,,2903.00,1641.00,474.00,238.00,159.00,188.00,120.00,42.00,APPROVED
GA: ATLANTA,01/04/2013 23:34:00,,2933.00,1660.00,474.00,242.00,158.00,192.00,119.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 00:34:00,,2937.00,1665.00,483.00,239.00,162.00,192.00,116.00,41.00,APPROVED
GA: ATLANTA,01/05/2013 01:35:00,,2931.00,1654.00,479.00,237.00,161.00,190.00,117.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 02:35:00,,2930.00,1665.00,486.00,238.00,161.00,194.00,118.00,41.00,APPROVED
GA: ATLANTA,01/05/2013 03:35:00,,2942.00,1662.00,476.00,239.00,161.00,195.00,119.00,41.00,APPROVED
GA: ATLANTA,01/05/2013 04:35:00,,2948.00,1670.00,483.00,239.00,163.00,193.00,116.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 05:36:00,,2953.00,1679.00,484.00,236.00,165.00,196.00,118.00,43.00,APPROVED
GA: ATLANTA,01/05/2013 06:36:00,,2957.00,1680.00,483.00,243.00,163.00,195.00,115.00,41.00,APPROVED
GA: ATLANTA,01/05/2013 07:36:00,,2974.00,1701.00,485.00,242.00,164.00,197.00,117.00,40.00,APPROVED
GA: ATLANTA,01/05/2013 08:36:00,,2982.00,1701.00,494.00,248.00,167.00,200.00,114.00,44.00,APPROVED
GA: ATLANTA,01/05/2013 09:36:00,,2987.00,1713.00,492.00,245.00,164.00,200.00,119.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 10:37:00,,2990.00,1720.00,500.00,249.00,168.00,205.00,116.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 11:37:00,,2985.00,1727.00,499.00,252.00,166.00,205.00,118.00,41.00,APPROVED
GA: ATLANTA,01/05/2013 12:37:00,,2996.00,1718.00,501.00,253.00,165.00,204.00,117.00,44.00,APPROVED
GA: ATLANTA,01/05/2013 13:37:00,,2998.00,1726.00,503.00,253.00,169.00,206.00,120.00,44.00,APPROVED
GA: ATLANTA,01/05/2013 14:38:00,,3007.00,1740.00,505.00,253.00,170.00,206.00,119.00,42.00,APPROVED
GA: ATLANTA,01/05/2013 15:38:00,,3021.00,1745.00,505.00,255.00,168.00,207.00,120.00,40.00,APPROVED
GA: ATLANTA,01/05/2013 16:38:00,,3017.00,1741.00,497.00,255.00,170.00,206.00,125.00,43.00,APPROVED
GA: ATLANTA,01/05/2013 17:38:00,,3000.00,1729.00,494.00,253.00,168.00,201.00,124.00,44.00,APPROVED
