LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
GA: AUGUSTA,01/01/2021 00:18:00,73.00,2723.00,1638.00,437.00,255.00,148.00,170.00,106.00,51.00,APPROVED
GA: AUGUSTA,01/01/2021 01:18:00,73.00,2690.00,1609.00,428.00,241.00,144.00,164.00,105.00,50.00,APPROVED
GA: AUGUSTA,01/01/2021 02:19:00,74.00,2702.00,1613.00,431.00,243.00,148.00,166.00,106.00,49.00,APPROVED
GA: AUGUSTA,01/01/2021 03:19:00,73.00,2717.00,1628.00,436.00,254.00,151.00,170.00,106.00,52.00,APPROVED
GA: AUGUSTA,01/01/2021 04:19:00,74.00,2718.00,1657.00,439.00,260.00,152.00,173.00,107.00,51.00,APPROVED
GA: AUGUSTA,01/01/2021 05:19:00,74.00,2732.00,1677.00,446.00,265.00,154.00,176.00,111.00,54.00,APPROVED
GA: AUGUSTA,01/01/2021 06:19:00,72.00,2732.00,1707.00,448.00,273.00,154.00,183.00,112.00,54.00,APPROVED
GA: AUGUSTA,01/01/2021 07:20:00,74.00,2745.00,1732.00,453.00,283.00,160.00,183.00,115.00,55.00,APPROVED
GA: AUGUSTA,01/01/2021 08:20:00,75.00,2777.00,1773.00,464.00,296.00,163.00,195.00,119.00,55.00,APPROVED
GA: AUGUSTA,01/01/2021 09:20:00,73.00,2808.00,1786.00,477.00,301.00,167.00,192.00,117.00,59.00,APPROVED
GA: AUGUSTA,01/01/2021 10:20:00,73.00,2818.00,1814.00,478.00,303.00,168.00,197.00,121.00,58.00,APPROVED
GA: AUGUSTA,01/01/2021 11:21:00,72.00,2838.00,1826.00,479.00,318.00,172.00,200.00,123.00,58.00,APPROVED
GA: AUGUSTA,01/01/2021 12:21:00,74.00,2815.00,1789.00,479.00,302.00,167.00,194.00,121.00,56.00,APPROVED
GA: AUGUSTA,01/01/2021 13:21:00,72.00,2784.00,1749.00,469.00,293.00,160.00,188.00,116.00,56.00,APPROVED
GA: AUGUSTA,01/01/2021 14:21:00,71.00,2765.00,1717.00,457.00,282.00,157.00,185.00,115.00,54.00,APPROVED
GA: AUGUSTA,01/01/2021 15:21:00,72.00,2712.00,1679.00,454.00,278.00,157.00,182.00,113.00,56.00,APPROVED
GA: AUGUSTA,01/01/2021 16:22:00,72.00,2666.00,1634.00,438.00,253.00,154.00,173.00,107.00,53.00,APPROVED
GA: AUGUSTA,01/01/2021 17:22:00,71.00,2642.00,1591.00,423.00,241.00,149.00,161.00,105.00,50.00,APPROVED
GA: AUGUSTA,01/01/2021 18:22:00,69.00,2612.00,1566.00,415.00,231.00,146.00,161.00,102.00,47.00,APPROVED
GA: AUGUSTA,01/01/2021 19:22:00,70.00,2603.00,1554.00,408.00,231.00,144.00,158.00,101.00,48.00,APPROVED
GA: AUGUSTA,01/01/2021 20:22:00,72.00,2625.00,1567.00,419.00,234.00,148.00,160.00,102.00,47.00,APPROVED
GA: AUGUSTA,01/01/2021 21:23:00,71.00,2623.00,1569.00,419.00,236.00,146.00,161.00,102.00,48.00,APPROVED
GA: AUGUSTA,01/01/2021 22:23:00,73.00,2641.00,1592.00,419.00,236.00,148.00,165.00,102.00,46.00,APPROVED
GA: AUGUSTA,01/01/2021 23:23:00,70.00,2635.00,1590.00,426.00,232.00,146.00,162.00,101.00,48.00,APPROVED
GA: AUGUSTA,01/02/2021 00:23:00,75.00,2767.00,1709.00,447.00,262.00,150.00,172.00,106.00,54.00,APPROVED
GA: AUGUSTA,01/02/2021 01:24:00,74.00,2741.00,1685.00,451.00,263.00,154.00,175.00,106.00,52.00,APPROVED
GA: AUGUSTA,01/02/2021 02:24:00,72.00,2649.00,1607.00,426.00,248.00,148.00,167.00,103.00,50.00,APPROVED
GA: AUGUSTA,01/02/2021 03:24:00,69.00,2671.00,1628.00,426.00,248.00,153.00,171.00,103.00,50.00,APPROVED
GA: AUGUSTA,01/02/2021 04:24:00,76.00,2788.00,1753.00,454.00,278.00,161.00,184.00,111.00,54.00,APPROVED
GA: AUGUSTA,01/02/2021 05:24:00,80.00,2758.00,1709.00,451.00,279.00,161.00,184.00,110.00,53.00,APPROVED
GA: AUGUSTA,01/02/2021 06:25:00,76.00,2707.00,1663.00,446.00,262.00,152.00,175.00,108.00,52.00,APPROVED
