LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IA: FORT MADISON,06/24/2022 20:26:00,,1593.00,916.00,364.00,182.00,130.00,188.00,70.00,45.00,APPROVED
IA: FORT MADISON,06/24/2022 21:26:00,,1507.00,863.00,345.00,174.00,126.00,183.00,68.00,46.00,APPROVED
IA: FORT MADISON,06/24/2022 22:26:00,,1445.00,823.00,330.00,165.00,123.00,177.00,65.00,44.00,APPROVED
IA: FORT MADISON,06/24/2022 23:27:00,,1455.00,818.00,329.00,170.00,120.00,174.00,65.00,42.00,APPROVED
IA: FORT MADISON,06/25/2022 00:27:00,,1549.00,891.00,351.00,175.00,128.00,182.00,68.00,44.00,APPROVED
IA: FORT MADISON,06/25/2022 01:27:00,,1580.00,902.00,353.00,178.00,127.00,182.00,67.00,45.00,APPROVED
IA: FORT MADISON,06/25/2022 02:27:00,,1597.00,907.00,354.00,177.00,126.00,179.00,67.00,45.00,APPROVED
IA: FORT MADISON,06/25/2022 03:27:00,,1566.00,899.00,346.00,175.00,125.00,177.00,65.00,46.00,APPROVED
IA: FORT MADISON,06/25/2022 04:28:00,,1601.00,910.00,355.00,179.00,127.00,180.00,65.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 05:28:00,,1627.00,925.00,360.00,177.00,129.00,184.00,67.00,46.00,APPROVED
IA: FORT MADISON,06/25/2022 06:28:00,,1669.00,962.00,369.00,181.00,129.00,185.00,69.00,45.00,APPROVED
IA: FORT MADISON,06/25/2022 07:28:00,,1687.00,983.00,386.00,187.00,133.00,187.00,70.00,46.00,APPROVED
IA: FORT MADISON,06/25/2022 08:28:00,,1709.00,987.00,388.00,188.00,137.00,192.00,69.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 09:29:00,,1693.00,982.00,379.00,187.00,133.00,188.00,71.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 10:29:00,,1687.00,972.00,376.00,188.00,133.00,187.00,70.00,46.00,APPROVED
IA: FORT MADISON,06/25/2022 11:29:00,,1670.00,953.00,370.00,185.00,133.00,185.00,70.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 12:29:00,,1677.00,970.00,378.00,181.00,134.00,189.00,70.00,48.00,APPROVED
IA: FORT MADISON,06/25/2022 13:29:00,,1755.00,1018.00,397.00,193.00,137.00,193.00,71.00,49.00,APPROVED
IA: FORT MADISON,06/25/2022 14:30:00,,1729.00,985.00,386.00,190.00,135.00,189.00,69.00,46.00,APPROVED
IA: FORT MADISON,06/25/2022 15:30:00,,1849.00,1083.00,417.00,202.00,144.00,200.00,75.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 16:30:00,,1948.00,1149.00,439.00,210.00,147.00,207.00,78.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 17:30:00,,1690.00,977.00,392.00,192.00,136.00,194.00,73.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 18:30:00,,1537.00,874.00,359.00,178.00,126.00,181.00,70.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 19:31:00,,1474.00,841.00,341.00,172.00,124.00,178.00,72.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 20:31:00,,1456.00,832.00,338.00,172.00,125.00,179.00,72.00,45.00,APPROVED
IA: FORT MADISON,06/25/2022 21:31:00,,1444.00,820.00,338.00,174.00,125.00,176.00,76.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 22:31:00,,1441.00,824.00,346.00,173.00,125.00,177.00,76.00,47.00,APPROVED
IA: FORT MADISON,06/25/2022 23:31:00,,1447.00,825.00,343.00,176.00,127.00,178.00,75.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 00:32:00,,1479.00,845.00,347.00,175.00,126.00,182.00,75.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 01:32:00,,1588.00,925.00,372.00,181.00,130.00,190.00,75.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 02:32:00,,1622.00,933.00,372.00,183.00,130.00,183.00,73.00,48.00,APPROVED
IA: FORT MADISON,06/26/2022 03:32:00,,1639.00,950.00,371.00,183.00,131.00,186.00,71.00,48.00,APPROVED
IA: FORT MADISON,06/26/2022 04:32:00,,1658.00,952.00,381.00,184.00,132.00,187.00,71.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 05:33:00,,1659.00,965.00,377.00,186.00,134.00,189.00,69.00,46.00,APPROVED
IA: FORT MADISON,06/26/2022 06:33:00,,1675.00,977.00,380.00,187.00,132.00,188.00,69.00,48.00,APPROVED
IA: FORT MADISON,06/26/2022 07:33:00,,1705.00,987.00,386.00,188.00,137.00,193.00,71.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 08:33:00,,1658.00,968.00,378.00,184.00,132.00,189.00,71.00,46.00,APPROVED
IA: FORT MADISON,06/26/2022 09:33:00,,1622.00,924.00,353.00,176.00,127.00,180.00,66.00,46.00,APPROVED
IA: FORT MADISON,06/26/2022 10:34:00,,1616.00,904.00,348.00,175.00,125.00,176.00,67.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 11:34:00,,1639.00,911.00,345.00,173.00,121.00,172.00,62.00,47.00,APPROVED
IA: FORT MADISON,06/26/2022 12:34:00,,1613.00,883.00,334.00,167.00,122.00,168.00,64.00,46.00,APPROVED
IA: FORT MADISON,06/26/2022 13:34:00,,1495.00,830.00,329.00,169.00,121.00,170.00,61.00,46.00,APPROVED
IA: FORT MADISON,06/26/2022 14:34:00,,1422.00,792.00,320.00,165.00,122.00,172.00,64.00,48.00,APPROVED
IA: FORT MADISON,06/26/2022 15:35:00,,1393.00,778.00,319.00,165.00,118.00,172.00,63.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 16:35:00,,1396.00,783.00,323.00,164.00,118.00,170.00,64.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 17:35:00,,1383.00,772.00,317.00,165.00,119.00,170.00,65.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 18:35:00,,1420.00,805.00,326.00,164.00,122.00,173.00,68.00,44.00,APPROVED
IA: FORT MADISON,06/26/2022 19:35:00,,1443.00,816.00,330.00,168.00,125.00,176.00,68.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 20:36:00,,1472.00,825.00,331.00,170.00,123.00,178.00,67.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 21:36:00,,1488.00,840.00,334.00,168.00,127.00,171.00,67.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 22:36:00,,1489.00,837.00,328.00,169.00,123.00,175.00,64.00,45.00,APPROVED
IA: FORT MADISON,06/26/2022 23:36:00,,1501.00,842.00,332.00,165.00,122.00,170.00,63.00,46.00,APPROVED
IA: FORT MADISON,06/27/2022 00:36:00,,1529.00,844.00,327.00,166.00,119.00,172.00,60.00,44.00,APPROVED
IA: FORT MADISON,06/27/2022 01:37:00,,1555.00,868.00,328.00,169.00,122.00,169.00,60.00,45.00,APPROVED
