LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IA: MASON CITY,01/01/2015 00:38:00,,2611.00,1731.00,460.00,255.00,143.00,165.00,107.00,39.00,APPROVED
IA: MASON CITY,01/01/2015 01:38:00,,2625.00,1741.00,474.00,259.00,144.00,172.00,105.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 02:38:00,,2646.00,1779.00,479.00,263.00,146.00,174.00,107.00,40.00,APPROVED
IA: MASON CITY,01/01/2015 03:38:00,,2684.00,1799.00,488.00,269.00,146.00,179.00,108.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 04:38:00,,2718.00,1851.00,494.00,276.00,149.00,179.00,110.00,43.00,APPROVED
IA: MASON CITY,01/01/2015 05:39:00,,2752.00,1884.00,504.00,287.00,151.00,185.00,115.00,43.00,APPROVED
IA: MASON CITY,01/01/2015 06:39:00,,2768.00,1902.00,512.00,298.00,155.00,190.00,116.00,44.00,APPROVED
IA: MASON CITY,01/01/2015 07:39:00,,2770.00,1924.00,517.00,300.00,158.00,194.00,118.00,43.00,APPROVED
IA: MASON CITY,01/01/2015 08:39:00,,2799.00,1946.00,522.00,305.00,159.00,196.00,120.00,44.00,APPROVED
IA: MASON CITY,01/01/2015 09:40:00,,2800.00,1970.00,520.00,305.00,164.00,198.00,119.00,45.00,APPROVED
IA: MASON CITY,01/01/2015 10:40:00,,2808.00,1971.00,524.00,312.00,161.00,198.00,121.00,44.00,APPROVED
IA: MASON CITY,01/01/2015 11:40:00,,2822.00,1976.00,532.00,315.00,162.00,202.00,120.00,45.00,APPROVED
IA: MASON CITY,01/01/2015 12:40:00,,2854.00,2008.00,536.00,316.00,165.00,203.00,124.00,47.00,APPROVED
IA: MASON CITY,01/01/2015 13:40:00,,2853.00,2006.00,543.00,320.00,165.00,206.00,123.00,44.00,APPROVED
IA: MASON CITY,01/01/2015 14:41:00,,2831.00,1988.00,533.00,312.00,164.00,202.00,119.00,43.00,APPROVED
IA: MASON CITY,01/01/2015 15:41:00,,2817.00,1970.00,531.00,307.00,158.00,201.00,119.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 16:41:00,,2800.00,1947.00,527.00,297.00,157.00,196.00,114.00,44.00,APPROVED
IA: MASON CITY,01/01/2015 17:41:00,,2820.00,1921.00,522.00,288.00,156.00,195.00,111.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 18:41:00,,2827.00,1908.00,520.00,283.00,154.00,189.00,108.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 19:42:00,,2776.00,1875.00,507.00,275.00,153.00,193.00,107.00,41.00,APPROVED
IA: MASON CITY,01/01/2015 20:42:00,,2761.00,1851.00,502.00,267.00,151.00,189.00,104.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 21:42:00,,2731.00,1823.00,504.00,264.00,149.00,189.00,98.00,40.00,APPROVED
IA: MASON CITY,01/01/2015 22:42:00,,2736.00,1821.00,493.00,265.00,147.00,181.00,101.00,42.00,APPROVED
IA: MASON CITY,01/01/2015 23:42:00,,2745.00,1831.00,497.00,261.00,148.00,182.00,103.00,41.00,APPROVED
IA: MASON CITY,01/02/2015 00:43:00,,2728.00,1828.00,498.00,264.00,147.00,183.00,104.00,42.00,APPROVED
IA: MASON CITY,01/02/2015 01:43:00,,2710.00,1816.00,502.00,263.00,148.00,186.00,104.00,42.00,APPROVED
IA: MASON CITY,01/02/2015 02:43:00,,2662.00,1790.00,490.00,259.00,146.00,180.00,102.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 03:43:00,,2559.00,1689.00,469.00,245.00,142.00,173.00,97.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 04:43:00,,2527.00,1656.00,462.00,235.00,137.00,166.00,95.00,41.00,APPROVED
IA: MASON CITY,01/02/2015 05:44:00,,2569.00,1676.00,462.00,237.00,139.00,164.00,94.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 06:44:00,,2572.00,1707.00,469.00,242.00,140.00,166.00,97.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 07:44:00,,2574.00,1703.00,468.00,248.00,143.00,168.00,98.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 08:44:00,,2562.00,1702.00,466.00,249.00,143.00,173.00,102.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 09:44:00,,2556.00,1698.00,469.00,249.00,141.00,169.00,101.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 10:45:00,,2550.00,1720.00,468.00,250.00,140.00,171.00,103.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 11:45:00,,2568.00,1734.00,472.00,260.00,144.00,172.00,105.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 12:45:00,,2539.00,1723.00,475.00,257.00,145.00,173.00,106.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 13:45:00,,2543.00,1726.00,470.00,261.00,142.00,173.00,104.00,42.00,APPROVED
IA: MASON CITY,01/02/2015 14:46:00,,2532.00,1708.00,465.00,255.00,142.00,170.00,102.00,40.00,APPROVED
IA: MASON CITY,01/02/2015 15:46:00,,2516.00,1654.00,456.00,243.00,138.00,165.00,98.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 16:46:00,,2520.00,1647.00,455.00,238.00,137.00,163.00,95.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 17:46:00,,2534.00,1665.00,459.00,239.00,139.00,166.00,97.00,39.00,APPROVED
IA: MASON CITY,01/02/2015 18:46:00,,2553.00,1679.00,465.00,242.00,139.00,169.00,98.00,39.00,APPROVED
