LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
ID: BOISE,01/01/2024 00:26:00,,3015.00,1652.00,458.00,226.00,133.00,155.00,87.00,31.00,APPROVED
ID: BOISE,01/01/2024 01:27:00,,3110.00,1699.00,461.00,227.00,132.00,158.00,89.00,32.00,APPROVED
ID: BOISE,01/01/2024 02:27:00,,3155.00,1724.00,458.00,237.00,137.00,157.00,88.00,33.00,APPROVED
ID: BOISE,01/01/2024 03:27:00,,3218.00,1760.00,468.00,239.00,136.00,155.00,89.00,33.00,APPROVED
ID: BOISE,01/01/2024 04:27:00,,3245.00,1787.00,471.00,245.00,136.00,159.00,92.00,35.00,APPROVED
ID: BOISE,01/01/2024 05:27:00,,3246.00,1810.00,477.00,253.00,136.00,160.00,92.00,32.00,APPROVED
ID: BOISE,01/01/2024 06:28:00,,3252.00,1822.00,481.00,252.00,140.00,161.00,91.00,34.00,APPROVED
ID: BOISE,01/01/2024 07:28:00,,3260.00,1813.00,485.00,250.00,137.00,162.00,93.00,33.00,APPROVED
ID: BOISE,01/01/2024 08:28:00,,3291.00,1861.00,488.00,259.00,142.00,167.00,94.00,34.00,APPROVED
ID: BOISE,01/01/2024 09:28:00,,3308.00,1876.00,487.00,267.00,143.00,169.00,96.00,34.00,APPROVED
ID: BOISE,01/01/2024 10:28:00,,3326.00,1900.00,499.00,266.00,147.00,172.00,95.00,36.00,APPROVED
ID: BOISE,01/01/2024 11:29:00,,3347.00,1929.00,509.00,278.00,148.00,178.00,99.00,38.00,APPROVED
ID: BOISE,01/01/2024 12:29:00,,3358.00,1932.00,506.00,277.00,148.00,177.00,103.00,36.00,APPROVED
ID: BOISE,01/01/2024 13:29:00,,3349.00,1937.00,509.00,275.00,147.00,179.00,101.00,36.00,APPROVED
ID: BOISE,01/01/2024 14:29:00,,3360.00,1930.00,511.00,280.00,148.00,179.00,102.00,35.00,APPROVED
ID: BOISE,01/01/2024 15:29:00,,3336.00,1925.00,504.00,277.00,147.00,176.00,101.00,36.00,APPROVED
ID: BOISE,01/01/2024 16:30:00,,3360.00,1928.00,502.00,276.00,149.00,176.00,101.00,36.00,APPROVED
ID: BOISE,01/01/2024 17:30:00,,3366.00,1942.00,509.00,277.00,147.00,179.00,100.00,38.00,APPROVED
ID: BOISE,01/01/2024 18:30:00,,3326.00,1875.00,499.00,260.00,143.00,178.00,98.00,35.00,APPROVED
ID: BOISE,01/01/2024 19:30:00,,3181.00,1767.00,476.00,242.00,138.00,165.00,91.00,34.00,APPROVED
ID: BOISE,01/01/2024 20:30:00,,3155.00,1745.00,479.00,235.00,139.00,162.00,89.00,32.00,APPROVED
ID: BOISE,01/01/2024 21:31:00,,3069.00,1714.00,479.00,233.00,137.00,161.00,90.00,33.00,APPROVED
ID: BOISE,01/01/2024 22:31:00,,3071.00,1711.00,475.00,234.00,135.00,164.00,90.00,32.00,APPROVED
ID: BOISE,01/01/2024 23:31:00,,3117.00,1737.00,488.00,236.00,138.00,162.00,91.00,31.00,APPROVED
ID: BOISE,01/02/2024 00:31:00,,3236.00,1806.00,489.00,248.00,137.00,166.00,92.00,32.00,APPROVED
ID: BOISE,01/02/2024 01:31:00,,3292.00,1822.00,491.00,252.00,144.00,166.00,94.00,34.00,APPROVED
ID: BOISE,01/02/2024 02:32:00,,3304.00,1833.00,492.00,256.00,142.00,166.00,92.00,34.00,APPROVED
ID: BOISE,01/02/2024 03:32:00,,3290.00,1851.00,493.00,257.00,143.00,169.00,96.00,35.00,APPROVED
ID: BOISE,01/02/2024 04:32:00,,3322.00,1882.00,497.00,266.00,145.00,171.00,97.00,34.00,APPROVED
ID: BOISE,01/02/2024 05:32:00,,3362.00,1921.00,512.00,273.00,147.00,178.00,103.00,35.00,APPROVED
ID: BOISE,01/02/2024 06:32:00,,3386.00,1954.00,518.00,285.00,153.00,186.00,103.00,37.00,APPROVED
ID: BOISE,01/02/2024 07:33:00,,3442.00,2025.00,529.00,306.00,156.00,193.00,109.00,40.00,APPROVED
ID: BOISE,01/02/2024 08:33:00,,3464.00,2073.00,556.00,319.00,163.00,201.00,111.00,38.00,APPROVED
ID: BOISE,01/02/2024 09:33:00,,3440.00,2047.00,541.00,310.00,159.00,200.00,109.00,39.00,APPROVED
ID: BOISE,01/02/2024 10:33:00,,3435.00,2041.00,544.00,311.00,159.00,196.00,108.00,40.00,APPROVED
ID: BOISE,01/02/2024 11:33:00,,3451.00,2064.00,547.00,310.00,162.00,198.00,109.00,39.00,APPROVED
ID: BOISE,01/02/2024 12:34:00,,3383.00,1994.00,530.00,302.00,158.00,191.00,107.00,37.00,APPROVED
ID: BOISE,01/02/2024 13:34:00,,3383.00,1986.00,523.00,296.00,153.00,189.00,107.00,37.00,APPROVED
ID: BOISE,01/02/2024 14:34:00,,3376.00,1969.00,529.00,294.00,154.00,189.00,104.00,37.00,APPROVED
ID: BOISE,01/02/2024 15:34:00,,3375.00,1977.00,518.00,291.00,152.00,187.00,106.00,38.00,APPROVED
ID: BOISE,01/02/2024 16:34:00,,3390.00,1990.00,523.00,299.00,157.00,187.00,105.00,40.00,APPROVED
ID: BOISE,01/02/2024 17:35:00,,3385.00,1995.00,527.00,300.00,156.00,192.00,110.00,38.00,APPROVED
ID: BOISE,01/02/2024 18:33:00,,3389.00,1967.00,520.00,288.00,154.00,188.00,103.00,37.00,APPROVED
ID: BOISE,01/02/2024 19:43:00,,3254.00,1759.00,462.00,228.00,133.00,154.00,87.00,31.00,APPROVED
ID: BOISE,01/02/2024 20:44:00,,3250.00,1791.00,480.00,245.00,140.00,167.00,93.00,33.00,APPROVED
