LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
ID: IDAHO FALLS,01/17/2011 18:44:00,,2603.00,1377.00,369.00,183.00,107.00,127.00,73.00,39.00,APPROVED
ID: IDAHO FALLS,02/04/2011 22:25:00,,2826.00,1615.00,464.00,232.00,129.00,160.00,89.00,37.00,APPROVED
ID: IDAHO FALLS,02/04/2011 23:25:00,,2822.00,1616.00,465.00,228.00,133.00,163.00,90.00,36.00,APPROVED
ID: IDAHO FALLS,02/05/2011 00:25:00,,2801.00,1606.00,469.00,229.00,134.00,157.00,91.00,37.00,APPROVED
ID: IDAHO FALLS,02/05/2011 01:25:00,,2797.00,1617.00,466.00,232.00,133.00,161.00,91.00,36.00,APPROVED
ID: IDAHO FALLS,02/05/2011 02:25:00,,2811.00,1605.00,473.00,233.00,132.00,158.00,90.00,37.00,APPROVED
ID: IDAHO FALLS,02/05/2011 03:26:00,,2765.00,1590.00,462.00,230.00,133.00,157.00,91.00,37.00,APPROVED
ID: IDAHO FALLS,02/05/2011 04:26:00,,2775.00,1602.00,462.00,230.00,133.00,161.00,90.00,37.00,APPROVED
ID: IDAHO FALLS,02/05/2011 05:26:00,,2826.00,1643.00,470.00,233.00,135.00,162.00,93.00,37.00,APPROVED
ID: IDAHO FALLS,02/05/2011 06:26:00,,2894.00,1714.00,490.00,252.00,139.00,169.00,95.00,39.00,APPROVED
ID: IDAHO FALLS,02/05/2011 07:26:00,,3062.00,1854.00,525.00,275.00,153.00,187.00,106.00,41.00,APPROVED
ID: IDAHO FALLS,02/05/2011 08:27:00,,3047.00,1873.00,535.00,281.00,154.00,191.00,108.00,43.00,APPROVED
ID: IDAHO FALLS,02/05/2011 09:27:00,,2914.00,1751.00,507.00,264.00,146.00,182.00,101.00,41.00,APPROVED
ID: IDAHO FALLS,02/05/2011 10:27:00,,2908.00,1736.00,496.00,253.00,142.00,174.00,100.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 11:27:00,,2896.00,1734.00,495.00,253.00,142.00,173.00,100.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 12:27:00,,2927.00,1755.00,503.00,257.00,147.00,174.00,104.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 13:28:00,,2985.00,1799.00,513.00,265.00,148.00,178.00,101.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 14:28:00,,2926.00,1771.00,506.00,268.00,146.00,183.00,104.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 15:28:00,,2913.00,1780.00,511.00,270.00,149.00,184.00,103.00,40.00,APPROVED
ID: IDAHO FALLS,02/05/2011 16:28:00,,2982.00,1826.00,532.00,280.00,153.00,193.00,108.00,42.00,APPROVED
ID: IDAHO FALLS,02/05/2011 17:28:00,,3101.00,1985.00,575.00,312.00,165.00,213.00,113.00,44.00,APPROVED
ID: IDAHO FALLS,02/05/2011 18:29:00,,2985.00,1891.00,561.00,295.00,157.00,207.00,110.00,41.00,APPROVED
ID: IDAHO FALLS,02/05/2011 19:29:00,,2876.00,1763.00,537.00,261.00,147.00,191.00,100.00,39.00,APPROVED
ID: IDAHO FALLS,02/05/2011 20:29:00,,2798.00,1684.00,505.00,244.00,142.00,178.00,97.00,38.00,APPROVED
ID: IDAHO FALLS,02/05/2011 21:29:00,,2736.00,1636.00,491.00,239.00,138.00,170.00,94.00,38.00,APPROVED
ID: IDAHO FALLS,02/05/2011 22:29:00,,2705.00,1597.00,477.00,232.00,136.00,167.00,91.00,36.00,APPROVED
ID: IDAHO FALLS,02/05/2011 23:30:00,,2639.00,1544.00,459.00,222.00,131.00,162.00,89.00,38.00,APPROVED
ID: IDAHO FALLS,02/06/2011 00:30:00,,2658.00,1549.00,458.00,226.00,131.00,156.00,90.00,36.00,APPROVED
ID: IDAHO FALLS,02/06/2011 01:30:00,,2713.00,1590.00,467.00,225.00,130.00,165.00,88.00,38.00,APPROVED
ID: IDAHO FALLS,02/06/2011 02:30:00,,2722.00,1600.00,468.00,232.00,131.00,160.00,91.00,37.00,APPROVED
ID: IDAHO FALLS,02/06/2011 03:30:00,,2787.00,1694.00,488.00,253.00,142.00,176.00,98.00,40.00,APPROVED
ID: IDAHO FALLS,02/06/2011 04:31:00,,2798.00,1732.00,500.00,268.00,149.00,180.00,101.00,40.00,APPROVED
ID: IDAHO FALLS,02/06/2011 05:31:00,,2781.00,1750.00,509.00,274.00,147.00,185.00,102.00,41.00,APPROVED
ID: IDAHO FALLS,02/06/2011 06:31:00,,2820.00,1781.00,513.00,284.00,149.00,187.00,105.00,41.00,APPROVED
ID: IDAHO FALLS,02/06/2011 07:31:00,,2755.00,1732.00,511.00,277.00,149.00,185.00,107.00,41.00,APPROVED
ID: IDAHO FALLS,02/06/2011 08:32:00,,2718.00,1710.00,502.00,270.00,146.00,182.00,100.00,41.00,APPROVED
ID: IDAHO FALLS,02/06/2011 09:32:00,,2696.00,1665.00,488.00,260.00,141.00,176.00,101.00,41.00,APPROVED
ID: IDAHO FALLS,02/06/2011 10:32:00,,2636.00,1579.00,460.00,243.00,134.00,159.00,93.00,39.00,APPROVED
ID: IDAHO FALLS,02/06/2011 11:32:00,,2620.00,1510.00,441.00,222.00,128.00,149.00,87.00,36.00,APPROVED
ID: IDAHO FALLS,02/06/2011 12:32:00,,2615.00,1487.00,426.00,211.00,125.00,142.00,84.00,35.00,APPROVED
ID: IDAHO FALLS,02/06/2011 13:33:00,,2680.00,1539.00,445.00,222.00,129.00,150.00,87.00,37.00,APPROVED
ID: IDAHO FALLS,02/06/2011 14:33:00,,2705.00,1585.00,455.00,235.00,130.00,158.00,92.00,37.00,APPROVED
ID: IDAHO FALLS,02/06/2011 15:33:00,,2721.00,1599.00,459.00,237.00,136.00,157.00,91.00,38.00,APPROVED
ID: IDAHO FALLS,02/06/2011 16:33:00,,2707.00,1588.00,458.00,229.00,133.00,158.00,93.00,37.00,APPROVED
ID: IDAHO FALLS,02/06/2011 17:33:00,,2760.00,1602.00,455.00,230.00,133.00,156.00,89.00,37.00,APPROVED
ID: IDAHO FALLS,02/06/2011 18:34:00,,2721.00,1578.00,453.00,224.00,133.00,161.00,90.00,35.00,APPROVED
ID: IDAHO FALLS,02/06/2011 19:34:00,,2675.00,1529.00,441.00,216.00,129.00,149.00,86.00,35.00,APPROVED
ID: IDAHO FALLS,02/06/2011 20:34:00,,2629.00,1492.00,441.00,206.00,126.00,148.00,84.00,36.00,APPROVED
ID: IDAHO FALLS,02/06/2011 21:34:00,,2577.00,1449.00,433.00,199.00,121.00,145.00,81.00,35.00,APPROVED
ID: IDAHO FALLS,02/06/2011 22:34:00,,2574.00,1430.00,421.00,193.00,120.00,143.00,77.00,34.00,APPROVED
ID: IDAHO FALLS,02/06/2011 23:35:00,,2555.00,1410.00,418.00,194.00,119.00,136.00,76.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 00:35:00,,2578.00,1423.00,416.00,192.00,118.00,138.00,80.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 01:35:00,,2584.00,1447.00,418.00,198.00,119.00,139.00,78.00,35.00,APPROVED
ID: IDAHO FALLS,02/07/2011 02:35:00,,2557.00,1433.00,417.00,199.00,123.00,142.00,79.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 03:35:00,,2582.00,1452.00,426.00,204.00,120.00,141.00,83.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 04:36:00,,2643.00,1497.00,435.00,211.00,125.00,145.00,82.00,35.00,APPROVED
ID: IDAHO FALLS,02/07/2011 05:36:00,,2673.00,1525.00,444.00,213.00,127.00,152.00,86.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 06:36:00,,2595.00,1462.00,437.00,207.00,123.00,146.00,84.00,36.00,APPROVED
ID: IDAHO FALLS,02/07/2011 07:36:00,,2546.00,1405.00,414.00,196.00,119.00,138.00,77.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 08:36:00,,2577.00,1429.00,420.00,196.00,120.00,140.00,77.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 09:37:00,,2590.00,1445.00,424.00,200.00,122.00,142.00,77.00,36.00,APPROVED
ID: IDAHO FALLS,02/07/2011 10:37:00,,2603.00,1479.00,442.00,203.00,122.00,146.00,81.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 11:37:00,,2968.00,1781.00,520.00,250.00,142.00,183.00,96.00,38.00,APPROVED
ID: IDAHO FALLS,02/07/2011 12:37:00,,3052.00,1854.00,551.00,273.00,155.00,195.00,105.00,42.00,APPROVED
ID: IDAHO FALLS,02/07/2011 13:37:00,,2955.00,1798.00,524.00,260.00,149.00,187.00,101.00,40.00,APPROVED
ID: IDAHO FALLS,02/07/2011 14:38:00,,3024.00,1861.00,549.00,280.00,153.00,196.00,105.00,42.00,APPROVED
ID: IDAHO FALLS,02/07/2011 15:38:00,,3058.00,1917.00,558.00,291.00,157.00,199.00,111.00,40.00,APPROVED
ID: IDAHO FALLS,02/07/2011 16:38:00,,2961.00,1824.00,538.00,276.00,156.00,192.00,106.00,40.00,APPROVED
ID: IDAHO FALLS,02/07/2011 17:26:00,,2840.00,1740.00,510.00,255.00,144.00,183.00,99.00,40.00,APPROVED
ID: IDAHO FALLS,02/07/2011 18:40:00,,2582.00,1410.00,418.00,191.00,121.00,135.00,78.00,34.00,APPROVED
ID: IDAHO FALLS,02/07/2011 19:41:00,,2826.00,1648.00,478.00,231.00,134.00,161.00,90.00,38.00,APPROVED
ID: IDAHO FALLS,02/07/2011 20:41:00,,2730.00,1631.00,481.00,241.00,137.00,171.00,95.00,37.00,APPROVED
ID: IDAHO FALLS,02/07/2011 21:41:00,,2681.00,1561.00,474.00,226.00,132.00,163.00,88.00,37.00,APPROVED
ID: IDAHO FALLS,02/07/2011 22:41:00,,2689.00,1551.00,464.00,219.00,132.00,158.00,87.00,37.00,APPROVED
ID: IDAHO FALLS,02/07/2011 23:41:00,,2664.00,1535.00,454.00,216.00,133.00,154.00,86.00,37.00,APPROVED
ID: IDAHO FALLS,02/08/2011 00:42:00,,2620.00,1505.00,449.00,216.00,125.00,153.00,84.00,36.00,APPROVED
ID: IDAHO FALLS,02/08/2011 01:42:00,,2585.00,1460.00,428.00,208.00,125.00,144.00,81.00,35.00,APPROVED
ID: IDAHO FALLS,02/08/2011 02:42:00,,2587.00,1462.00,428.00,204.00,123.00,147.00,82.00,35.00,APPROVED
ID: IDAHO FALLS,02/08/2011 03:42:00,,2613.00,1492.00,436.00,207.00,127.00,148.00,81.00,36.00,APPROVED
ID: IDAHO FALLS,02/08/2011 04:42:00,,2601.00,1464.00,429.00,205.00,123.00,148.00,79.00,35.00,APPROVED
ID: IDAHO FALLS,02/08/2011 05:43:00,,2639.00,1500.00,440.00,209.00,125.00,146.00,83.00,35.00,APPROVED
ID: IDAHO FALLS,02/08/2011 06:43:00,,2702.00,1560.00,457.00,223.00,132.00,156.00,89.00,36.00,APPROVED
ID: IDAHO FALLS,02/08/2011 07:43:00,,2667.00,1546.00,444.00,227.00,128.00,151.00,89.00,37.00,APPROVED
ID: IDAHO FALLS,02/08/2011 08:43:00,,2651.00,1537.00,442.00,224.00,131.00,149.00,88.00,36.00,APPROVED
ID: IDAHO FALLS,02/08/2011 09:44:00,,2672.00,1538.00,444.00,223.00,128.00,150.00,90.00,37.00,APPROVED
ID: IDAHO FALLS,02/08/2011 10:44:00,,2679.00,1546.00,444.00,226.00,130.00,152.00,91.00,37.00,APPROVED
ID: IDAHO FALLS,02/08/2011 11:44:00,,2699.00,1549.00,442.00,227.00,129.00,150.00,91.00,40.00,APPROVED
ID: IDAHO FALLS,02/08/2011 12:44:00,,2697.00,1556.00,444.00,230.00,129.00,152.00,89.00,40.00,APPROVED
ID: IDAHO FALLS,02/08/2011 13:44:00,,2681.00,1561.00,442.00,227.00,132.00,150.00,90.00,39.00,APPROVED
ID: IDAHO FALLS,02/08/2011 14:45:00,,2695.00,1542.00,442.00,234.00,127.00,152.00,92.00,39.00,APPROVED
ID: IDAHO FALLS,02/08/2011 15:45:00,,2705.00,1566.00,445.00,230.00,129.00,157.00,90.00,40.00,APPROVED
ID: IDAHO FALLS,02/08/2011 16:45:00,,2723.00,1583.00,456.00,232.00,132.00,156.00,91.00,39.00,APPROVED
ID: IDAHO FALLS,02/08/2011 17:45:00,,2735.00,1588.00,459.00,235.00,134.00,156.00,93.00,38.00,APPROVED
ID: IDAHO FALLS,02/08/2011 18:45:00,,2738.00,1592.00,454.00,233.00,136.00,160.00,90.00,36.00,APPROVED
ID: IDAHO FALLS,02/08/2011 19:46:00,,2706.00,1561.00,453.00,226.00,130.00,153.00,88.00,36.00,APPROVED
