LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IL: CHICAGO,01/01/2007 00:29:00,,2765.00,335.00,157.00,158.00,204.00,124.00,21.00,23.00,APPROVED
IL: CHICAGO,01/01/2007 01:29:00,,2815.00,346.00,160.00,162.00,208.00,129.00,22.00,22.00,APPROVED
IL: CHICAGO,01/01/2007 02:29:00,,2862.00,352.00,168.00,165.00,213.00,133.00,22.00,23.00,APPROVED
IL: CHICAGO,01/01/2007 03:29:00,,2914.00,359.00,171.00,170.00,220.00,130.00,23.00,23.00,APPROVED
IL: CHICAGO,01/01/2007 18:32:00,,2616.00,312.00,154.00,143.00,194.00,119.00,19.00,22.00,APPROVED
IL: CHICAGO,01/01/2007 19:32:00,,2606.00,310.00,154.00,144.00,191.00,114.00,18.00,22.00,APPROVED
IL: CHICAGO,01/01/2007 20:33:00,,2591.00,307.00,147.00,136.00,186.00,116.00,17.00,23.00,APPROVED
IL: CHICAGO,01/01/2007 21:33:00,,2572.00,302.00,143.00,136.00,186.00,113.00,18.00,23.00,APPROVED
IL: CHICAGO,01/01/2007 22:33:00,,2566.00,303.00,147.00,135.00,183.00,113.00,17.00,22.00,APPROVED
IL: CHICAGO,01/01/2007 23:33:00,,2572.00,300.00,146.00,139.00,188.00,116.00,17.00,23.00,APPROVED
IL: CHICAGO,01/02/2007 00:33:00,,2554.00,303.00,144.00,136.00,186.00,113.00,17.00,22.00,APPROVED
IL: CHICAGO,01/02/2007 01:34:00,,2555.00,300.00,142.00,134.00,187.00,115.00,17.00,22.00,APPROVED
IL: CHICAGO,01/02/2007 17:37:00,,2649.00,316.00,156.00,146.00,199.00,118.00,18.00,23.00,APPROVED
