LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IN: FORT WAYNE,01/01/2018 00:39:00,,1499.00,838.00,225.00,119.00,65.00,85.00,52.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 01:39:00,,1571.00,872.00,232.00,123.00,69.00,88.00,54.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 02:39:00,,1602.00,899.00,235.00,127.00,69.00,91.00,56.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 03:39:00,,1633.00,914.00,239.00,133.00,73.00,91.00,56.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 04:40:00,,1606.00,917.00,239.00,131.00,70.00,93.00,58.00,23.00,APPROVED
IN: FORT WAYNE,01/01/2018 05:40:00,,1551.00,899.00,238.00,130.00,71.00,90.00,56.00,23.00,APPROVED
IN: FORT WAYNE,01/01/2018 06:40:00,,1561.00,899.00,235.00,131.00,74.00,93.00,55.00,24.00,APPROVED
IN: FORT WAYNE,01/01/2018 07:40:00,,1595.00,921.00,242.00,136.00,71.00,94.00,58.00,23.00,APPROVED
IN: FORT WAYNE,01/01/2018 08:40:00,,1562.00,898.00,236.00,133.00,72.00,91.00,56.00,24.00,APPROVED
IN: FORT WAYNE,01/01/2018 09:41:00,,1592.00,886.00,232.00,126.00,69.00,88.00,56.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 10:41:00,,1537.00,846.00,217.00,121.00,67.00,86.00,53.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 11:41:00,,1515.00,825.00,220.00,114.00,65.00,84.00,51.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 12:41:00,,1528.00,843.00,221.00,116.00,64.00,84.00,52.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 13:41:00,,1529.00,834.00,221.00,117.00,65.00,82.00,52.00,21.00,APPROVED
IN: FORT WAYNE,01/01/2018 14:42:00,,1534.00,830.00,219.00,117.00,62.00,83.00,53.00,21.00,APPROVED
IN: FORT WAYNE,01/01/2018 15:42:00,,1527.00,835.00,219.00,115.00,66.00,81.00,51.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 16:42:00,,1482.00,805.00,216.00,114.00,64.00,80.00,50.00,21.00,APPROVED
IN: FORT WAYNE,01/01/2018 17:42:00,,1464.00,808.00,215.00,111.00,63.00,80.00,51.00,21.00,APPROVED
IN: FORT WAYNE,01/01/2018 18:42:00,,1475.00,804.00,212.00,114.00,63.00,83.00,51.00,21.00,APPROVED
IN: FORT WAYNE,01/01/2018 19:43:00,,1489.00,815.00,216.00,116.00,64.00,82.00,50.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 20:43:00,,1526.00,837.00,216.00,114.00,65.00,85.00,50.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 21:43:00,,1513.00,833.00,220.00,116.00,69.00,83.00,52.00,22.00,APPROVED
IN: FORT WAYNE,01/01/2018 22:43:00,,1553.00,854.00,227.00,118.00,67.00,84.00,51.00,23.00,APPROVED
IN: FORT WAYNE,01/01/2018 23:43:00,,1537.00,865.00,228.00,121.00,67.00,87.00,53.00,22.00,APPROVED
