LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IN: INDIANAPOLIS,01/06/2014 22:08:00,,1377.00,714.00,216.00,108.00,65.00,91.00,47.00,27.00,APPROVED
IN: INDIANAPOLIS,01/06/2014 23:08:00,,1358.00,703.00,211.00,104.00,66.00,87.00,46.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 00:08:00,,1351.00,704.00,210.00,105.00,67.00,86.00,45.00,28.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 01:08:00,,1362.00,698.00,212.00,102.00,65.00,86.00,45.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 02:08:00,,1375.00,706.00,215.00,106.00,66.00,88.00,45.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 03:09:00,,1375.00,703.00,211.00,103.00,63.00,88.00,45.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 04:09:00,,1365.00,707.00,210.00,106.00,67.00,86.00,47.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 05:09:00,,1364.00,701.00,211.00,105.00,66.00,87.00,49.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 06:09:00,,1364.00,698.00,211.00,106.00,66.00,86.00,47.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 07:10:00,,1366.00,701.00,213.00,105.00,66.00,85.00,46.00,28.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 08:10:00,,1373.00,697.00,208.00,105.00,65.00,86.00,45.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 09:10:00,,1364.00,703.00,218.00,103.00,65.00,87.00,48.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 10:10:00,,1359.00,701.00,211.00,105.00,67.00,85.00,48.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 11:10:00,,1370.00,700.00,209.00,103.00,65.00,84.00,46.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 12:11:00,,1366.00,696.00,214.00,104.00,66.00,84.00,47.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 13:11:00,,1358.00,695.00,215.00,104.00,65.00,84.00,48.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 14:11:00,,1366.00,695.00,213.00,104.00,66.00,86.00,46.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 15:11:00,,1362.00,698.00,210.00,106.00,66.00,85.00,47.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 16:11:00,,1367.00,699.00,206.00,104.00,67.00,82.00,49.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 17:12:00,,1363.00,687.00,206.00,107.00,63.00,80.00,50.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 18:12:00,,1339.00,682.00,200.00,104.00,63.00,80.00,49.00,25.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 19:12:00,,1332.00,675.00,199.00,102.00,62.00,77.00,48.00,26.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 20:12:00,,1320.00,662.00,198.00,100.00,64.00,77.00,49.00,25.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 21:12:00,,1316.00,665.00,198.00,101.00,64.00,78.00,49.00,28.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 22:13:00,,1317.00,664.00,199.00,98.00,63.00,79.00,50.00,27.00,APPROVED
IN: INDIANAPOLIS,01/07/2014 23:13:00,,1308.00,667.00,197.00,99.00,63.00,77.00,48.00,27.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 00:13:00,,1311.00,669.00,199.00,101.00,62.00,76.00,51.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 01:13:00,,1328.00,672.00,198.00,102.00,62.00,77.00,49.00,25.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 02:14:00,,1319.00,678.00,193.00,100.00,64.00,76.00,49.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 03:14:00,,1315.00,674.00,200.00,100.00,64.00,76.00,50.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 04:14:00,,1339.00,678.00,200.00,104.00,63.00,79.00,50.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 05:14:00,,1354.00,695.00,204.00,107.00,65.00,79.00,52.00,27.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 06:14:00,,1359.00,704.00,209.00,110.00,68.00,81.00,52.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 07:15:00,,1378.00,711.00,211.00,109.00,66.00,84.00,53.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 08:15:00,,1386.00,724.00,212.00,110.00,68.00,82.00,52.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 09:15:00,,1392.00,747.00,217.00,114.00,69.00,83.00,54.00,27.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 10:15:00,,1415.00,761.00,222.00,116.00,69.00,87.00,55.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 11:15:00,,1423.00,761.00,224.00,120.00,70.00,89.00,54.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 12:16:00,,1430.00,764.00,224.00,121.00,71.00,89.00,56.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 13:16:00,,1435.00,782.00,225.00,120.00,70.00,91.00,56.00,27.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 14:16:00,,1434.00,781.00,223.00,123.00,72.00,90.00,57.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 15:16:00,,1423.00,763.00,223.00,123.00,71.00,91.00,58.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 16:16:00,,1404.00,748.00,223.00,115.00,69.00,89.00,53.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 17:10:00,,1393.00,697.00,219.00,103.00,67.00,92.00,36.00,28.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 18:22:00,,1369.00,644.00,193.00,93.00,62.00,83.00,30.00,24.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 19:23:00,,1357.00,655.00,200.00,96.00,62.00,84.00,31.00,25.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 20:23:00,,1371.00,664.00,203.00,95.00,62.00,84.00,31.00,24.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 21:23:00,,1364.00,660.00,202.00,97.00,63.00,85.00,32.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 22:23:00,,1368.00,665.00,206.00,95.00,64.00,83.00,33.00,26.00,APPROVED
IN: INDIANAPOLIS,01/08/2014 23:23:00,,1387.00,672.00,207.00,98.00,65.00,88.00,32.00,25.00,APPROVED
IN: INDIANAPOLIS,01/09/2014 00:24:00,,1419.00,689.00,212.00,98.00,66.00,87.00,32.00,26.00,APPROVED
IN: INDIANAPOLIS,01/09/2014 01:24:00,,1454.00,724.00,221.00,101.00,69.00,92.00,32.00,25.00,APPROVED
IN: INDIANAPOLIS,01/09/2014 02:24:00,,1487.00,732.00,226.00,104.00,72.00,92.00,35.00,25.00,APPROVED
IN: INDIANAPOLIS,01/09/2014 03:24:00,,1501.00,753.00,235.00,109.00,73.00,93.00,35.00,26.00,APPROVED
IN: INDIANAPOLIS,01/09/2014 04:24:00,,1515.00,761.00,236.00,107.00,73.00,96.00,35.00,26.00,APPROVED
