LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
KS: DODGE CITY,11/04/2016 15:49:00,,3899.00,2490.00,623.00,322.00,192.00,253.00,91.00,38.00,APPROVED
KS: DODGE CITY,11/04/2016 16:49:00,,3701.00,2400.00,629.00,354.00,200.00,269.00,104.00,40.00,APPROVED
KS: DODGE CITY,11/04/2016 17:50:00,,3477.00,2193.00,590.00,319.00,189.00,240.00,108.00,39.00,APPROVED
KS: DODGE CITY,11/04/2016 21:50:00,,3193.00,1938.00,530.00,275.00,176.00,206.00,113.00,36.00,APPROVED
KS: DODGE CITY,11/04/2016 22:51:00,,3239.00,1941.00,530.00,278.00,174.00,204.00,115.00,36.00,APPROVED
KS: DODGE CITY,11/04/2016 23:51:00,,3277.00,1983.00,534.00,275.00,174.00,208.00,113.00,36.00,APPROVED
KS: DODGE CITY,11/05/2016 00:51:00,,3336.00,2031.00,539.00,280.00,176.00,209.00,110.00,38.00,APPROVED
KS: DODGE CITY,11/05/2016 01:51:00,,3507.00,2198.00,567.00,310.00,186.00,224.00,111.00,38.00,APPROVED
KS: DODGE CITY,11/05/2016 02:51:00,,3617.00,2312.00,589.00,333.00,191.00,243.00,111.00,40.00,APPROVED
KS: DODGE CITY,11/05/2016 03:52:00,,3643.00,2314.00,596.00,326.00,189.00,249.00,103.00,39.00,APPROVED
KS: DODGE CITY,11/05/2016 04:52:00,,3663.00,2311.00,593.00,322.00,187.00,244.00,98.00,39.00,APPROVED
KS: DODGE CITY,11/05/2016 05:52:00,,3668.00,2298.00,595.00,316.00,188.00,242.00,99.00,40.00,APPROVED
KS: DODGE CITY,11/05/2016 06:52:00,,3688.00,2300.00,591.00,312.00,187.00,243.00,93.00,39.00,APPROVED
KS: DODGE CITY,11/05/2016 07:52:00,,3676.00,2295.00,591.00,306.00,185.00,242.00,93.00,39.00,APPROVED
KS: DODGE CITY,11/05/2016 08:53:00,,3737.00,2322.00,599.00,312.00,188.00,245.00,93.00,39.00,APPROVED
KS: DODGE CITY,11/05/2016 09:53:00,,3791.00,2389.00,612.00,319.00,190.00,253.00,94.00,40.00,APPROVED
KS: DODGE CITY,11/05/2016 10:53:00,,3822.00,2406.00,614.00,323.00,196.00,254.00,92.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 11:53:00,,3799.00,2440.00,625.00,330.00,196.00,259.00,95.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 12:53:00,,3881.00,2485.00,638.00,349.00,200.00,268.00,101.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 13:53:00,,3988.00,2616.00,673.00,373.00,207.00,286.00,106.00,47.00,APPROVED
KS: DODGE CITY,11/05/2016 14:54:00,,3972.00,2641.00,680.00,382.00,214.00,291.00,109.00,46.00,APPROVED
KS: DODGE CITY,11/05/2016 15:54:00,,3767.00,2470.00,649.00,366.00,205.00,273.00,107.00,44.00,APPROVED
KS: DODGE CITY,11/05/2016 16:54:00,,3572.00,2293.00,608.00,333.00,193.00,252.00,109.00,43.00,APPROVED
KS: DODGE CITY,11/05/2016 17:54:00,,3467.00,2183.00,588.00,311.00,188.00,233.00,108.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 18:54:00,,3419.00,2118.00,575.00,305.00,185.00,225.00,112.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 19:55:00,,3367.00,2091.00,572.00,300.00,183.00,221.00,116.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 20:55:00,,3384.00,2116.00,572.00,302.00,184.00,225.00,116.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 21:55:00,,3400.00,2139.00,577.00,306.00,188.00,228.00,121.00,41.00,APPROVED
KS: DODGE CITY,11/05/2016 22:55:00,,3378.00,2113.00,573.00,305.00,187.00,225.00,115.00,40.00,APPROVED
