LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: SHREVEPORT,01/12/2012 21:06:00,,2183.00,1317.00,385.00,194.00,132.00,151.00,81.00,30.00,APPROVED
LA: SHREVEPORT,01/12/2012 22:07:00,,2210.00,1331.00,389.00,200.00,132.00,152.00,81.00,29.00,APPROVED
LA: SHREVEPORT,01/12/2012 23:07:00,,2201.00,1312.00,383.00,198.00,128.00,149.00,81.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 00:07:00,,2210.00,1315.00,382.00,192.00,126.00,149.00,76.00,30.00,APPROVED
LA: SHREVEPORT,01/13/2012 01:07:00,,2223.00,1336.00,383.00,191.00,128.00,149.00,75.00,28.00,APPROVED
LA: SHREVEPORT,01/13/2012 02:07:00,,2215.00,1325.00,383.00,194.00,128.00,147.00,73.00,31.00,APPROVED
LA: SHREVEPORT,01/13/2012 03:08:00,,2220.00,1321.00,381.00,189.00,125.00,146.00,72.00,28.00,APPROVED
LA: SHREVEPORT,01/13/2012 04:08:00,,2233.00,1316.00,382.00,188.00,125.00,146.00,68.00,30.00,APPROVED
LA: SHREVEPORT,01/13/2012 16:17:00,,2199.00,1309.00,388.00,191.00,126.00,149.00,74.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 17:17:00,,2141.00,1286.00,383.00,193.00,127.00,145.00,76.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 18:17:00,,2060.00,1265.00,378.00,193.00,125.00,145.00,81.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 19:18:00,,1982.00,1229.00,370.00,193.00,126.00,147.00,85.00,30.00,APPROVED
LA: SHREVEPORT,01/13/2012 20:18:00,,1936.00,1207.00,373.00,191.00,129.00,144.00,82.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 21:18:00,,1968.00,1221.00,372.00,193.00,127.00,144.00,85.00,29.00,APPROVED
LA: SHREVEPORT,01/13/2012 22:18:00,,2021.00,1250.00,376.00,195.00,130.00,147.00,84.00,30.00,APPROVED
LA: SHREVEPORT,01/13/2012 23:19:00,,2069.00,1262.00,382.00,191.00,126.00,147.00,85.00,30.00,APPROVED
