LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MA: BOSTON,01/01/2022 00:58:00,,2716.00,1739.00,541.00,284.00,187.00,234.00,106.00,44.00,APPROVED
MA: BOSTON,01/01/2022 01:58:00,,2714.00,1739.00,532.00,279.00,184.00,231.00,104.00,44.00,APPROVED
MA: BOSTON,01/01/2022 02:59:00,,2721.00,1743.00,537.00,283.00,185.00,231.00,107.00,44.00,APPROVED
MA: BOSTON,01/01/2022 03:59:00,,2721.00,1750.00,541.00,285.00,185.00,231.00,108.00,45.00,APPROVED
MA: BOSTON,01/01/2022 04:59:00,,2741.00,1781.00,546.00,291.00,189.00,237.00,111.00,44.00,APPROVED
MA: BOSTON,01/01/2022 05:59:00,,2732.00,1779.00,549.00,297.00,191.00,238.00,107.00,44.00,APPROVED
MA: BOSTON,01/01/2022 06:59:00,,2729.00,1773.00,551.00,290.00,189.00,240.00,109.00,45.00,APPROVED
MA: BOSTON,01/01/2022 08:00:00,,2713.00,1773.00,547.00,291.00,189.00,238.00,106.00,47.00,APPROVED
MA: BOSTON,01/01/2022 09:00:00,,2740.00,1783.00,553.00,295.00,189.00,242.00,110.00,44.00,APPROVED
MA: BOSTON,01/01/2022 10:00:00,,2739.00,1792.00,561.00,299.00,190.00,246.00,109.00,45.00,APPROVED
MA: BOSTON,01/01/2022 11:00:00,,2742.00,1792.00,555.00,299.00,194.00,243.00,111.00,47.00,APPROVED
MA: BOSTON,01/01/2022 12:00:00,,2738.00,1773.00,553.00,293.00,188.00,242.00,110.00,47.00,APPROVED
MA: BOSTON,01/01/2022 13:01:00,,2742.00,1798.00,552.00,297.00,191.00,245.00,108.00,45.00,APPROVED
MA: BOSTON,01/01/2022 14:01:00,,2717.00,1775.00,557.00,288.00,186.00,237.00,105.00,45.00,APPROVED
MA: BOSTON,01/01/2022 15:01:00,,2663.00,1692.00,539.00,274.00,185.00,235.00,97.00,44.00,APPROVED
MA: BOSTON,01/01/2022 16:01:00,,2624.00,1657.00,518.00,262.00,177.00,226.00,94.00,43.00,APPROVED
MA: BOSTON,01/01/2022 17:01:00,,2712.00,1735.00,543.00,280.00,184.00,231.00,99.00,45.00,APPROVED
MA: BOSTON,01/01/2022 18:02:00,,2761.00,1785.00,558.00,281.00,187.00,238.00,103.00,44.00,APPROVED
MA: BOSTON,01/01/2022 19:02:00,,2711.00,1744.00,545.00,278.00,183.00,234.00,100.00,42.00,APPROVED
MA: BOSTON,01/01/2022 20:02:00,,2625.00,1660.00,518.00,263.00,179.00,221.00,96.00,41.00,APPROVED
MA: BOSTON,01/01/2022 21:02:00,,2605.00,1643.00,514.00,258.00,177.00,219.00,95.00,42.00,APPROVED
MA: BOSTON,01/01/2022 22:02:00,,2596.00,1641.00,520.00,266.00,180.00,223.00,97.00,42.00,APPROVED
MA: BOSTON,01/01/2022 23:03:00,,2592.00,1647.00,520.00,268.00,182.00,224.00,97.00,42.00,APPROVED
MA: BOSTON,01/02/2022 00:03:00,,2615.00,1648.00,515.00,272.00,182.00,224.00,96.00,43.00,APPROVED
MA: BOSTON,01/02/2022 01:03:00,,2653.00,1695.00,533.00,277.00,185.00,232.00,104.00,41.00,APPROVED
MA: BOSTON,01/02/2022 02:03:00,,2792.00,1837.00,569.00,303.00,194.00,251.00,111.00,44.00,APPROVED
MA: BOSTON,01/02/2022 03:03:00,,2864.00,1952.00,605.00,324.00,207.00,270.00,114.00,47.00,APPROVED
MA: BOSTON,01/02/2022 04:04:00,,2889.00,1965.00,625.00,328.00,207.00,274.00,118.00,47.00,APPROVED
MA: BOSTON,01/02/2022 05:04:00,,3005.00,2074.00,653.00,349.00,216.00,287.00,122.00,50.00,APPROVED
MA: BOSTON,01/02/2022 06:04:00,,3076.00,2119.00,663.00,360.00,217.00,290.00,125.00,48.00,APPROVED
MA: BOSTON,01/02/2022 07:04:00,,3011.00,2043.00,636.00,341.00,211.00,276.00,125.00,48.00,APPROVED
MA: BOSTON,01/02/2022 08:04:00,,2882.00,1925.00,596.00,319.00,199.00,264.00,117.00,48.00,APPROVED
MA: BOSTON,01/02/2022 09:05:00,,2991.00,2029.00,620.00,337.00,206.00,266.00,124.00,48.00,APPROVED
MA: BOSTON,01/02/2022 10:05:00,,3145.00,2138.00,647.00,353.00,212.00,278.00,129.00,48.00,APPROVED
MA: BOSTON,01/02/2022 11:05:00,,3040.00,2015.00,619.00,326.00,206.00,263.00,121.00,47.00,APPROVED
MA: BOSTON,01/02/2022 12:05:00,,3053.00,2036.00,621.00,331.00,204.00,263.00,123.00,48.00,APPROVED
MA: BOSTON,01/02/2022 13:05:00,,2894.00,1911.00,585.00,314.00,196.00,253.00,120.00,45.00,APPROVED
MA: BOSTON,01/02/2022 14:06:00,,2892.00,1898.00,579.00,313.00,197.00,249.00,120.00,45.00,APPROVED
MA: BOSTON,01/02/2022 15:06:00,,2900.00,1924.00,586.00,319.00,199.00,252.00,120.00,45.00,APPROVED
MA: BOSTON,01/02/2022 16:06:00,,3000.00,1997.00,608.00,329.00,206.00,258.00,124.00,49.00,APPROVED
MA: BOSTON,01/02/2022 17:06:00,,2943.00,1942.00,586.00,321.00,204.00,251.00,119.00,48.00,APPROVED
MA: BOSTON,01/02/2022 18:06:00,,2959.00,1960.00,597.00,326.00,200.00,259.00,121.00,47.00,APPROVED
MA: BOSTON,01/02/2022 19:07:00,,2966.00,1958.00,601.00,326.00,199.00,257.00,122.00,47.00,APPROVED
MA: BOSTON,01/02/2022 20:07:00,,2904.00,1916.00,586.00,314.00,197.00,255.00,118.00,46.00,APPROVED
MA: BOSTON,01/02/2022 21:07:00,,2916.00,1924.00,591.00,316.00,198.00,251.00,117.00,46.00,APPROVED
MA: BOSTON,01/02/2022 22:07:00,,2863.00,1861.00,569.00,310.00,197.00,241.00,117.00,45.00,APPROVED
MA: BOSTON,01/02/2022 23:07:00,,2763.00,1792.00,538.00,287.00,184.00,229.00,114.00,43.00,APPROVED
MA: BOSTON,01/03/2022 00:08:00,,2704.00,1715.00,520.00,278.00,182.00,217.00,111.00,42.00,APPROVED
MA: BOSTON,01/03/2022 01:08:00,,2680.00,1689.00,511.00,270.00,174.00,210.00,113.00,40.00,APPROVED
MA: BOSTON,01/03/2022 02:08:00,,2645.00,1667.00,501.00,265.00,174.00,205.00,112.00,41.00,APPROVED
MA: BOSTON,01/03/2022 04:08:00,,2619.00,1644.00,493.00,258.00,173.00,201.00,117.00,41.00,APPROVED
MA: BOSTON,01/03/2022 05:09:00,,2613.00,1638.00,493.00,261.00,177.00,197.00,115.00,40.00,APPROVED
MA: BOSTON,01/03/2022 06:09:00,,2623.00,1637.00,493.00,258.00,172.00,196.00,116.00,39.00,APPROVED
MA: BOSTON,01/03/2022 07:09:00,,2617.00,1645.00,491.00,259.00,173.00,198.00,116.00,38.00,APPROVED
MA: BOSTON,01/03/2022 08:09:00,,2598.00,1634.00,489.00,254.00,167.00,199.00,114.00,38.00,APPROVED
MA: BOSTON,01/03/2022 09:09:00,,2588.00,1614.00,485.00,255.00,165.00,197.00,111.00,37.00,APPROVED
MA: BOSTON,01/03/2022 10:10:00,,2614.00,1623.00,486.00,257.00,169.00,200.00,115.00,38.00,APPROVED
MA: BOSTON,01/03/2022 11:10:00,,2612.00,1626.00,490.00,253.00,173.00,200.00,113.00,38.00,APPROVED
MA: BOSTON,01/03/2022 12:10:00,,2622.00,1636.00,494.00,256.00,172.00,203.00,110.00,41.00,APPROVED
MA: BOSTON,01/03/2022 13:10:00,,2618.00,1637.00,487.00,257.00,170.00,200.00,111.00,39.00,APPROVED
MA: BOSTON,01/03/2022 14:10:00,,2612.00,1627.00,493.00,256.00,171.00,199.00,108.00,38.00,APPROVED
MA: BOSTON,01/03/2022 15:11:00,,2624.00,1635.00,494.00,257.00,172.00,200.00,110.00,38.00,APPROVED
MA: BOSTON,01/03/2022 16:11:00,,2624.00,1631.00,492.00,256.00,173.00,201.00,110.00,39.00,APPROVED
MA: BOSTON,01/03/2022 17:11:00,,2623.00,1626.00,491.00,254.00,173.00,199.00,112.00,38.00,APPROVED
MA: BOSTON,01/03/2022 18:11:00,,2636.00,1630.00,489.00,259.00,171.00,202.00,109.00,38.00,APPROVED
MA: BOSTON,01/03/2022 19:11:00,,2636.00,1644.00,491.00,257.00,174.00,202.00,110.00,38.00,APPROVED
MA: BOSTON,01/03/2022 20:12:00,,2614.00,1634.00,493.00,256.00,169.00,197.00,113.00,38.00,APPROVED
MA: BOSTON,01/03/2022 21:12:00,,2622.00,1621.00,483.00,255.00,171.00,197.00,114.00,38.00,APPROVED
MA: BOSTON,01/03/2022 22:12:00,,2612.00,1623.00,485.00,253.00,171.00,202.00,110.00,37.00,APPROVED
MA: BOSTON,01/03/2022 23:12:00,,2597.00,1624.00,489.00,253.00,172.00,200.00,109.00,38.00,APPROVED
MA: BOSTON,01/04/2022 00:12:00,,2618.00,1629.00,491.00,253.00,170.00,199.00,107.00,39.00,APPROVED
MA: BOSTON,01/04/2022 01:13:00,,2626.00,1642.00,485.00,256.00,170.00,200.00,108.00,38.00,APPROVED
