LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MA: WORCESTER,01/01/2025 00:14:00,88.00,3418.00,1983.00,572.00,302.00,207.00,238.00,203.00,34.00,APPROVED
MA: WORCESTER,01/01/2025 01:14:00,89.00,3410.00,2002.00,573.00,303.00,207.00,241.00,206.00,34.00,APPROVED
MA: WORCESTER,01/01/2025 02:14:00,91.00,3435.00,2005.00,571.00,308.00,209.00,243.00,205.00,33.00,APPROVED
MA: WORCESTER,01/01/2025 03:14:00,91.00,3436.00,2022.00,579.00,308.00,206.00,240.00,204.00,35.00,APPROVED
MA: WORCESTER,01/01/2025 04:14:00,87.00,3438.00,2015.00,582.00,312.00,208.00,241.00,205.00,35.00,APPROVED
MA: WORCESTER,01/01/2025 05:14:00,89.00,3443.00,2017.00,579.00,305.00,205.00,244.00,206.00,35.00,APPROVED
MA: WORCESTER,01/01/2025 06:14:00,90.00,3465.00,2031.00,581.00,310.00,208.00,247.00,206.00,37.00,APPROVED
MA: WORCESTER,01/01/2025 07:14:00,105.00,3891.00,2409.00,666.00,382.00,234.00,281.00,223.00,42.00,APPROVED
MA: WORCESTER,01/01/2025 08:14:00,108.00,3964.00,2487.00,700.00,398.00,241.00,298.00,231.00,43.00,APPROVED
MA: WORCESTER,01/01/2025 09:14:00,108.00,3832.00,2378.00,681.00,384.00,237.00,283.00,227.00,42.00,APPROVED
MA: WORCESTER,01/01/2025 10:14:00,104.00,3710.00,2264.00,644.00,361.00,230.00,277.00,222.00,40.00,APPROVED
MA: WORCESTER,01/01/2025 11:14:00,96.00,3573.00,2148.00,613.00,341.00,218.00,261.00,216.00,38.00,APPROVED
MA: WORCESTER,01/01/2025 12:15:00,94.00,3491.00,2079.00,603.00,328.00,213.00,255.00,210.00,39.00,APPROVED
MA: WORCESTER,01/01/2025 13:15:00,94.00,3527.00,2113.00,604.00,335.00,214.00,258.00,214.00,38.00,APPROVED
MA: WORCESTER,01/01/2025 14:15:00,91.00,3472.00,2067.00,591.00,323.00,214.00,252.00,207.00,35.00,APPROVED
MA: WORCESTER,01/01/2025 15:15:00,90.00,3436.00,2015.00,580.00,309.00,210.00,243.00,206.00,36.00,APPROVED
MA: WORCESTER,01/01/2025 16:15:00,93.00,3493.00,2080.00,596.00,322.00,212.00,251.00,209.00,38.00,APPROVED
MA: WORCESTER,01/01/2025 17:15:00,95.00,3573.00,2125.00,608.00,331.00,221.00,255.00,216.00,39.00,APPROVED
MA: WORCESTER,01/01/2025 18:15:00,94.00,3589.00,2140.00,617.00,333.00,218.00,258.00,210.00,38.00,APPROVED
MA: WORCESTER,01/01/2025 19:15:00,94.00,3471.00,2043.00,594.00,316.00,211.00,249.00,205.00,35.00,APPROVED
MA: WORCESTER,01/01/2025 20:15:00,90.00,3428.00,1998.00,573.00,307.00,206.00,240.00,210.00,36.00,APPROVED
MA: WORCESTER,01/01/2025 21:15:00,93.00,3420.00,1993.00,573.00,303.00,208.00,243.00,204.00,36.00,APPROVED
MA: WORCESTER,01/01/2025 22:15:00,90.00,3413.00,2003.00,573.00,305.00,206.00,239.00,205.00,34.00,APPROVED
MA: WORCESTER,01/01/2025 23:15:00,91.00,3445.00,2039.00,589.00,309.00,206.00,246.00,206.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 00:15:00,93.00,3548.00,2104.00,605.00,329.00,217.00,258.00,213.00,37.00,APPROVED
MA: WORCESTER,01/02/2025 01:15:00,100.00,3617.00,2190.00,624.00,345.00,224.00,264.00,221.00,38.00,APPROVED
MA: WORCESTER,01/02/2025 02:15:00,92.00,3516.00,2075.00,603.00,328.00,215.00,254.00,208.00,38.00,APPROVED
MA: WORCESTER,01/02/2025 03:15:00,97.00,3530.00,2091.00,601.00,325.00,211.00,254.00,215.00,38.00,APPROVED
MA: WORCESTER,01/02/2025 04:15:00,94.00,3486.00,2056.00,590.00,318.00,211.00,251.00,208.00,37.00,APPROVED
MA: WORCESTER,01/02/2025 05:15:00,96.00,3484.00,2044.00,587.00,316.00,209.00,250.00,213.00,36.00,APPROVED
MA: WORCESTER,01/02/2025 06:15:00,91.00,3430.00,2001.00,576.00,308.00,207.00,242.00,203.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 07:15:00,93.00,3421.00,1985.00,568.00,302.00,210.00,240.00,203.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 08:16:00,91.00,3392.00,1977.00,561.00,300.00,206.00,238.00,200.00,34.00,APPROVED
MA: WORCESTER,01/02/2025 09:16:00,92.00,3419.00,1983.00,566.00,302.00,204.00,238.00,200.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 10:16:00,91.00,3415.00,1978.00,567.00,304.00,206.00,239.00,203.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 11:16:00,91.00,3405.00,1976.00,571.00,299.00,206.00,238.00,206.00,33.00,APPROVED
MA: WORCESTER,01/02/2025 12:16:00,88.00,3405.00,1970.00,566.00,297.00,206.00,240.00,204.00,36.00,APPROVED
MA: WORCESTER,01/02/2025 13:16:00,92.00,3405.00,1962.00,565.00,303.00,205.00,242.00,201.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 14:16:00,92.00,3390.00,1973.00,566.00,298.00,206.00,240.00,203.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 15:16:00,91.00,3377.00,1960.00,569.00,297.00,202.00,240.00,198.00,34.00,APPROVED
MA: WORCESTER,01/02/2025 16:16:00,88.00,3389.00,1963.00,565.00,303.00,208.00,234.00,202.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 17:16:00,91.00,3403.00,1976.00,566.00,300.00,206.00,240.00,203.00,33.00,APPROVED
MA: WORCESTER,01/02/2025 18:16:00,91.00,3443.00,2009.00,578.00,309.00,204.00,240.00,204.00,35.00,APPROVED
MA: WORCESTER,01/02/2025 19:16:00,94.00,3434.00,2016.00,581.00,310.00,205.00,243.00,205.00,34.00,APPROVED
MA: WORCESTER,01/02/2025 20:16:00,90.00,3454.00,2037.00,586.00,312.00,209.00,245.00,204.00,36.00,APPROVED
MA: WORCESTER,01/02/2025 21:16:00,88.00,3477.00,2035.00,586.00,313.00,210.00,249.00,204.00,36.00,APPROVED
MA: WORCESTER,01/02/2025 22:16:00,92.00,3465.00,2045.00,584.00,314.00,209.00,247.00,208.00,36.00,APPROVED
MA: WORCESTER,01/02/2025 23:16:00,91.00,3487.00,2058.00,587.00,320.00,210.00,248.00,206.00,37.00,APPROVED
MA: WORCESTER,01/03/2025 00:16:00,93.00,3465.00,2045.00,589.00,317.00,213.00,248.00,205.00,36.00,APPROVED
MA: WORCESTER,01/03/2025 01:16:00,88.00,3466.00,2039.00,585.00,309.00,207.00,246.00,206.00,36.00,APPROVED
MA: WORCESTER,01/03/2025 02:16:00,90.00,3464.00,2023.00,579.00,312.00,209.00,247.00,205.00,35.00,APPROVED
MA: WORCESTER,01/03/2025 03:16:00,91.00,3466.00,2017.00,578.00,307.00,210.00,245.00,208.00,35.00,APPROVED
MA: WORCESTER,01/03/2025 04:16:00,85.00,3470.00,2022.00,580.00,313.00,207.00,241.00,208.00,36.00,APPROVED
MA: WORCESTER,01/03/2025 05:16:00,90.00,3460.00,2014.00,581.00,310.00,208.00,245.00,206.00,35.00,APPROVED
MA: WORCESTER,01/03/2025 06:17:00,91.00,3460.00,2008.00,580.00,305.00,210.00,245.00,204.00,36.00,APPROVED
MA: WORCESTER,01/03/2025 07:17:00,93.00,3458.00,2028.00,582.00,309.00,210.00,243.00,205.00,36.00,APPROVED
MA: WORCESTER,01/03/2025 08:17:00,92.00,3457.00,2011.00,583.00,309.00,206.00,243.00,205.00,35.00,APPROVED
MA: WORCESTER,01/03/2025 09:17:00,90.00,3460.00,2017.00,581.00,307.00,211.00,247.00,203.00,35.00,APPROVED
MA: WORCESTER,01/03/2025 10:17:00,90.00,3462.00,2011.00,583.00,310.00,210.00,245.00,201.00,34.00,APPROVED
MA: WORCESTER,01/03/2025 11:17:00,89.00,3421.00,1989.00,578.00,302.00,208.00,246.00,204.00,35.00,APPROVED
