LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MD: BALTIMORE,01/01/2024 00:00:00,,1012.00,558.00,171.00,95.00,58.00,71.00,46.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 01:01:00,,1010.00,555.00,174.00,95.00,56.00,68.00,47.00,21.00,APPROVED
MD: BALTIMORE,01/01/2024 02:01:00,,1017.00,563.00,177.00,94.00,57.00,69.00,48.00,20.00,APPROVED
MD: BALTIMORE,01/01/2024 03:01:00,,1019.00,565.00,173.00,95.00,56.00,71.00,47.00,21.00,APPROVED
MD: BALTIMORE,01/01/2024 04:01:00,,1056.00,589.00,183.00,99.00,59.00,74.00,48.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 05:01:00,,1072.00,611.00,188.00,106.00,60.00,75.00,48.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 06:02:00,,1041.00,589.00,181.00,101.00,61.00,74.00,48.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 07:02:00,,1048.00,588.00,181.00,98.00,57.00,76.00,47.00,23.00,APPROVED
MD: BALTIMORE,01/01/2024 08:02:00,,1037.00,593.00,181.00,102.00,60.00,74.00,47.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 09:02:00,,1057.00,609.00,191.00,105.00,63.00,79.00,49.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 10:02:00,,1066.00,628.00,189.00,109.00,63.00,79.00,52.00,23.00,APPROVED
MD: BALTIMORE,01/01/2024 11:03:00,,1069.00,626.00,191.00,107.00,63.00,79.00,52.00,23.00,APPROVED
MD: BALTIMORE,01/01/2024 12:03:00,,1108.00,648.00,200.00,112.00,67.00,83.00,52.00,23.00,APPROVED
MD: BALTIMORE,01/01/2024 13:03:00,,1119.00,669.00,205.00,120.00,65.00,85.00,54.00,24.00,APPROVED
MD: BALTIMORE,01/01/2024 14:03:00,,1130.00,688.00,207.00,122.00,67.00,88.00,56.00,24.00,APPROVED
MD: BALTIMORE,01/01/2024 15:03:00,,1109.00,661.00,204.00,119.00,68.00,86.00,54.00,24.00,APPROVED
MD: BALTIMORE,01/01/2024 16:04:00,,1098.00,653.00,197.00,114.00,65.00,82.00,51.00,24.00,APPROVED
MD: BALTIMORE,01/01/2024 17:04:00,,1129.00,672.00,204.00,118.00,65.00,85.00,52.00,22.00,APPROVED
MD: BALTIMORE,01/01/2024 18:04:00,,1152.00,697.00,211.00,122.00,67.00,87.00,55.00,25.00,APPROVED
MD: BALTIMORE,01/01/2024 19:04:00,,1218.00,762.00,227.00,133.00,73.00,94.00,59.00,25.00,APPROVED
MD: BALTIMORE,01/01/2024 20:04:00,,1293.00,806.00,247.00,146.00,79.00,102.00,62.00,27.00,APPROVED
MD: BALTIMORE,01/01/2024 21:05:00,,1399.00,887.00,268.00,165.00,85.00,112.00,65.00,28.00,APPROVED
MD: BALTIMORE,01/01/2024 22:05:00,,1405.00,902.00,272.00,168.00,84.00,116.00,68.00,29.00,APPROVED
MD: BALTIMORE,01/01/2024 23:05:00,,1304.00,822.00,253.00,151.00,78.00,104.00,63.00,27.00,APPROVED
MD: BALTIMORE,01/02/2024 00:05:00,,1233.00,759.00,235.00,138.00,75.00,98.00,59.00,26.00,APPROVED
MD: BALTIMORE,01/02/2024 01:05:00,,1203.00,738.00,224.00,135.00,72.00,95.00,60.00,25.00,APPROVED
