LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
ME: ORONO,01/01/2016 00:41:00,,2100.00,1233.00,337.00,168.00,108.00,120.00,71.00,27.00,APPROVED
ME: ORONO,01/01/2016 01:41:00,,2099.00,1234.00,339.00,168.00,107.00,117.00,69.00,28.00,APPROVED
ME: ORONO,01/01/2016 02:42:00,,2094.00,1238.00,336.00,166.00,104.00,120.00,70.00,25.00,APPROVED
ME: ORONO,01/01/2016 03:42:00,,2103.00,1230.00,337.00,166.00,106.00,115.00,68.00,27.00,APPROVED
ME: ORONO,01/01/2016 04:42:00,,2106.00,1231.00,335.00,163.00,102.00,116.00,69.00,28.00,APPROVED
ME: ORONO,01/01/2016 05:42:00,,2096.00,1220.00,334.00,159.00,101.00,114.00,67.00,27.00,APPROVED
ME: ORONO,01/01/2016 06:42:00,,2075.00,1208.00,328.00,159.00,104.00,114.00,66.00,27.00,APPROVED
ME: ORONO,01/01/2016 07:43:00,,2088.00,1197.00,329.00,157.00,102.00,112.00,66.00,26.00,APPROVED
ME: ORONO,01/01/2016 08:43:00,,2078.00,1195.00,326.00,160.00,102.00,112.00,66.00,26.00,APPROVED
ME: ORONO,01/01/2016 09:43:00,,2074.00,1200.00,330.00,158.00,103.00,113.00,64.00,26.00,APPROVED
ME: ORONO,01/01/2016 10:43:00,,2092.00,1211.00,331.00,159.00,102.00,115.00,65.00,26.00,APPROVED
ME: ORONO,01/01/2016 11:43:00,,2095.00,1204.00,330.00,157.00,101.00,114.00,65.00,26.00,APPROVED
ME: ORONO,01/01/2016 12:44:00,,2100.00,1208.00,330.00,156.00,101.00,116.00,65.00,26.00,APPROVED
ME: ORONO,01/01/2016 13:44:00,,2084.00,1213.00,326.00,158.00,102.00,114.00,63.00,26.00,APPROVED
ME: ORONO,01/01/2016 14:44:00,,2069.00,1197.00,331.00,157.00,102.00,114.00,66.00,26.00,APPROVED
ME: ORONO,01/01/2016 15:44:00,,2047.00,1188.00,325.00,155.00,100.00,112.00,67.00,26.00,APPROVED
ME: ORONO,01/01/2016 16:45:00,,2041.00,1184.00,322.00,153.00,101.00,110.00,66.00,24.00,APPROVED
ME: ORONO,01/01/2016 17:45:00,,2027.00,1185.00,324.00,157.00,103.00,111.00,67.00,26.00,APPROVED
ME: ORONO,01/01/2016 18:45:00,,2051.00,1183.00,332.00,158.00,102.00,110.00,66.00,27.00,APPROVED
ME: ORONO,01/01/2016 19:45:00,,2053.00,1195.00,330.00,159.00,103.00,112.00,67.00,26.00,APPROVED
ME: ORONO,01/01/2016 20:45:00,,2062.00,1201.00,335.00,160.00,104.00,111.00,69.00,26.00,APPROVED
ME: ORONO,01/01/2016 21:46:00,,2094.00,1212.00,331.00,160.00,102.00,115.00,66.00,27.00,APPROVED
ME: ORONO,01/01/2016 22:46:00,,2095.00,1201.00,327.00,160.00,103.00,116.00,67.00,26.00,APPROVED
ME: ORONO,01/01/2016 23:46:00,,2097.00,1217.00,330.00,159.00,102.00,114.00,65.00,27.00,APPROVED
ME: ORONO,01/02/2016 00:46:00,,2112.00,1204.00,329.00,154.00,101.00,114.00,63.00,26.00,APPROVED
ME: ORONO,01/04/2016 18:44:00,,2147.00,1212.00,328.00,154.00,101.00,114.00,56.00,25.00,APPROVED
ME: ORONO,01/04/2016 19:45:00,,2140.00,1217.00,331.00,152.00,103.00,117.00,57.00,26.00,APPROVED
ME: ORONO,01/04/2016 20:45:00,,2134.00,1208.00,329.00,153.00,100.00,119.00,57.00,26.00,APPROVED
ME: ORONO,01/04/2016 21:45:00,,2145.00,1225.00,333.00,155.00,103.00,119.00,61.00,26.00,APPROVED
ME: ORONO,01/04/2016 22:45:00,,2156.00,1237.00,339.00,157.00,103.00,115.00,63.00,26.00,APPROVED
ME: ORONO,01/04/2016 23:45:00,,2157.00,1243.00,339.00,160.00,105.00,118.00,64.00,25.00,APPROVED
ME: ORONO,01/05/2016 00:46:00,,2140.00,1235.00,339.00,162.00,104.00,117.00,64.00,26.00,APPROVED
ME: ORONO,01/05/2016 01:46:00,,2149.00,1239.00,339.00,159.00,105.00,117.00,66.00,26.00,APPROVED
ME: ORONO,01/05/2016 02:46:00,,2154.00,1247.00,337.00,163.00,102.00,116.00,66.00,27.00,APPROVED
ME: ORONO,01/05/2016 03:46:00,,2155.00,1250.00,340.00,162.00,103.00,116.00,64.00,26.00,APPROVED
ME: ORONO,01/05/2016 04:47:00,,2158.00,1257.00,343.00,161.00,104.00,116.00,66.00,26.00,APPROVED
ME: ORONO,01/05/2016 05:47:00,,2161.00,1259.00,341.00,163.00,104.00,116.00,67.00,26.00,APPROVED
ME: ORONO,01/05/2016 06:47:00,,2156.00,1258.00,336.00,165.00,105.00,116.00,67.00,26.00,APPROVED
ME: ORONO,01/05/2016 07:47:00,,2146.00,1246.00,340.00,160.00,104.00,114.00,64.00,26.00,APPROVED
ME: ORONO,01/05/2016 08:47:00,,2141.00,1247.00,339.00,162.00,104.00,118.00,67.00,26.00,APPROVED
ME: ORONO,01/05/2016 09:48:00,,2154.00,1249.00,335.00,164.00,104.00,116.00,66.00,26.00,APPROVED
ME: ORONO,01/05/2016 10:48:00,,2159.00,1254.00,339.00,162.00,103.00,113.00,67.00,26.00,APPROVED
ME: ORONO,01/05/2016 11:48:00,,2144.00,1241.00,337.00,161.00,103.00,114.00,68.00,25.00,APPROVED
ME: ORONO,01/05/2016 12:48:00,,2139.00,1233.00,334.00,158.00,105.00,115.00,67.00,26.00,APPROVED
ME: ORONO,01/05/2016 13:48:00,,2140.00,1242.00,335.00,162.00,102.00,111.00,67.00,27.00,APPROVED
ME: ORONO,01/05/2016 14:49:00,,2128.00,1236.00,339.00,159.00,102.00,116.00,64.00,26.00,APPROVED
ME: ORONO,01/05/2016 15:49:00,,2135.00,1218.00,334.00,152.00,101.00,117.00,59.00,26.00,APPROVED
ME: ORONO,01/05/2016 16:49:00,,2136.00,1195.00,335.00,155.00,102.00,122.00,55.00,25.00,APPROVED
ME: ORONO,01/05/2016 17:49:00,,2099.00,1193.00,332.00,156.00,102.00,117.00,56.00,27.00,APPROVED
ME: ORONO,01/05/2016 18:50:00,,2080.00,1197.00,328.00,155.00,102.00,118.00,59.00,26.00,APPROVED
ME: ORONO,01/05/2016 19:50:00,,2073.00,1188.00,328.00,152.00,101.00,117.00,57.00,25.00,APPROVED
ME: ORONO,01/05/2016 20:50:00,,2094.00,1184.00,327.00,153.00,101.00,117.00,57.00,25.00,APPROVED
ME: ORONO,01/05/2016 21:50:00,,2119.00,1195.00,327.00,152.00,100.00,116.00,54.00,25.00,APPROVED
ME: ORONO,01/05/2016 22:50:00,,2143.00,1207.00,333.00,151.00,102.00,114.00,59.00,27.00,APPROVED
ME: ORONO,01/05/2016 23:51:00,,2139.00,1220.00,332.00,154.00,101.00,115.00,58.00,26.00,APPROVED
ME: ORONO,01/06/2016 00:51:00,,2154.00,1221.00,333.00,155.00,99.00,117.00,61.00,27.00,APPROVED
ME: ORONO,01/06/2016 01:51:00,,2160.00,1227.00,337.00,157.00,101.00,114.00,60.00,27.00,APPROVED
ME: ORONO,01/06/2016 02:51:00,,2165.00,1240.00,338.00,155.00,102.00,117.00,60.00,28.00,APPROVED
ME: ORONO,01/06/2016 03:51:00,,2174.00,1249.00,338.00,157.00,103.00,115.00,62.00,26.00,APPROVED
ME: ORONO,01/06/2016 04:52:00,,2190.00,1250.00,339.00,160.00,104.00,119.00,62.00,26.00,APPROVED
ME: ORONO,01/06/2016 05:52:00,,2193.00,1260.00,341.00,162.00,104.00,118.00,64.00,26.00,APPROVED
ME: ORONO,01/06/2016 06:52:00,,2187.00,1263.00,342.00,164.00,105.00,121.00,62.00,27.00,APPROVED
ME: ORONO,01/06/2016 07:52:00,,2193.00,1273.00,344.00,162.00,104.00,121.00,64.00,27.00,APPROVED
ME: ORONO,01/06/2016 08:53:00,,2192.00,1264.00,344.00,164.00,107.00,121.00,65.00,26.00,APPROVED
ME: ORONO,01/06/2016 09:53:00,,2203.00,1295.00,348.00,166.00,104.00,120.00,64.00,26.00,APPROVED
ME: ORONO,01/06/2016 10:53:00,,2212.00,1288.00,348.00,168.00,108.00,121.00,68.00,28.00,APPROVED
ME: ORONO,01/06/2016 11:53:00,,2227.00,1308.00,352.00,168.00,104.00,123.00,68.00,28.00,APPROVED
