LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
ME: PORTLAND,01/20/2012 17:30:00,,3304.00,1967.00,597.00,277.00,150.00,146.00,85.00,35.00,APPROVED
ME: PORTLAND,01/20/2012 18:30:00,,3286.00,1989.00,601.00,279.00,148.00,151.00,88.00,36.00,APPROVED
ME: PORTLAND,01/20/2012 19:31:00,,3276.00,1966.00,596.00,278.00,145.00,150.00,85.00,35.00,APPROVED
ME: PORTLAND,01/20/2012 20:31:00,,3273.00,1969.00,600.00,276.00,149.00,151.00,84.00,36.00,APPROVED
ME: PORTLAND,01/20/2012 21:31:00,,3252.00,1945.00,589.00,268.00,146.00,148.00,83.00,35.00,APPROVED
ME: PORTLAND,01/20/2012 22:31:00,,3209.00,1916.00,587.00,271.00,144.00,150.00,77.00,34.00,APPROVED
ME: PORTLAND,01/20/2012 23:31:00,,3194.00,1899.00,586.00,262.00,143.00,148.00,79.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 00:32:00,,3180.00,1880.00,580.00,258.00,145.00,150.00,74.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 01:32:00,,3144.00,1859.00,579.00,256.00,139.00,147.00,69.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 02:32:00,,3151.00,1839.00,577.00,257.00,139.00,151.00,64.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 03:32:00,,3149.00,1832.00,569.00,254.00,142.00,152.00,63.00,33.00,APPROVED
ME: PORTLAND,01/21/2012 04:32:00,,3139.00,1836.00,572.00,253.00,139.00,148.00,65.00,35.00,APPROVED
ME: PORTLAND,01/21/2012 05:33:00,,3133.00,1818.00,570.00,249.00,137.00,149.00,64.00,33.00,APPROVED
ME: PORTLAND,01/21/2012 06:33:00,,3154.00,1816.00,565.00,249.00,140.00,152.00,62.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 07:33:00,,3232.00,1800.00,564.00,250.00,141.00,149.00,57.00,33.00,APPROVED
ME: PORTLAND,01/21/2012 08:33:00,,3229.00,1805.00,566.00,250.00,139.00,147.00,60.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 09:33:00,,3260.00,1806.00,569.00,248.00,138.00,146.00,62.00,33.00,APPROVED
ME: PORTLAND,01/21/2012 10:34:00,,3274.00,1812.00,566.00,249.00,139.00,150.00,61.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 11:34:00,,3295.00,1812.00,570.00,255.00,138.00,151.00,64.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 12:34:00,,3358.00,1801.00,569.00,252.00,137.00,151.00,60.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 13:34:00,,3417.00,1822.00,571.00,247.00,140.00,147.00,62.00,32.00,APPROVED
ME: PORTLAND,01/21/2012 14:34:00,,3520.00,1860.00,584.00,258.00,142.00,157.00,65.00,35.00,APPROVED
ME: PORTLAND,01/21/2012 15:35:00,,3632.00,1919.00,604.00,266.00,148.00,163.00,67.00,35.00,APPROVED
ME: PORTLAND,01/21/2012 16:35:00,,3571.00,1922.00,604.00,269.00,149.00,163.00,67.00,36.00,APPROVED
ME: PORTLAND,01/21/2012 17:35:00,,3486.00,1919.00,601.00,266.00,144.00,159.00,68.00,35.00,APPROVED
ME: PORTLAND,01/21/2012 18:35:00,,3357.00,1900.00,597.00,267.00,145.00,153.00,73.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 19:35:00,,3256.00,1872.00,580.00,262.00,142.00,147.00,72.00,34.00,APPROVED
ME: PORTLAND,01/21/2012 20:36:00,,3238.00,1851.00,579.00,255.00,140.00,146.00,69.00,32.00,APPROVED
ME: PORTLAND,01/21/2012 21:36:00,,3205.00,1840.00,568.00,252.00,139.00,148.00,68.00,32.00,APPROVED
ME: PORTLAND,01/21/2012 22:36:00,,3217.00,1821.00,567.00,249.00,139.00,147.00,66.00,33.00,APPROVED
ME: PORTLAND,01/21/2012 23:36:00,,3228.00,1809.00,567.00,252.00,138.00,145.00,64.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 00:36:00,,3265.00,1793.00,559.00,247.00,138.00,145.00,61.00,35.00,APPROVED
ME: PORTLAND,01/22/2012 01:37:00,,3336.00,1786.00,562.00,245.00,138.00,149.00,60.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 02:37:00,,3403.00,1788.00,567.00,243.00,137.00,144.00,61.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 03:37:00,,3470.00,1770.00,564.00,245.00,140.00,149.00,58.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 04:37:00,,3588.00,1762.00,558.00,244.00,134.00,149.00,58.00,35.00,APPROVED
ME: PORTLAND,01/22/2012 05:37:00,,3804.00,1758.00,564.00,244.00,138.00,147.00,57.00,32.00,APPROVED
ME: PORTLAND,01/22/2012 06:38:00,,3998.00,1771.00,554.00,247.00,139.00,147.00,59.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 07:38:00,,4556.00,1762.00,562.00,242.00,135.00,148.00,57.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 08:38:00,,7007.00,1752.00,562.00,239.00,135.00,150.00,53.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 15:39:00,,3269.00,1891.00,588.00,268.00,143.00,149.00,73.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 16:40:00,,3215.00,1898.00,583.00,264.00,145.00,148.00,77.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 17:40:00,,3215.00,1899.00,581.00,263.00,145.00,144.00,77.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 18:40:00,,3206.00,1891.00,572.00,260.00,145.00,142.00,78.00,33.00,APPROVED
ME: PORTLAND,01/22/2012 19:40:00,,3208.00,1889.00,578.00,258.00,143.00,142.00,78.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 20:40:00,,3202.00,1893.00,581.00,260.00,145.00,142.00,78.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 21:41:00,,3190.00,1874.00,573.00,257.00,142.00,140.00,76.00,35.00,APPROVED
ME: PORTLAND,01/22/2012 22:41:00,,3179.00,1864.00,571.00,255.00,141.00,141.00,75.00,34.00,APPROVED
ME: PORTLAND,01/22/2012 23:41:00,,3145.00,1850.00,567.00,250.00,139.00,142.00,69.00,34.00,APPROVED
ME: PORTLAND,01/23/2012 00:41:00,,3130.00,1819.00,564.00,250.00,136.00,141.00,69.00,33.00,APPROVED
ME: PORTLAND,01/23/2012 01:41:00,,3124.00,1819.00,571.00,251.00,137.00,149.00,64.00,32.00,APPROVED
ME: PORTLAND,01/23/2012 02:41:00,,3145.00,1835.00,570.00,252.00,137.00,142.00,70.00,34.00,APPROVED
