LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MI: DETROIT,01/01/2009 00:12:00,,2535.00,1092.00,311.00,152.00,114.00,113.00,74.00,35.00,APPROVED
MI: DETROIT,01/01/2009 01:12:00,,2532.00,1084.00,315.00,152.00,113.00,113.00,76.00,33.00,APPROVED
MI: DETROIT,01/01/2009 02:12:00,,2534.00,1095.00,312.00,153.00,111.00,114.00,75.00,34.00,APPROVED
MI: DETROIT,01/01/2009 03:12:00,,2534.00,1096.00,316.00,156.00,114.00,113.00,75.00,35.00,APPROVED
MI: DETROIT,01/01/2009 04:13:00,,2536.00,1092.00,311.00,155.00,114.00,115.00,75.00,34.00,APPROVED
MI: DETROIT,01/01/2009 05:13:00,,2530.00,1097.00,311.00,155.00,112.00,113.00,76.00,35.00,APPROVED
MI: DETROIT,01/01/2009 06:13:00,,2533.00,1094.00,314.00,153.00,115.00,115.00,75.00,34.00,APPROVED
MI: DETROIT,01/01/2009 07:13:00,,2533.00,1102.00,315.00,157.00,112.00,115.00,75.00,35.00,APPROVED
MI: DETROIT,01/01/2009 08:13:00,,2539.00,1109.00,318.00,156.00,113.00,113.00,76.00,34.00,APPROVED
MI: DETROIT,01/01/2009 09:14:00,,2548.00,1108.00,318.00,156.00,115.00,117.00,75.00,35.00,APPROVED
MI: DETROIT,01/01/2009 10:14:00,,2533.00,1115.00,317.00,158.00,115.00,116.00,76.00,34.00,APPROVED
MI: DETROIT,01/01/2009 11:14:00,,2556.00,1126.00,323.00,164.00,117.00,118.00,75.00,35.00,APPROVED
MI: DETROIT,01/01/2009 12:14:00,,2549.00,1114.00,319.00,162.00,117.00,118.00,78.00,35.00,APPROVED
MI: DETROIT,01/01/2009 13:14:00,,2548.00,1116.00,318.00,160.00,116.00,118.00,77.00,37.00,APPROVED
MI: DETROIT,01/01/2009 14:14:00,,2584.00,1126.00,320.00,163.00,116.00,118.00,76.00,36.00,APPROVED
MI: DETROIT,01/01/2009 15:15:00,,2561.00,1113.00,319.00,154.00,115.00,117.00,78.00,34.00,APPROVED
MI: DETROIT,01/01/2009 16:15:00,,2560.00,1104.00,317.00,155.00,113.00,116.00,76.00,37.00,APPROVED
MI: DETROIT,01/01/2009 17:15:00,,2557.00,1107.00,315.00,157.00,115.00,117.00,76.00,34.00,APPROVED
MI: DETROIT,01/01/2009 18:15:00,,2613.00,1143.00,322.00,162.00,116.00,118.00,76.00,34.00,APPROVED
MI: DETROIT,01/01/2009 19:15:00,,2620.00,1143.00,326.00,165.00,115.00,120.00,76.00,37.00,APPROVED
MI: DETROIT,01/01/2009 20:16:00,,2633.00,1153.00,326.00,169.00,119.00,122.00,78.00,36.00,APPROVED
MI: DETROIT,01/01/2009 21:16:00,,2616.00,1161.00,327.00,167.00,121.00,121.00,77.00,37.00,APPROVED
MI: DETROIT,01/01/2009 22:16:00,,2626.00,1159.00,327.00,169.00,121.00,122.00,79.00,36.00,APPROVED
MI: DETROIT,01/01/2009 23:16:00,,2624.00,1162.00,323.00,166.00,119.00,121.00,79.00,37.00,APPROVED
MI: DETROIT,01/02/2009 00:16:00,,2616.00,1150.00,321.00,167.00,118.00,121.00,77.00,37.00,APPROVED
