LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MI: GRAND RAPIDS,01/01/2013 14:58:00,,2077.00,1189.00,329.00,155.00,98.00,124.00,51.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 15:58:00,,2054.00,1183.00,327.00,154.00,96.00,125.00,48.00,30.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 16:59:00,,2048.00,1173.00,319.00,151.00,95.00,122.00,49.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 17:59:00,,2023.00,1155.00,321.00,152.00,94.00,125.00,50.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 18:59:00,,2011.00,1159.00,317.00,151.00,94.00,124.00,51.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 19:59:00,,2008.00,1142.00,315.00,148.00,92.00,122.00,51.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 21:00:00,,2006.00,1143.00,315.00,151.00,93.00,122.00,48.00,28.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 22:00:00,,2028.00,1147.00,316.00,146.00,92.00,119.00,47.00,29.00,APPROVED
MI: GRAND RAPIDS,01/01/2013 23:00:00,,2023.00,1152.00,317.00,149.00,93.00,121.00,48.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 00:00:00,,2037.00,1148.00,313.00,146.00,95.00,119.00,45.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 01:01:00,,2035.00,1146.00,310.00,148.00,94.00,119.00,47.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 02:01:00,,2034.00,1142.00,312.00,143.00,92.00,120.00,46.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 03:01:00,,2038.00,1137.00,312.00,143.00,93.00,115.00,47.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 04:01:00,,2041.00,1138.00,313.00,147.00,90.00,116.00,47.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 05:02:00,,2041.00,1141.00,310.00,146.00,92.00,120.00,46.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 06:02:00,,2061.00,1152.00,313.00,149.00,94.00,119.00,47.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 07:02:00,,2064.00,1158.00,315.00,147.00,93.00,120.00,48.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 08:02:00,,2064.00,1160.00,319.00,149.00,93.00,120.00,49.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 09:03:00,,2061.00,1172.00,322.00,150.00,94.00,121.00,46.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 10:03:00,,2066.00,1172.00,320.00,148.00,97.00,122.00,48.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 11:03:00,,2077.00,1182.00,325.00,151.00,96.00,124.00,48.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 12:03:00,,2103.00,1194.00,327.00,154.00,97.00,125.00,50.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 13:04:00,,2140.00,1225.00,341.00,160.00,100.00,130.00,50.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 14:04:00,,2133.00,1236.00,337.00,164.00,98.00,131.00,53.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 15:04:00,,2129.00,1241.00,341.00,165.00,100.00,133.00,53.00,28.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 16:04:00,,2139.00,1254.00,344.00,162.00,100.00,133.00,53.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 17:05:00,,2128.00,1243.00,341.00,167.00,101.00,133.00,53.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 18:05:00,,2113.00,1234.00,335.00,164.00,100.00,130.00,54.00,31.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 19:05:00,,2117.00,1247.00,345.00,165.00,102.00,134.00,54.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 20:05:00,,2105.00,1244.00,341.00,166.00,101.00,132.00,55.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 21:06:00,,2084.00,1220.00,336.00,163.00,101.00,131.00,54.00,30.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 22:06:00,,2077.00,1214.00,335.00,162.00,99.00,127.00,53.00,29.00,APPROVED
MI: GRAND RAPIDS,01/02/2013 23:06:00,,2083.00,1219.00,337.00,165.00,99.00,128.00,54.00,29.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 00:06:00,,2079.00,1220.00,335.00,166.00,99.00,128.00,55.00,29.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 01:07:00,,2109.00,1224.00,336.00,166.00,97.00,129.00,54.00,31.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 02:07:00,,2106.00,1232.00,337.00,159.00,105.00,127.00,55.00,30.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 03:07:00,,2110.00,1235.00,339.00,163.00,99.00,128.00,54.00,28.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 04:07:00,,2128.00,1228.00,338.00,161.00,100.00,133.00,52.00,32.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 05:08:00,,2144.00,1230.00,340.00,159.00,99.00,129.00,52.00,29.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 06:08:00,,2176.00,1265.00,343.00,165.00,101.00,130.00,54.00,30.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 07:08:00,,2193.00,1265.00,352.00,166.00,100.00,133.00,54.00,29.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 08:08:00,,2193.00,1268.00,348.00,168.00,102.00,133.00,52.00,29.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 09:09:00,,2202.00,1291.00,351.00,168.00,101.00,134.00,53.00,31.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 10:09:00,,2215.00,1295.00,356.00,169.00,103.00,137.00,53.00,31.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 11:09:00,,2228.00,1308.00,361.00,170.00,103.00,139.00,55.00,30.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 12:09:00,,2251.00,1324.00,367.00,175.00,106.00,140.00,58.00,33.00,APPROVED
MI: GRAND RAPIDS,01/03/2013 13:10:00,,2270.00,1331.00,372.00,176.00,108.00,142.00,57.00,30.00,APPROVED
