LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MN: ST. PAUL,09/21/2006 23:21:00,,3018.00,432.00,167.00,216.00,236.00,175.00,26.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 00:22:00,,3035.00,430.00,167.00,215.00,234.00,173.00,25.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 01:22:00,,3120.00,448.00,174.00,225.00,240.00,178.00,25.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 02:22:00,,3208.00,466.00,176.00,234.00,246.00,183.00,26.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 03:22:00,,3271.00,467.00,181.00,237.00,248.00,185.00,26.00,42.00,APPROVED
MN: ST. PAUL,09/22/2006 04:22:00,,3243.00,466.00,181.00,238.00,252.00,183.00,26.00,42.00,APPROVED
MN: ST. PAUL,09/22/2006 05:23:00,,3329.00,487.00,183.00,247.00,257.00,189.00,27.00,42.00,APPROVED
MN: ST. PAUL,09/22/2006 06:23:00,,3251.00,477.00,182.00,237.00,249.00,186.00,27.00,42.00,APPROVED
MN: ST. PAUL,09/22/2006 07:23:00,,3012.00,428.00,167.00,221.00,238.00,175.00,26.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 08:23:00,,2896.00,412.00,164.00,207.00,229.00,169.00,25.00,38.00,APPROVED
MN: ST. PAUL,09/22/2006 09:23:00,,2863.00,406.00,160.00,202.00,224.00,166.00,25.00,37.00,APPROVED
MN: ST. PAUL,09/22/2006 10:24:00,,3133.00,451.00,173.00,226.00,240.00,177.00,26.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 11:24:00,,3342.00,486.00,186.00,248.00,262.00,191.00,27.00,43.00,APPROVED
MN: ST. PAUL,09/22/2006 12:24:00,,3447.00,502.00,190.00,256.00,266.00,200.00,28.00,43.00,APPROVED
MN: ST. PAUL,09/22/2006 13:24:00,,3609.00,529.00,200.00,272.00,276.00,205.00,28.00,48.00,APPROVED
MN: ST. PAUL,09/22/2006 14:24:00,,3203.00,463.00,180.00,238.00,247.00,182.00,25.00,41.00,APPROVED
MN: ST. PAUL,09/22/2006 15:25:00,,3028.00,434.00,172.00,221.00,236.00,173.00,25.00,39.00,APPROVED
MN: ST. PAUL,09/22/2006 16:25:00,,3028.00,441.00,171.00,225.00,240.00,178.00,25.00,40.00,APPROVED
MN: ST. PAUL,09/22/2006 17:25:00,,3028.00,451.00,170.00,228.00,243.00,183.00,26.00,42.00,APPROVED
MN: ST. PAUL,09/22/2006 18:25:00,,3229.00,495.00,181.00,258.00,260.00,196.00,27.00,45.00,APPROVED
MN: ST. PAUL,09/25/2006 14:38:00,,2909.00,427.00,167.00,218.00,232.00,176.00,24.00,38.00,APPROVED
