LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MO: SPRINGFIELD,01/01/2025 00:25:00,,1493.00,901.00,273.00,150.00,96.00,138.00,78.00,39.00,APPROVED
MO: SPRINGFIELD,01/01/2025 01:25:00,,1453.00,860.00,259.00,138.00,93.00,137.00,73.00,38.00,APPROVED
MO: SPRINGFIELD,01/01/2025 02:25:00,,1415.00,822.00,251.00,136.00,91.00,132.00,71.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 03:26:00,,1388.00,799.00,244.00,130.00,87.00,129.00,69.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 04:26:00,,1395.00,805.00,246.00,132.00,87.00,126.00,70.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 05:26:00,,1403.00,798.00,245.00,130.00,88.00,131.00,66.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 06:26:00,,1391.00,795.00,247.00,131.00,89.00,131.00,66.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 07:26:00,,1406.00,814.00,248.00,132.00,92.00,133.00,67.00,38.00,APPROVED
MO: SPRINGFIELD,01/01/2025 08:27:00,,1406.00,804.00,250.00,132.00,91.00,133.00,68.00,38.00,APPROVED
MO: SPRINGFIELD,01/01/2025 09:27:00,,1394.00,811.00,247.00,134.00,87.00,135.00,69.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 10:27:00,,1403.00,818.00,253.00,134.00,91.00,133.00,69.00,38.00,APPROVED
MO: SPRINGFIELD,01/01/2025 11:27:00,,1414.00,824.00,259.00,133.00,91.00,136.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 12:27:00,,1417.00,835.00,259.00,140.00,90.00,136.00,71.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 13:28:00,,1394.00,834.00,255.00,138.00,90.00,135.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 14:28:00,,1398.00,814.00,251.00,133.00,90.00,136.00,69.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 15:28:00,,1391.00,811.00,253.00,134.00,89.00,133.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 16:28:00,,1367.00,781.00,242.00,129.00,90.00,129.00,67.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 17:28:00,,1333.00,765.00,238.00,126.00,86.00,126.00,67.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 18:29:00,,1329.00,754.00,230.00,125.00,84.00,122.00,68.00,37.00,APPROVED
MO: SPRINGFIELD,01/01/2025 19:29:00,,1317.00,748.00,231.00,123.00,84.00,120.00,67.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 20:29:00,,1308.00,748.00,230.00,125.00,84.00,123.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 21:29:00,,1303.00,742.00,226.00,126.00,86.00,122.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/01/2025 22:29:00,,1317.00,753.00,232.00,125.00,85.00,121.00,69.00,38.00,APPROVED
MO: SPRINGFIELD,01/01/2025 23:30:00,,1323.00,755.00,230.00,129.00,85.00,123.00,68.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 00:30:00,,1344.00,758.00,231.00,124.00,87.00,123.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 01:30:00,,1341.00,757.00,229.00,127.00,84.00,121.00,67.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 02:30:00,,1346.00,761.00,227.00,124.00,82.00,120.00,68.00,35.00,APPROVED
MO: SPRINGFIELD,01/02/2025 03:30:00,,1369.00,775.00,236.00,127.00,87.00,125.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/02/2025 04:31:00,,1396.00,804.00,245.00,130.00,89.00,127.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 05:31:00,,1392.00,815.00,244.00,132.00,87.00,128.00,71.00,36.00,APPROVED
MO: SPRINGFIELD,01/02/2025 06:31:00,,1389.00,806.00,245.00,131.00,89.00,131.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 07:31:00,,1384.00,798.00,243.00,133.00,88.00,127.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 08:31:00,,1359.00,782.00,239.00,131.00,86.00,127.00,69.00,36.00,APPROVED
MO: SPRINGFIELD,01/02/2025 09:32:00,,1380.00,787.00,236.00,130.00,87.00,124.00,68.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 10:32:00,,1390.00,804.00,244.00,132.00,87.00,126.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/02/2025 11:32:00,,1395.00,799.00,243.00,130.00,87.00,126.00,70.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 12:32:00,,1406.00,821.00,250.00,136.00,89.00,131.00,72.00,38.00,APPROVED
MO: SPRINGFIELD,01/02/2025 13:32:00,,1404.00,828.00,248.00,136.00,93.00,131.00,73.00,39.00,APPROVED
MO: SPRINGFIELD,01/02/2025 14:32:00,,1428.00,838.00,255.00,137.00,92.00,131.00,70.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 15:33:00,,1428.00,844.00,258.00,141.00,92.00,134.00,72.00,38.00,APPROVED
MO: SPRINGFIELD,01/02/2025 16:33:00,,1439.00,844.00,260.00,142.00,93.00,133.00,72.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 17:33:00,,1425.00,841.00,257.00,142.00,94.00,134.00,74.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 18:33:00,,1410.00,822.00,252.00,137.00,89.00,131.00,73.00,38.00,APPROVED
MO: SPRINGFIELD,01/02/2025 19:33:00,,1359.00,793.00,243.00,136.00,89.00,129.00,71.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 20:34:00,,1330.00,769.00,234.00,130.00,87.00,126.00,73.00,38.00,APPROVED
MO: SPRINGFIELD,01/02/2025 21:34:00,,1333.00,760.00,233.00,127.00,88.00,124.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/02/2025 22:34:00,,1315.00,756.00,227.00,127.00,86.00,122.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/02/2025 23:34:00,,1307.00,754.00,227.00,124.00,86.00,121.00,70.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 00:34:00,,1329.00,755.00,229.00,130.00,83.00,119.00,71.00,35.00,APPROVED
MO: SPRINGFIELD,01/03/2025 01:35:00,,1337.00,765.00,233.00,128.00,85.00,122.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/03/2025 02:35:00,,1351.00,770.00,234.00,132.00,88.00,124.00,73.00,36.00,APPROVED
MO: SPRINGFIELD,01/03/2025 03:35:00,,1361.00,781.00,234.00,131.00,87.00,122.00,71.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 04:35:00,,1374.00,786.00,235.00,131.00,89.00,127.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 05:35:00,,1395.00,805.00,241.00,135.00,88.00,127.00,71.00,38.00,APPROVED
MO: SPRINGFIELD,01/03/2025 06:36:00,,1415.00,822.00,247.00,135.00,90.00,127.00,72.00,38.00,APPROVED
MO: SPRINGFIELD,01/03/2025 07:36:00,,1439.00,836.00,253.00,137.00,91.00,132.00,73.00,36.00,APPROVED
MO: SPRINGFIELD,01/03/2025 08:36:00,,1467.00,858.00,260.00,144.00,96.00,134.00,75.00,40.00,APPROVED
MO: SPRINGFIELD,01/03/2025 09:36:00,,1501.00,891.00,266.00,147.00,96.00,139.00,72.00,39.00,APPROVED
MO: SPRINGFIELD,01/03/2025 10:36:00,,1513.00,907.00,281.00,148.00,96.00,143.00,73.00,39.00,APPROVED
MO: SPRINGFIELD,01/03/2025 11:37:00,,1507.00,911.00,278.00,150.00,97.00,144.00,74.00,38.00,APPROVED
MO: SPRINGFIELD,01/03/2025 12:37:00,,1491.00,905.00,279.00,148.00,96.00,145.00,75.00,40.00,APPROVED
MO: SPRINGFIELD,01/03/2025 13:37:00,,1456.00,859.00,269.00,140.00,94.00,141.00,70.00,39.00,APPROVED
MO: SPRINGFIELD,01/03/2025 14:37:00,,1427.00,830.00,258.00,136.00,93.00,137.00,69.00,40.00,APPROVED
MO: SPRINGFIELD,01/03/2025 15:37:00,,1418.00,820.00,253.00,134.00,90.00,135.00,67.00,36.00,APPROVED
MO: SPRINGFIELD,01/03/2025 16:38:00,,1410.00,819.00,253.00,136.00,91.00,133.00,67.00,39.00,APPROVED
MO: SPRINGFIELD,01/03/2025 17:38:00,,1384.00,795.00,250.00,133.00,89.00,129.00,69.00,38.00,APPROVED
MO: SPRINGFIELD,01/03/2025 18:38:00,,1355.00,779.00,238.00,130.00,88.00,125.00,68.00,38.00,APPROVED
MO: SPRINGFIELD,01/03/2025 19:38:00,,1329.00,764.00,236.00,128.00,87.00,123.00,68.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 20:38:00,,1307.00,756.00,234.00,128.00,85.00,124.00,71.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 21:39:00,,1295.00,747.00,233.00,129.00,86.00,121.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/03/2025 22:39:00,,1292.00,745.00,229.00,128.00,85.00,123.00,69.00,37.00,APPROVED
MO: SPRINGFIELD,01/03/2025 23:39:00,,1319.00,765.00,234.00,129.00,86.00,123.00,71.00,39.00,APPROVED
MO: SPRINGFIELD,01/04/2025 00:39:00,,1331.00,759.00,232.00,130.00,87.00,123.00,70.00,36.00,APPROVED
MO: SPRINGFIELD,01/04/2025 01:39:00,,1361.00,778.00,236.00,127.00,88.00,124.00,67.00,37.00,APPROVED
