LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MO: ST. LOUIS,01/01/2022 00:31:00,51.00,2225.00,926.00,258.00,126.00,76.00,103.00,61.00,35.00,APPROVED
MO: ST. LOUIS,01/01/2022 01:31:00,51.00,2288.00,953.00,257.00,134.00,79.00,106.00,62.00,34.00,APPROVED
MO: ST. LOUIS,01/01/2022 02:31:00,51.00,2276.00,957.00,257.00,136.00,78.00,108.00,62.00,35.00,APPROVED
MO: ST. LOUIS,01/01/2022 03:32:00,51.00,2281.00,963.00,261.00,137.00,79.00,108.00,62.00,36.00,APPROVED
MO: ST. LOUIS,01/01/2022 04:32:00,52.00,2258.00,956.00,257.00,135.00,79.00,107.00,63.00,35.00,APPROVED
MO: ST. LOUIS,01/01/2022 05:32:00,53.00,2263.00,944.00,261.00,131.00,77.00,103.00,64.00,34.00,APPROVED
MO: ST. LOUIS,01/01/2022 06:32:00,51.00,2374.00,989.00,268.00,135.00,80.00,109.00,62.00,35.00,APPROVED
MO: ST. LOUIS,01/01/2022 07:33:00,49.00,2472.00,1093.00,297.00,155.00,84.00,121.00,70.00,37.00,APPROVED
MO: ST. LOUIS,01/01/2022 08:33:00,52.00,2551.00,1170.00,330.00,172.00,93.00,134.00,75.00,39.00,APPROVED
MO: ST. LOUIS,01/01/2022 09:33:00,48.00,2562.00,1203.00,344.00,174.00,97.00,141.00,78.00,39.00,APPROVED
MO: ST. LOUIS,01/01/2022 10:33:00,52.00,2605.00,1247.00,349.00,185.00,98.00,143.00,78.00,41.00,APPROVED
MO: ST. LOUIS,01/01/2022 11:33:00,53.00,2689.00,1310.00,365.00,203.00,105.00,152.00,84.00,43.00,APPROVED
MO: ST. LOUIS,01/01/2022 12:34:00,57.00,2898.00,1496.00,408.00,231.00,113.00,170.00,94.00,45.00,APPROVED
MO: ST. LOUIS,01/01/2022 13:34:00,60.00,3039.00,1617.00,442.00,258.00,125.00,180.00,98.00,50.00,APPROVED
MO: ST. LOUIS,01/01/2022 14:34:00,59.00,3025.00,1586.00,429.00,257.00,121.00,177.00,97.00,51.00,APPROVED
MO: ST. LOUIS,01/01/2022 15:34:00,65.00,3172.00,1676.00,454.00,253.00,125.00,185.00,98.00,47.00,APPROVED
MO: ST. LOUIS,01/01/2022 16:35:00,65.00,3174.00,1661.00,449.00,251.00,125.00,184.00,100.00,50.00,APPROVED
MO: ST. LOUIS,01/01/2022 17:35:00,61.00,2995.00,1538.00,423.00,236.00,117.00,169.00,92.00,47.00,APPROVED
MO: ST. LOUIS,01/01/2022 18:35:00,58.00,2851.00,1404.00,386.00,216.00,107.00,157.00,86.00,43.00,APPROVED
MO: ST. LOUIS,01/01/2022 19:35:00,57.00,2754.00,1330.00,369.00,200.00,102.00,150.00,83.00,41.00,APPROVED
MO: ST. LOUIS,01/01/2022 20:35:00,58.00,2878.00,1454.00,396.00,219.00,111.00,164.00,89.00,43.00,APPROVED
MO: ST. LOUIS,01/01/2022 21:36:00,57.00,2718.00,1299.00,363.00,196.00,101.00,145.00,80.00,41.00,APPROVED
MO: ST. LOUIS,01/01/2022 22:36:00,70.00,3052.00,1590.00,420.00,242.00,118.00,167.00,92.00,46.00,APPROVED
MO: ST. LOUIS,01/01/2022 23:36:00,72.00,3118.00,1633.00,429.00,245.00,120.00,172.00,96.00,46.00,APPROVED
MO: ST. LOUIS,01/02/2022 00:36:00,65.00,2954.00,1478.00,401.00,220.00,111.00,158.00,89.00,44.00,APPROVED
MO: ST. LOUIS,01/02/2022 01:37:00,64.00,2957.00,1485.00,405.00,227.00,113.00,159.00,89.00,45.00,APPROVED
MO: ST. LOUIS,01/02/2022 02:37:00,57.00,2718.00,1308.00,360.00,203.00,100.00,146.00,82.00,44.00,APPROVED
MO: ST. LOUIS,01/02/2022 03:37:00,55.00,2564.00,1174.00,329.00,171.00,93.00,133.00,75.00,39.00,APPROVED
MO: ST. LOUIS,01/02/2022 04:37:00,55.00,2537.00,1147.00,312.00,171.00,89.00,125.00,74.00,41.00,APPROVED
MO: ST. LOUIS,01/02/2022 05:37:00,51.00,2443.00,1062.00,286.00,155.00,84.00,113.00,68.00,38.00,APPROVED
MO: ST. LOUIS,01/02/2022 06:38:00,54.00,2455.00,1068.00,289.00,156.00,84.00,114.00,69.00,38.00,APPROVED
MO: ST. LOUIS,01/02/2022 07:38:00,52.00,2491.00,1088.00,296.00,157.00,82.00,117.00,69.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 08:38:00,51.00,2494.00,1086.00,296.00,156.00,83.00,116.00,69.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 09:38:00,50.00,2440.00,1047.00,281.00,149.00,79.00,108.00,68.00,37.00,APPROVED
MO: ST. LOUIS,01/02/2022 10:39:00,47.00,2371.00,971.00,259.00,135.00,74.00,101.00,62.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 11:39:00,47.00,2341.00,958.00,251.00,130.00,73.00,97.00,62.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 12:39:00,47.00,2362.00,966.00,258.00,133.00,74.00,100.00,65.00,35.00,APPROVED
MO: ST. LOUIS,01/02/2022 13:39:00,45.00,2371.00,983.00,260.00,136.00,75.00,102.00,63.00,37.00,APPROVED
MO: ST. LOUIS,01/02/2022 14:39:00,48.00,2389.00,988.00,265.00,139.00,74.00,101.00,63.00,35.00,APPROVED
MO: ST. LOUIS,01/02/2022 15:40:00,46.00,2394.00,993.00,262.00,137.00,77.00,104.00,61.00,35.00,APPROVED
MO: ST. LOUIS,01/02/2022 16:40:00,47.00,2407.00,1003.00,264.00,135.00,76.00,104.00,63.00,37.00,APPROVED
MO: ST. LOUIS,01/02/2022 17:40:00,46.00,2419.00,1002.00,265.00,139.00,74.00,103.00,65.00,35.00,APPROVED
MO: ST. LOUIS,01/02/2022 18:40:00,47.00,2410.00,998.00,268.00,134.00,76.00,106.00,61.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 19:41:00,44.00,2410.00,994.00,263.00,137.00,76.00,107.00,65.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 20:41:00,47.00,2378.00,969.00,256.00,129.00,74.00,102.00,62.00,35.00,APPROVED
MO: ST. LOUIS,01/02/2022 21:41:00,47.00,2370.00,959.00,260.00,125.00,71.00,101.00,61.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 22:41:00,48.00,2355.00,957.00,249.00,129.00,73.00,99.00,60.00,36.00,APPROVED
MO: ST. LOUIS,01/02/2022 23:42:00,46.00,2369.00,966.00,253.00,130.00,73.00,100.00,62.00,36.00,APPROVED
MO: ST. LOUIS,01/03/2022 00:42:00,46.00,2378.00,970.00,253.00,129.00,74.00,101.00,64.00,35.00,APPROVED
MO: ST. LOUIS,01/03/2022 01:42:00,47.00,2396.00,977.00,259.00,132.00,73.00,101.00,63.00,35.00,APPROVED
MO: ST. LOUIS,01/03/2022 02:42:00,46.00,2370.00,967.00,260.00,130.00,74.00,104.00,63.00,37.00,APPROVED
MO: ST. LOUIS,01/03/2022 03:42:00,46.00,2354.00,943.00,256.00,127.00,74.00,102.00,61.00,34.00,APPROVED
MO: ST. LOUIS,01/03/2022 04:43:00,47.00,2335.00,944.00,253.00,128.00,71.00,97.00,61.00,34.00,APPROVED
MO: ST. LOUIS,01/03/2022 05:43:00,45.00,2317.00,932.00,244.00,126.00,70.00,97.00,59.00,36.00,APPROVED
MO: ST. LOUIS,01/03/2022 06:43:00,46.00,2302.00,911.00,234.00,124.00,69.00,91.00,59.00,34.00,APPROVED
MO: ST. LOUIS,01/03/2022 07:43:00,43.00,2288.00,905.00,241.00,120.00,68.00,93.00,61.00,33.00,APPROVED
MO: ST. LOUIS,01/03/2022 08:44:00,45.00,2313.00,921.00,245.00,120.00,70.00,93.00,61.00,35.00,APPROVED
MO: ST. LOUIS,01/03/2022 09:44:00,46.00,2301.00,916.00,240.00,119.00,69.00,92.00,57.00,33.00,APPROVED
MO: ST. LOUIS,01/03/2022 10:44:00,46.00,2305.00,904.00,241.00,118.00,69.00,90.00,59.00,33.00,APPROVED
MO: ST. LOUIS,01/03/2022 11:44:00,46.00,2310.00,901.00,239.00,116.00,68.00,92.00,58.00,33.00,APPROVED
MO: ST. LOUIS,01/03/2022 12:44:00,46.00,2318.00,909.00,239.00,118.00,70.00,92.00,57.00,35.00,APPROVED
MO: ST. LOUIS,01/03/2022 13:45:00,46.00,2309.00,907.00,241.00,121.00,69.00,93.00,59.00,34.00,APPROVED
MO: ST. LOUIS,01/03/2022 14:45:00,47.00,2317.00,910.00,243.00,116.00,70.00,96.00,61.00,36.00,APPROVED
MO: ST. LOUIS,01/03/2022 15:45:00,48.00,2308.00,916.00,246.00,122.00,70.00,97.00,60.00,34.00,APPROVED
MO: ST. LOUIS,01/03/2022 16:45:00,47.00,2306.00,912.00,244.00,119.00,71.00,96.00,60.00,35.00,APPROVED
