LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MS: JACKSON,01/01/2025 00:09:00,37.00,1505.00,768.00,205.00,107.00,63.00,82.00,47.00,27.00,APPROVED
MS: JACKSON,01/01/2025 01:09:00,36.00,1494.00,763.00,208.00,106.00,62.00,80.00,47.00,26.00,APPROVED
MS: JACKSON,01/01/2025 02:09:00,37.00,1462.00,743.00,199.00,100.00,60.00,78.00,44.00,26.00,APPROVED
MS: JACKSON,01/01/2025 03:09:00,39.00,1436.00,718.00,198.00,99.00,59.00,77.00,43.00,27.00,APPROVED
MS: JACKSON,01/01/2025 04:09:00,36.00,1433.00,711.00,195.00,91.00,58.00,78.00,41.00,26.00,APPROVED
MS: JACKSON,01/01/2025 05:09:00,37.00,1438.00,717.00,197.00,96.00,60.00,78.00,42.00,26.00,APPROVED
MS: JACKSON,01/01/2025 06:09:00,37.00,1441.00,719.00,201.00,95.00,60.00,77.00,41.00,27.00,APPROVED
MS: JACKSON,01/01/2025 07:09:00,38.00,1448.00,729.00,203.00,96.00,60.00,79.00,42.00,27.00,APPROVED
MS: JACKSON,01/01/2025 08:09:00,37.00,1444.00,731.00,205.00,99.00,61.00,81.00,41.00,28.00,APPROVED
MS: JACKSON,01/01/2025 09:09:00,37.00,1467.00,735.00,212.00,100.00,63.00,83.00,43.00,26.00,APPROVED
MS: JACKSON,01/01/2025 10:09:00,38.00,1470.00,750.00,215.00,99.00,64.00,84.00,41.00,28.00,APPROVED
MS: JACKSON,01/01/2025 11:09:00,38.00,1487.00,758.00,218.00,101.00,64.00,84.00,43.00,27.00,APPROVED
MS: JACKSON,01/01/2025 12:09:00,37.00,1484.00,769.00,223.00,104.00,64.00,84.00,42.00,28.00,APPROVED
MS: JACKSON,01/01/2025 13:09:00,38.00,1489.00,772.00,224.00,100.00,66.00,87.00,43.00,28.00,APPROVED
MS: JACKSON,01/01/2025 14:09:00,39.00,1488.00,763.00,218.00,100.00,64.00,84.00,42.00,27.00,APPROVED
MS: JACKSON,01/01/2025 15:09:00,38.00,1496.00,770.00,224.00,101.00,65.00,88.00,44.00,28.00,APPROVED
MS: JACKSON,01/01/2025 16:09:00,40.00,1512.00,794.00,230.00,107.00,68.00,91.00,46.00,30.00,APPROVED
MS: JACKSON,01/01/2025 17:09:00,38.00,1515.00,808.00,232.00,110.00,68.00,93.00,46.00,29.00,APPROVED
MS: JACKSON,01/01/2025 18:10:00,39.00,1510.00,805.00,230.00,109.00,66.00,92.00,47.00,27.00,APPROVED
MS: JACKSON,01/01/2025 19:10:00,38.00,1504.00,791.00,226.00,111.00,65.00,90.00,49.00,29.00,APPROVED
MS: JACKSON,01/01/2025 20:10:00,38.00,1500.00,800.00,223.00,114.00,64.00,88.00,49.00,29.00,APPROVED
MS: JACKSON,01/01/2025 21:10:00,39.00,1487.00,779.00,221.00,114.00,66.00,86.00,47.00,28.00,APPROVED
MS: JACKSON,01/01/2025 22:10:00,38.00,1482.00,769.00,215.00,112.00,64.00,86.00,47.00,28.00,APPROVED
MS: JACKSON,01/01/2025 23:10:00,36.00,1499.00,787.00,216.00,113.00,66.00,87.00,50.00,27.00,APPROVED
MS: JACKSON,01/02/2025 00:10:00,37.00,1496.00,787.00,212.00,112.00,66.00,86.00,49.00,28.00,APPROVED
MS: JACKSON,01/02/2025 01:10:00,38.00,1500.00,780.00,216.00,112.00,66.00,84.00,47.00,26.00,APPROVED
MS: JACKSON,01/02/2025 02:10:00,37.00,1501.00,780.00,214.00,109.00,67.00,85.00,46.00,27.00,APPROVED
MS: JACKSON,01/02/2025 03:10:00,36.00,1471.00,758.00,215.00,100.00,64.00,83.00,44.00,27.00,APPROVED
MS: JACKSON,01/02/2025 04:10:00,36.00,1461.00,739.00,210.00,98.00,62.00,83.00,43.00,27.00,APPROVED
MS: JACKSON,01/02/2025 05:10:00,36.00,1462.00,734.00,213.00,98.00,65.00,81.00,43.00,27.00,APPROVED
MS: JACKSON,01/02/2025 06:10:00,36.00,1459.00,727.00,214.00,97.00,64.00,81.00,40.00,27.00,APPROVED
MS: JACKSON,01/02/2025 07:10:00,36.00,1453.00,731.00,213.00,96.00,63.00,80.00,41.00,27.00,APPROVED
MS: JACKSON,01/02/2025 08:10:00,35.00,1449.00,736.00,211.00,95.00,64.00,83.00,40.00,27.00,APPROVED
MS: JACKSON,01/02/2025 09:10:00,38.00,1456.00,731.00,214.00,98.00,63.00,79.00,40.00,27.00,APPROVED
MS: JACKSON,01/02/2025 10:10:00,35.00,1459.00,733.00,214.00,97.00,64.00,83.00,40.00,26.00,APPROVED
MS: JACKSON,01/02/2025 11:10:00,37.00,1447.00,729.00,208.00,91.00,62.00,81.00,40.00,28.00,APPROVED
MS: JACKSON,01/02/2025 12:10:00,38.00,1457.00,726.00,212.00,95.00,66.00,80.00,41.00,28.00,APPROVED
MS: JACKSON,01/02/2025 13:10:00,37.00,1462.00,739.00,215.00,95.00,64.00,82.00,41.00,28.00,APPROVED
MS: JACKSON,01/02/2025 14:11:00,36.00,1468.00,752.00,217.00,98.00,65.00,83.00,41.00,27.00,APPROVED
MS: JACKSON,01/02/2025 15:11:00,35.00,1458.00,738.00,214.00,96.00,63.00,81.00,41.00,28.00,APPROVED
MS: JACKSON,01/02/2025 16:11:00,36.00,1444.00,736.00,216.00,96.00,62.00,85.00,40.00,28.00,APPROVED
MS: JACKSON,01/02/2025 17:11:00,37.00,1452.00,728.00,209.00,94.00,62.00,84.00,41.00,27.00,APPROVED
MS: JACKSON,01/02/2025 18:11:00,37.00,1443.00,731.00,211.00,97.00,61.00,85.00,42.00,28.00,APPROVED
MS: JACKSON,01/02/2025 19:11:00,39.00,1438.00,723.00,210.00,94.00,62.00,84.00,41.00,28.00,APPROVED
MS: JACKSON,01/02/2025 20:11:00,38.00,1429.00,723.00,206.00,98.00,60.00,84.00,42.00,29.00,APPROVED
MS: JACKSON,01/02/2025 21:11:00,38.00,1420.00,717.00,205.00,97.00,60.00,79.00,45.00,27.00,APPROVED
MS: JACKSON,01/02/2025 22:11:00,39.00,1426.00,724.00,203.00,100.00,60.00,81.00,46.00,28.00,APPROVED
MS: JACKSON,01/02/2025 23:11:00,36.00,1438.00,731.00,199.00,102.00,60.00,79.00,45.00,28.00,APPROVED
MS: JACKSON,01/03/2025 00:11:00,37.00,1449.00,735.00,200.00,103.00,60.00,77.00,45.00,28.00,APPROVED
MS: JACKSON,01/03/2025 01:11:00,37.00,1469.00,746.00,198.00,105.00,61.00,77.00,45.00,27.00,APPROVED
MS: JACKSON,01/03/2025 02:11:00,36.00,1487.00,766.00,205.00,111.00,62.00,79.00,46.00,28.00,APPROVED
MS: JACKSON,01/03/2025 03:11:00,37.00,1494.00,779.00,214.00,114.00,64.00,86.00,48.00,28.00,APPROVED
MS: JACKSON,01/03/2025 04:11:00,37.00,1495.00,791.00,220.00,111.00,66.00,87.00,47.00,29.00,APPROVED
MS: JACKSON,01/03/2025 05:11:00,37.00,1486.00,780.00,221.00,108.00,65.00,87.00,47.00,27.00,APPROVED
MS: JACKSON,01/03/2025 06:11:00,37.00,1501.00,793.00,227.00,108.00,68.00,88.00,46.00,27.00,APPROVED
MS: JACKSON,01/03/2025 07:11:00,38.00,1502.00,804.00,235.00,108.00,69.00,90.00,48.00,27.00,APPROVED
