LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MT: KALISPELL,01/01/2025 00:11:00,72.00,2599.00,1497.00,414.00,233.00,159.00,192.00,146.00,22.00,APPROVED
MT: KALISPELL,01/01/2025 01:11:00,78.00,2610.00,1503.00,418.00,228.00,159.00,194.00,143.00,22.00,APPROVED
MT: KALISPELL,01/01/2025 02:11:00,74.00,2602.00,1510.00,423.00,232.00,159.00,189.00,144.00,23.00,APPROVED
MT: KALISPELL,01/01/2025 03:12:00,73.00,2612.00,1528.00,425.00,236.00,161.00,194.00,145.00,22.00,APPROVED
MT: KALISPELL,01/01/2025 04:12:00,75.00,2674.00,1579.00,437.00,249.00,165.00,200.00,149.00,24.00,APPROVED
MT: KALISPELL,01/01/2025 05:12:00,74.00,2646.00,1566.00,432.00,244.00,163.00,196.00,150.00,23.00,APPROVED
MT: KALISPELL,01/01/2025 06:12:00,73.00,2638.00,1533.00,425.00,241.00,156.00,193.00,145.00,23.00,APPROVED
MT: KALISPELL,01/01/2025 07:12:00,73.00,2616.00,1515.00,423.00,234.00,161.00,188.00,143.00,23.00,APPROVED
MT: KALISPELL,01/01/2025 08:12:00,73.00,2625.00,1529.00,421.00,234.00,158.00,192.00,147.00,22.00,APPROVED
MT: KALISPELL,01/01/2025 09:12:00,74.00,2648.00,1546.00,430.00,242.00,162.00,196.00,144.00,23.00,APPROVED
MT: KALISPELL,01/01/2025 10:12:00,77.00,2698.00,1588.00,439.00,249.00,165.00,200.00,149.00,24.00,APPROVED
MT: KALISPELL,01/01/2025 11:12:00,78.00,2733.00,1624.00,452.00,262.00,168.00,205.00,152.00,24.00,APPROVED
MT: KALISPELL,01/01/2025 12:12:00,79.00,2761.00,1671.00,460.00,269.00,172.00,212.00,157.00,26.00,APPROVED
MT: KALISPELL,01/01/2025 13:12:00,78.00,2793.00,1696.00,467.00,275.00,175.00,211.00,157.00,27.00,APPROVED
MT: KALISPELL,01/01/2025 14:12:00,77.00,2857.00,1767.00,476.00,286.00,175.00,221.00,159.00,25.00,APPROVED
MT: KALISPELL,01/01/2025 15:12:00,80.00,2922.00,1828.00,494.00,303.00,182.00,228.00,162.00,27.00,APPROVED
MT: KALISPELL,01/01/2025 16:12:00,82.00,2892.00,1804.00,489.00,301.00,185.00,229.00,165.00,28.00,APPROVED
MT: KALISPELL,01/01/2025 17:12:00,79.00,2913.00,1828.00,500.00,299.00,186.00,228.00,163.00,28.00,APPROVED
MT: KALISPELL,01/01/2025 18:12:00,83.00,2912.00,1804.00,492.00,299.00,185.00,227.00,165.00,28.00,APPROVED
MT: KALISPELL,01/01/2025 19:12:00,79.00,2832.00,1712.00,472.00,277.00,176.00,219.00,157.00,27.00,APPROVED
MT: KALISPELL,01/01/2025 20:12:00,84.00,2807.00,1697.00,468.00,277.00,173.00,214.00,158.00,27.00,APPROVED
MT: KALISPELL,01/01/2025 21:12:00,81.00,2761.00,1648.00,455.00,263.00,169.00,202.00,157.00,25.00,APPROVED
MT: KALISPELL,01/01/2025 22:12:00,75.00,2704.00,1588.00,442.00,251.00,163.00,204.00,150.00,25.00,APPROVED
MT: KALISPELL,01/01/2025 23:13:00,77.00,2682.00,1573.00,436.00,248.00,162.00,198.00,147.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 00:13:00,77.00,2697.00,1595.00,442.00,249.00,165.00,201.00,151.00,25.00,APPROVED
MT: KALISPELL,01/02/2025 01:13:00,76.00,2724.00,1614.00,444.00,254.00,168.00,202.00,153.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 02:13:00,74.00,2711.00,1610.00,442.00,250.00,167.00,198.00,147.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 03:13:00,77.00,2693.00,1581.00,435.00,244.00,164.00,204.00,148.00,23.00,APPROVED
MT: KALISPELL,01/02/2025 04:13:00,76.00,2696.00,1582.00,442.00,247.00,162.00,201.00,150.00,23.00,APPROVED
MT: KALISPELL,01/02/2025 05:13:00,78.00,2726.00,1608.00,443.00,253.00,167.00,204.00,150.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 06:13:00,77.00,2761.00,1660.00,455.00,262.00,170.00,208.00,153.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 07:13:00,78.00,2790.00,1691.00,461.00,271.00,172.00,213.00,155.00,25.00,APPROVED
MT: KALISPELL,01/02/2025 08:13:00,75.00,2820.00,1737.00,471.00,282.00,176.00,218.00,161.00,26.00,APPROVED
MT: KALISPELL,01/02/2025 09:13:00,77.00,2838.00,1742.00,480.00,288.00,180.00,223.00,159.00,26.00,APPROVED
MT: KALISPELL,01/02/2025 10:13:00,78.00,2837.00,1741.00,474.00,288.00,175.00,224.00,158.00,27.00,APPROVED
MT: KALISPELL,01/02/2025 11:13:00,76.00,2857.00,1778.00,483.00,292.00,182.00,226.00,161.00,28.00,APPROVED
MT: KALISPELL,01/02/2025 12:13:00,78.00,2852.00,1774.00,485.00,293.00,179.00,229.00,165.00,27.00,APPROVED
MT: KALISPELL,01/02/2025 13:13:00,78.00,2883.00,1787.00,487.00,297.00,182.00,224.00,162.00,29.00,APPROVED
MT: KALISPELL,01/02/2025 14:13:00,79.00,2912.00,1825.00,494.00,300.00,183.00,232.00,162.00,29.00,APPROVED
MT: KALISPELL,01/02/2025 15:13:00,78.00,2915.00,1828.00,502.00,309.00,186.00,236.00,165.00,29.00,APPROVED
MT: KALISPELL,01/02/2025 15:46:00,79.00,2916.00,1821.00,489.00,303.00,184.00,231.00,166.00,30.00,APPROVED
MT: KALISPELL,01/02/2025 16:49:00,79.00,2827.00,1680.00,450.00,258.00,167.00,207.00,151.00,25.00,APPROVED
MT: KALISPELL,01/02/2025 17:49:00,77.00,2815.00,1722.00,471.00,280.00,176.00,218.00,160.00,27.00,APPROVED
MT: KALISPELL,01/02/2025 18:49:00,80.00,2795.00,1695.00,464.00,275.00,175.00,213.00,156.00,25.00,APPROVED
MT: KALISPELL,01/02/2025 19:49:00,77.00,2711.00,1629.00,447.00,260.00,167.00,206.00,155.00,25.00,APPROVED
MT: KALISPELL,01/02/2025 20:49:00,75.00,2686.00,1588.00,436.00,251.00,165.00,203.00,150.00,23.00,APPROVED
MT: KALISPELL,01/02/2025 21:50:00,76.00,2686.00,1579.00,435.00,246.00,166.00,201.00,147.00,23.00,APPROVED
MT: KALISPELL,01/02/2025 22:50:00,75.00,2694.00,1582.00,436.00,250.00,164.00,198.00,147.00,24.00,APPROVED
MT: KALISPELL,01/02/2025 23:50:00,74.00,2714.00,1593.00,433.00,249.00,165.00,201.00,148.00,24.00,APPROVED
MT: KALISPELL,01/03/2025 00:50:00,76.00,2696.00,1590.00,439.00,251.00,167.00,202.00,151.00,25.00,APPROVED
MT: KALISPELL,01/03/2025 01:50:00,75.00,2714.00,1608.00,443.00,253.00,165.00,203.00,153.00,24.00,APPROVED
MT: KALISPELL,01/03/2025 02:50:00,78.00,2785.00,1683.00,454.00,268.00,171.00,213.00,155.00,25.00,APPROVED
MT: KALISPELL,01/03/2025 03:50:00,79.00,2843.00,1731.00,466.00,287.00,177.00,219.00,157.00,27.00,APPROVED
MT: KALISPELL,01/03/2025 04:50:00,77.00,2773.00,1689.00,466.00,272.00,174.00,215.00,157.00,26.00,APPROVED
MT: KALISPELL,01/03/2025 05:50:00,77.00,2729.00,1643.00,456.00,265.00,168.00,208.00,149.00,25.00,APPROVED
