LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NC: CHARLOTTE,01/01/2012 00:46:00,,2086.00,1258.00,368.00,192.00,128.00,148.00,103.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 01:46:00,,2119.00,1279.00,369.00,190.00,128.00,145.00,100.00,35.00,APPROVED
NC: CHARLOTTE,01/01/2012 02:46:00,,2141.00,1297.00,373.00,189.00,126.00,147.00,100.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 03:46:00,,2189.00,1311.00,380.00,190.00,129.00,147.00,101.00,38.00,APPROVED
NC: CHARLOTTE,01/01/2012 04:47:00,,2216.00,1348.00,379.00,198.00,129.00,153.00,102.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 05:47:00,,2247.00,1370.00,385.00,201.00,129.00,149.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 06:47:00,,2267.00,1359.00,386.00,198.00,129.00,149.00,101.00,35.00,APPROVED
NC: CHARLOTTE,01/01/2012 07:47:00,,2233.00,1354.00,385.00,196.00,131.00,149.00,102.00,36.00,APPROVED
NC: CHARLOTTE,01/01/2012 08:47:00,,2262.00,1361.00,382.00,199.00,128.00,150.00,102.00,36.00,APPROVED
NC: CHARLOTTE,01/01/2012 09:48:00,,2274.00,1378.00,384.00,196.00,129.00,149.00,102.00,36.00,APPROVED
NC: CHARLOTTE,01/01/2012 10:48:00,,2302.00,1394.00,388.00,203.00,129.00,150.00,102.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 11:48:00,,2327.00,1421.00,388.00,202.00,132.00,151.00,102.00,35.00,APPROVED
NC: CHARLOTTE,01/01/2012 12:48:00,,2355.00,1428.00,392.00,207.00,130.00,151.00,106.00,36.00,APPROVED
NC: CHARLOTTE,01/01/2012 13:48:00,,2360.00,1437.00,390.00,207.00,135.00,151.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 14:49:00,,2321.00,1413.00,392.00,207.00,135.00,149.00,107.00,36.00,APPROVED
NC: CHARLOTTE,01/01/2012 15:49:00,,2237.00,1355.00,388.00,203.00,130.00,151.00,103.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 16:49:00,,2175.00,1326.00,386.00,200.00,131.00,149.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/01/2012 17:49:00,,2151.00,1320.00,385.00,198.00,131.00,154.00,105.00,38.00,APPROVED
NC: CHARLOTTE,01/01/2012 18:50:00,,2087.00,1282.00,375.00,197.00,130.00,150.00,102.00,38.00,APPROVED
NC: CHARLOTTE,01/01/2012 19:50:00,,2011.00,1230.00,371.00,195.00,130.00,150.00,104.00,38.00,APPROVED
NC: CHARLOTTE,01/01/2012 20:50:00,,1993.00,1229.00,370.00,192.00,130.00,152.00,107.00,40.00,APPROVED
NC: CHARLOTTE,01/01/2012 21:50:00,,2015.00,1241.00,377.00,195.00,132.00,152.00,105.00,39.00,APPROVED
NC: CHARLOTTE,01/01/2012 22:50:00,,2035.00,1272.00,377.00,199.00,130.00,153.00,106.00,38.00,APPROVED
NC: CHARLOTTE,01/01/2012 23:51:00,,2063.00,1279.00,385.00,203.00,134.00,155.00,106.00,39.00,APPROVED
NC: CHARLOTTE,01/02/2012 00:51:00,,2071.00,1281.00,378.00,200.00,130.00,154.00,106.00,38.00,APPROVED
NC: CHARLOTTE,01/02/2012 01:51:00,,2086.00,1285.00,379.00,200.00,129.00,154.00,103.00,38.00,APPROVED
NC: CHARLOTTE,01/02/2012 02:51:00,,2100.00,1287.00,380.00,194.00,130.00,149.00,102.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 03:52:00,,2178.00,1327.00,379.00,196.00,128.00,150.00,102.00,38.00,APPROVED
NC: CHARLOTTE,01/02/2012 04:52:00,,2257.00,1373.00,384.00,201.00,132.00,147.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 05:52:00,,2316.00,1402.00,389.00,204.00,131.00,151.00,102.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 06:52:00,,2337.00,1423.00,392.00,211.00,131.00,154.00,105.00,39.00,APPROVED
NC: CHARLOTTE,01/02/2012 07:52:00,,2349.00,1427.00,387.00,209.00,132.00,155.00,106.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 08:53:00,,2362.00,1440.00,390.00,213.00,134.00,152.00,105.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 09:53:00,,2356.00,1445.00,386.00,209.00,131.00,151.00,102.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 10:53:00,,2355.00,1427.00,388.00,204.00,130.00,147.00,103.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 11:53:00,,2364.00,1436.00,381.00,205.00,130.00,149.00,99.00,35.00,APPROVED
NC: CHARLOTTE,01/02/2012 12:54:00,,2376.00,1432.00,385.00,203.00,129.00,150.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 13:54:00,,2378.00,1436.00,385.00,204.00,130.00,151.00,103.00,36.00,APPROVED
NC: CHARLOTTE,01/02/2012 14:54:00,,2313.00,1400.00,381.00,201.00,129.00,148.00,104.00,37.00,APPROVED
NC: CHARLOTTE,01/02/2012 15:54:00,,2262.00,1369.00,378.00,199.00,129.00,151.00,102.00,36.00,APPROVED
NC: CHARLOTTE,01/02/2012 16:54:00,,2197.00,1325.00,377.00,190.00,129.00,144.00,101.00,35.00,APPROVED
NC: CHARLOTTE,01/02/2012 17:55:00,,2122.00,1280.00,374.00,189.00,129.00,146.00,101.00,36.00,APPROVED
NC: CHARLOTTE,01/02/2012 18:55:00,,2035.00,1234.00,364.00,187.00,124.00,143.00,101.00,37.00,APPROVED
