LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NC: GREENSBORO,02/14/2013 21:52:00,,1722.00,224.00,99.00,112.00,133.00,89.00,15.00,18.00,APPROVED
NC: GREENSBORO,02/14/2013 22:55:00,,1247.00,696.00,211.00,110.00,71.00,81.00,53.00,27.00,APPROVED
NC: GREENSBORO,02/14/2013 23:55:00,,1273.00,715.00,211.00,110.00,71.00,82.00,54.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 00:55:00,,1303.00,714.00,218.00,110.00,69.00,84.00,55.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 01:55:00,,1329.00,725.00,213.00,110.00,72.00,84.00,54.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 02:56:00,,1344.00,737.00,217.00,111.00,71.00,84.00,53.00,25.00,APPROVED
NC: GREENSBORO,02/15/2013 03:56:00,,1358.00,739.00,216.00,111.00,72.00,85.00,55.00,25.00,APPROVED
NC: GREENSBORO,02/15/2013 04:56:00,,1368.00,747.00,220.00,111.00,69.00,86.00,53.00,25.00,APPROVED
NC: GREENSBORO,02/15/2013 05:56:00,,1394.00,757.00,221.00,114.00,72.00,88.00,52.00,25.00,APPROVED
NC: GREENSBORO,02/15/2013 06:56:00,,1424.00,769.00,225.00,113.00,70.00,90.00,52.00,24.00,APPROVED
NC: GREENSBORO,02/15/2013 07:57:00,,1416.00,773.00,225.00,114.00,73.00,91.00,50.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 08:57:00,,1430.00,789.00,231.00,115.00,72.00,92.00,52.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 09:57:00,,1440.00,786.00,228.00,115.00,74.00,93.00,53.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 10:57:00,,1443.00,788.00,231.00,117.00,74.00,90.00,52.00,27.00,APPROVED
NC: GREENSBORO,02/15/2013 11:58:00,,1434.00,800.00,231.00,118.00,75.00,92.00,53.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 12:58:00,,1439.00,788.00,234.00,121.00,74.00,96.00,56.00,27.00,APPROVED
NC: GREENSBORO,02/15/2013 13:58:00,,1405.00,786.00,234.00,118.00,75.00,91.00,54.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 15:58:00,,1229.00,717.00,222.00,116.00,76.00,90.00,56.00,27.00,APPROVED
NC: GREENSBORO,02/15/2013 16:59:00,,1164.00,684.00,216.00,116.00,72.00,88.00,60.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 17:59:00,,1091.00,648.00,212.00,109.00,71.00,84.00,58.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 18:59:00,,1084.00,638.00,208.00,109.00,69.00,81.00,57.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 19:59:00,,1076.00,632.00,206.00,107.00,69.00,81.00,57.00,27.00,APPROVED
NC: GREENSBORO,02/15/2013 20:59:00,,1074.00,633.00,207.00,108.00,69.00,82.00,58.00,27.00,APPROVED
NC: GREENSBORO,02/15/2013 22:00:00,,1083.00,625.00,204.00,107.00,69.00,80.00,56.00,26.00,APPROVED
NC: GREENSBORO,02/15/2013 23:00:00,,1100.00,634.00,203.00,107.00,69.00,81.00,56.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 00:00:00,,1147.00,662.00,202.00,109.00,69.00,83.00,55.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 01:00:00,,1204.00,670.00,207.00,109.00,70.00,82.00,56.00,25.00,APPROVED
NC: GREENSBORO,02/16/2013 02:00:00,,1217.00,682.00,206.00,108.00,71.00,80.00,55.00,26.00,APPROVED
NC: GREENSBORO,02/16/2013 03:01:00,,1253.00,700.00,212.00,112.00,70.00,81.00,57.00,25.00,APPROVED
NC: GREENSBORO,02/16/2013 04:01:00,,1356.00,765.00,226.00,120.00,73.00,88.00,58.00,26.00,APPROVED
NC: GREENSBORO,02/16/2013 05:01:00,,1378.00,766.00,225.00,123.00,75.00,88.00,56.00,26.00,APPROVED
NC: GREENSBORO,02/16/2013 06:01:00,,1387.00,757.00,227.00,117.00,75.00,89.00,55.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 07:01:00,,1405.00,769.00,226.00,119.00,73.00,90.00,56.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 08:02:00,,1416.00,778.00,230.00,118.00,74.00,93.00,54.00,26.00,APPROVED
NC: GREENSBORO,02/16/2013 09:02:00,,1443.00,799.00,237.00,121.00,75.00,93.00,56.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 10:02:00,,1440.00,796.00,239.00,121.00,75.00,93.00,54.00,27.00,APPROVED
NC: GREENSBORO,02/16/2013 11:02:00,,1431.00,793.00,236.00,117.00,74.00,95.00,55.00,28.00,APPROVED
NC: GREENSBORO,02/16/2013 12:02:00,,1481.00,827.00,243.00,126.00,77.00,99.00,56.00,26.00,APPROVED
NC: GREENSBORO,02/16/2013 13:03:00,,1591.00,919.00,269.00,137.00,82.00,113.00,60.00,29.00,APPROVED
NC: GREENSBORO,02/16/2013 14:03:00,,1594.00,925.00,278.00,136.00,84.00,113.00,60.00,28.00,APPROVED
NC: GREENSBORO,02/16/2013 15:03:00,,1620.00,955.00,283.00,143.00,85.00,117.00,58.00,29.00,APPROVED
NC: GREENSBORO,02/16/2013 16:03:00,,1604.00,937.00,281.00,141.00,86.00,116.00,60.00,29.00,APPROVED
NC: GREENSBORO,02/16/2013 17:03:00,,1597.00,936.00,276.00,140.00,85.00,111.00,59.00,29.00,APPROVED
NC: GREENSBORO,02/16/2013 18:04:00,,1596.00,927.00,281.00,139.00,84.00,113.00,60.00,28.00,APPROVED
NC: GREENSBORO,02/16/2013 19:04:00,,1621.00,959.00,283.00,148.00,87.00,114.00,62.00,29.00,APPROVED
NC: GREENSBORO,02/16/2013 20:04:00,,1666.00,996.00,294.00,149.00,87.00,118.00,63.00,29.00,APPROVED
