LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NC: RALEIGH,01/01/2012 00:45:00,,5426.00,2826.00,743.00,362.00,251.00,320.00,114.00,55.00,APPROVED
NC: RALEIGH,01/01/2012 01:45:00,,5593.00,2894.00,757.00,366.00,247.00,319.00,114.00,58.00,APPROVED
NC: RALEIGH,01/01/2012 02:45:00,,5672.00,2932.00,761.00,370.00,253.00,320.00,122.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 03:46:00,,5713.00,2969.00,767.00,376.00,255.00,323.00,120.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 04:46:00,,5784.00,3028.00,767.00,379.00,254.00,321.00,129.00,56.00,APPROVED
NC: RALEIGH,01/01/2012 05:46:00,,5878.00,3057.00,781.00,386.00,257.00,321.00,131.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 06:46:00,,5932.00,3112.00,783.00,392.00,256.00,324.00,135.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 07:47:00,,5947.00,3133.00,793.00,399.00,257.00,325.00,134.00,59.00,APPROVED
NC: RALEIGH,01/01/2012 08:47:00,,6013.00,3172.00,793.00,402.00,263.00,328.00,140.00,58.00,APPROVED
NC: RALEIGH,01/01/2012 09:47:00,,6039.00,3206.00,812.00,408.00,264.00,327.00,142.00,59.00,APPROVED
NC: RALEIGH,01/01/2012 10:47:00,,6075.00,3238.00,812.00,412.00,264.00,333.00,146.00,59.00,APPROVED
NC: RALEIGH,01/01/2012 11:47:00,,6083.00,3250.00,816.00,413.00,261.00,333.00,150.00,60.00,APPROVED
NC: RALEIGH,01/01/2012 12:48:00,,6139.00,3294.00,824.00,421.00,270.00,334.00,154.00,60.00,APPROVED
NC: RALEIGH,01/01/2012 13:48:00,,6104.00,3297.00,822.00,421.00,271.00,340.00,153.00,61.00,APPROVED
NC: RALEIGH,01/01/2012 14:48:00,,6019.00,3206.00,822.00,416.00,267.00,346.00,138.00,60.00,APPROVED
NC: RALEIGH,01/01/2012 15:48:00,,5651.00,2988.00,792.00,386.00,258.00,343.00,115.00,59.00,APPROVED
NC: RALEIGH,01/01/2012 16:48:00,,5182.00,2757.00,757.00,366.00,251.00,321.00,120.00,58.00,APPROVED
NC: RALEIGH,01/01/2012 17:49:00,,4878.00,2624.00,734.00,362.00,251.00,309.00,134.00,58.00,APPROVED
NC: RALEIGH,01/01/2012 18:49:00,,4684.00,2547.00,736.00,361.00,248.00,300.00,146.00,55.00,APPROVED
NC: RALEIGH,01/01/2012 19:49:00,,4585.00,2502.00,717.00,358.00,247.00,293.00,148.00,59.00,APPROVED
NC: RALEIGH,01/01/2012 20:49:00,,4612.00,2522.00,721.00,356.00,246.00,293.00,150.00,58.00,APPROVED
NC: RALEIGH,01/01/2012 21:50:00,,4698.00,2563.00,727.00,360.00,243.00,296.00,150.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 22:50:00,,4841.00,2631.00,731.00,359.00,245.00,299.00,144.00,57.00,APPROVED
NC: RALEIGH,01/01/2012 23:50:00,,5001.00,2664.00,744.00,369.00,252.00,303.00,142.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 00:50:00,,5090.00,2779.00,759.00,372.00,256.00,313.00,143.00,59.00,APPROVED
NC: RALEIGH,01/02/2012 01:50:00,,5779.00,3279.00,896.00,456.00,286.00,366.00,159.00,64.00,APPROVED
NC: RALEIGH,01/02/2012 02:51:00,,6081.00,3514.00,952.00,485.00,295.00,391.00,159.00,64.00,APPROVED
NC: RALEIGH,01/02/2012 03:51:00,,5552.00,3013.00,818.00,407.00,266.00,343.00,135.00,61.00,APPROVED
NC: RALEIGH,01/02/2012 04:51:00,,5425.00,2859.00,763.00,370.00,251.00,323.00,119.00,59.00,APPROVED
NC: RALEIGH,01/02/2012 05:51:00,,5488.00,2846.00,750.00,362.00,246.00,321.00,113.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 06:52:00,,5602.00,2902.00,750.00,362.00,249.00,318.00,116.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 07:52:00,,5729.00,2958.00,760.00,370.00,253.00,319.00,120.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 08:52:00,,5782.00,2989.00,755.00,371.00,248.00,316.00,126.00,58.00,APPROVED
NC: RALEIGH,01/02/2012 09:52:00,,5752.00,2985.00,760.00,366.00,247.00,316.00,128.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 10:52:00,,5784.00,2975.00,754.00,369.00,247.00,310.00,126.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 11:53:00,,5798.00,2989.00,752.00,368.00,248.00,310.00,129.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 12:53:00,,5797.00,2983.00,761.00,371.00,246.00,307.00,130.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 13:53:00,,5789.00,2982.00,750.00,367.00,246.00,308.00,130.00,56.00,APPROVED
NC: RALEIGH,01/02/2012 14:53:00,,5753.00,2945.00,750.00,365.00,244.00,308.00,127.00,56.00,APPROVED
NC: RALEIGH,01/02/2012 15:54:00,,5717.00,2950.00,748.00,366.00,246.00,306.00,127.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 16:54:00,,5682.00,2924.00,748.00,361.00,248.00,309.00,125.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 17:54:00,,5627.00,2902.00,742.00,363.00,246.00,308.00,121.00,56.00,APPROVED
NC: RALEIGH,01/02/2012 18:54:00,,5607.00,2893.00,749.00,361.00,246.00,316.00,116.00,56.00,APPROVED
NC: RALEIGH,01/02/2012 19:54:00,,5550.00,2858.00,745.00,359.00,248.00,313.00,116.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 20:55:00,,5491.00,2834.00,740.00,358.00,250.00,317.00,115.00,55.00,APPROVED
NC: RALEIGH,01/02/2012 21:55:00,,5599.00,2888.00,742.00,365.00,246.00,313.00,118.00,58.00,APPROVED
NC: RALEIGH,01/02/2012 22:55:00,,5712.00,2935.00,747.00,367.00,248.00,310.00,126.00,57.00,APPROVED
NC: RALEIGH,01/02/2012 23:55:00,,5754.00,2956.00,752.00,368.00,251.00,305.00,130.00,58.00,APPROVED
NC: RALEIGH,01/03/2012 00:56:00,,5812.00,2998.00,753.00,369.00,249.00,308.00,134.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 01:56:00,,5832.00,3007.00,757.00,369.00,248.00,302.00,139.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 02:56:00,,5843.00,2998.00,754.00,368.00,248.00,306.00,137.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 03:56:00,,5836.00,2995.00,755.00,366.00,251.00,306.00,146.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 04:56:00,,5864.00,3015.00,760.00,371.00,248.00,301.00,146.00,58.00,APPROVED
NC: RALEIGH,01/03/2012 05:57:00,,5854.00,3021.00,758.00,368.00,248.00,299.00,153.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 06:57:00,,5848.00,3026.00,752.00,370.00,249.00,297.00,156.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 07:57:00,,5830.00,3026.00,753.00,373.00,247.00,291.00,158.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 08:57:00,,5836.00,3033.00,748.00,369.00,246.00,295.00,154.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 09:57:00,,5806.00,3010.00,751.00,371.00,246.00,292.00,152.00,58.00,APPROVED
NC: RALEIGH,01/03/2012 10:58:00,,5793.00,3030.00,748.00,371.00,246.00,291.00,154.00,55.00,APPROVED
NC: RALEIGH,01/03/2012 11:58:00,,5766.00,3023.00,743.00,371.00,244.00,288.00,151.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 12:58:00,,5763.00,2995.00,745.00,369.00,248.00,292.00,149.00,55.00,APPROVED
NC: RALEIGH,01/03/2012 13:58:00,,5754.00,2991.00,746.00,368.00,245.00,288.00,150.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 14:59:00,,5777.00,2992.00,744.00,371.00,242.00,290.00,154.00,57.00,APPROVED
NC: RALEIGH,01/03/2012 15:59:00,,5770.00,2985.00,745.00,368.00,245.00,294.00,154.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 16:59:00,,5760.00,2988.00,750.00,366.00,248.00,299.00,153.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 17:59:00,,5768.00,2986.00,751.00,369.00,249.00,298.00,153.00,58.00,APPROVED
NC: RALEIGH,01/03/2012 18:59:00,,5742.00,2970.00,741.00,367.00,246.00,293.00,147.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 20:00:00,,5756.00,2973.00,747.00,369.00,247.00,297.00,148.00,55.00,APPROVED
NC: RALEIGH,01/03/2012 21:00:00,,5778.00,2991.00,750.00,371.00,248.00,296.00,147.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 22:00:00,,5773.00,2995.00,747.00,372.00,246.00,302.00,146.00,56.00,APPROVED
NC: RALEIGH,01/03/2012 23:00:00,,5770.00,2968.00,750.00,363.00,248.00,297.00,150.00,56.00,APPROVED
NC: RALEIGH,01/04/2012 00:01:00,,5770.00,2987.00,750.00,371.00,245.00,290.00,152.00,55.00,APPROVED
NC: RALEIGH,01/04/2012 01:01:00,,5745.00,2969.00,740.00,360.00,246.00,290.00,151.00,55.00,APPROVED
