LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NC: WILMINGTON,01/07/2014 17:11:00,,1971.00,1177.00,340.00,151.00,78.00,76.00,44.00,20.00,APPROVED
NC: WILMINGTON,01/07/2014 18:11:00,,1951.00,1168.00,337.00,151.00,76.00,78.00,43.00,21.00,APPROVED
NC: WILMINGTON,01/07/2014 19:11:00,,1937.00,1170.00,337.00,146.00,77.00,77.00,45.00,20.00,APPROVED
NC: WILMINGTON,01/07/2014 20:11:00,,1932.00,1153.00,332.00,148.00,76.00,79.00,43.00,20.00,APPROVED
NC: WILMINGTON,01/07/2014 21:12:00,,1930.00,1145.00,334.00,147.00,76.00,77.00,43.00,19.00,APPROVED
NC: WILMINGTON,01/07/2014 22:12:00,,1944.00,1148.00,336.00,148.00,76.00,75.00,43.00,20.00,APPROVED
NC: WILMINGTON,01/07/2014 23:12:00,,1956.00,1158.00,338.00,147.00,77.00,77.00,44.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 00:12:00,,1968.00,1154.00,337.00,144.00,76.00,77.00,44.00,19.00,APPROVED
NC: WILMINGTON,01/08/2014 01:13:00,,1972.00,1174.00,338.00,148.00,76.00,78.00,44.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 02:13:00,,1982.00,1177.00,335.00,146.00,76.00,79.00,44.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 03:13:00,,2026.00,1194.00,340.00,152.00,75.00,80.00,44.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 04:13:00,,2034.00,1202.00,341.00,151.00,77.00,77.00,44.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 05:13:00,,2035.00,1203.00,341.00,150.00,79.00,78.00,45.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 06:14:00,,2031.00,1201.00,341.00,153.00,75.00,77.00,46.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 07:14:00,,2036.00,1210.00,344.00,152.00,79.00,77.00,45.00,22.00,APPROVED
NC: WILMINGTON,01/08/2014 08:14:00,,2033.00,1210.00,340.00,153.00,78.00,79.00,45.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 09:14:00,,2038.00,1211.00,338.00,154.00,79.00,79.00,45.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 10:14:00,,2030.00,1212.00,338.00,154.00,78.00,79.00,45.00,22.00,APPROVED
NC: WILMINGTON,01/08/2014 11:15:00,,2035.00,1219.00,347.00,154.00,79.00,77.00,47.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 12:15:00,,2023.00,1203.00,340.00,155.00,80.00,78.00,45.00,21.00,APPROVED
NC: WILMINGTON,01/08/2014 13:15:00,,2011.00,1199.00,344.00,154.00,77.00,79.00,45.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 14:15:00,,1999.00,1189.00,337.00,152.00,80.00,79.00,46.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 15:15:00,,1978.00,1178.00,341.00,148.00,79.00,79.00,43.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 16:16:00,,1914.00,1143.00,334.00,145.00,77.00,79.00,43.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 17:16:00,,1876.00,1128.00,327.00,143.00,76.00,77.00,42.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 18:16:00,,1834.00,1106.00,332.00,141.00,77.00,75.00,41.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 19:16:00,,1803.00,1085.00,322.00,141.00,76.00,78.00,41.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 20:30:00,,1804.00,1088.00,318.00,137.00,72.00,74.00,42.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 21:30:00,,1800.00,1086.00,326.00,136.00,75.00,73.00,42.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 22:30:00,,1819.00,1092.00,319.00,140.00,75.00,76.00,42.00,20.00,APPROVED
NC: WILMINGTON,01/08/2014 23:30:00,,1865.00,1111.00,326.00,140.00,75.00,74.00,41.00,19.00,APPROVED
NC: WILMINGTON,01/09/2014 00:31:00,,1906.00,1122.00,328.00,142.00,74.00,76.00,43.00,18.00,APPROVED
