LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NH: CONCORD,01/01/2016 00:40:00,,2774.00,1478.00,416.00,196.00,129.00,150.00,78.00,29.00,APPROVED
NH: CONCORD,01/01/2016 01:40:00,,2775.00,1476.00,417.00,202.00,128.00,149.00,78.00,29.00,APPROVED
NH: CONCORD,01/01/2016 02:40:00,,2800.00,1483.00,419.00,199.00,126.00,152.00,78.00,28.00,APPROVED
NH: CONCORD,01/01/2016 03:40:00,,2791.00,1485.00,417.00,201.00,130.00,148.00,78.00,28.00,APPROVED
NH: CONCORD,01/01/2016 04:41:00,,2790.00,1472.00,412.00,198.00,126.00,149.00,77.00,29.00,APPROVED
NH: CONCORD,01/01/2016 05:41:00,,2799.00,1472.00,421.00,199.00,128.00,151.00,78.00,27.00,APPROVED
NH: CONCORD,01/01/2016 06:41:00,,2792.00,1480.00,416.00,196.00,130.00,145.00,78.00,28.00,APPROVED
NH: CONCORD,01/01/2016 07:41:00,,2794.00,1483.00,419.00,199.00,129.00,149.00,76.00,28.00,APPROVED
NH: CONCORD,01/01/2016 08:41:00,,2793.00,1484.00,421.00,196.00,128.00,149.00,76.00,29.00,APPROVED
NH: CONCORD,01/01/2016 09:42:00,,2805.00,1475.00,415.00,198.00,128.00,149.00,80.00,29.00,APPROVED
NH: CONCORD,01/01/2016 10:42:00,,2800.00,1484.00,425.00,201.00,131.00,150.00,79.00,30.00,APPROVED
NH: CONCORD,01/01/2016 11:42:00,,2823.00,1491.00,420.00,199.00,132.00,151.00,79.00,29.00,APPROVED
NH: CONCORD,01/01/2016 12:42:00,,2820.00,1499.00,424.00,202.00,131.00,151.00,81.00,29.00,APPROVED
NH: CONCORD,01/01/2016 13:42:00,,2802.00,1503.00,424.00,199.00,133.00,149.00,79.00,29.00,APPROVED
NH: CONCORD,01/01/2016 14:43:00,,2815.00,1500.00,422.00,195.00,132.00,149.00,82.00,28.00,APPROVED
NH: CONCORD,01/01/2016 15:43:00,,2811.00,1498.00,425.00,203.00,127.00,149.00,76.00,29.00,APPROVED
NH: CONCORD,01/01/2016 16:43:00,,2812.00,1484.00,424.00,198.00,131.00,153.00,79.00,29.00,APPROVED
NH: CONCORD,01/01/2016 17:43:00,,2803.00,1492.00,427.00,202.00,130.00,152.00,81.00,30.00,APPROVED
NH: CONCORD,01/01/2016 18:43:00,,2802.00,1487.00,429.00,204.00,132.00,149.00,81.00,30.00,APPROVED
NH: CONCORD,01/01/2016 19:44:00,,2820.00,1493.00,423.00,201.00,132.00,153.00,79.00,29.00,APPROVED
NH: CONCORD,01/01/2016 20:44:00,,2821.00,1490.00,426.00,203.00,132.00,154.00,81.00,29.00,APPROVED
