LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NH: PORTSMOUTH,01/01/2022 00:15:00,,3109.00,1744.00,517.00,255.00,169.00,201.00,111.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 01:15:00,,3059.00,1691.00,497.00,256.00,165.00,194.00,107.00,44.00,APPROVED
NH: PORTSMOUTH,01/01/2022 02:16:00,,3042.00,1700.00,492.00,248.00,163.00,192.00,106.00,44.00,APPROVED
NH: PORTSMOUTH,01/01/2022 03:16:00,,3031.00,1696.00,495.00,250.00,163.00,198.00,106.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2022 04:16:00,,3129.00,1760.00,517.00,257.00,167.00,203.00,114.00,46.00,APPROVED
NH: PORTSMOUTH,01/01/2022 05:16:00,,3103.00,1764.00,514.00,262.00,169.00,208.00,111.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2022 06:17:00,,3092.00,1759.00,514.00,261.00,170.00,206.00,110.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2022 07:17:00,,3089.00,1752.00,515.00,258.00,165.00,206.00,109.00,44.00,APPROVED
NH: PORTSMOUTH,01/01/2022 08:17:00,,3087.00,1748.00,518.00,260.00,168.00,206.00,110.00,45.00,APPROVED
NH: PORTSMOUTH,01/01/2022 09:17:00,,3104.00,1773.00,526.00,267.00,170.00,212.00,113.00,45.00,APPROVED
NH: PORTSMOUTH,01/01/2022 10:17:00,,3128.00,1825.00,540.00,273.00,174.00,221.00,115.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 11:18:00,,3130.00,1839.00,548.00,275.00,175.00,219.00,118.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 12:18:00,,3124.00,1832.00,541.00,273.00,175.00,220.00,116.00,45.00,APPROVED
NH: PORTSMOUTH,01/01/2022 13:18:00,,3156.00,1841.00,547.00,277.00,174.00,218.00,118.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 14:18:00,,3169.00,1865.00,559.00,282.00,179.00,225.00,118.00,46.00,APPROVED
NH: PORTSMOUTH,01/01/2022 15:18:00,,3283.00,1963.00,588.00,302.00,190.00,234.00,128.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 16:19:00,,3305.00,1952.00,576.00,299.00,184.00,227.00,123.00,45.00,APPROVED
NH: PORTSMOUTH,01/01/2022 17:19:00,,3240.00,1872.00,542.00,283.00,175.00,214.00,119.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 18:19:00,,3131.00,1759.00,511.00,264.00,168.00,198.00,113.00,46.00,APPROVED
NH: PORTSMOUTH,01/01/2022 19:19:00,,3109.00,1715.00,490.00,255.00,165.00,189.00,109.00,45.00,APPROVED
NH: PORTSMOUTH,01/01/2022 20:19:00,,3085.00,1711.00,484.00,251.00,166.00,187.00,111.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2022 21:20:00,,3094.00,1762.00,504.00,266.00,167.00,202.00,115.00,47.00,APPROVED
NH: PORTSMOUTH,01/01/2022 22:20:00,,3132.00,1799.00,525.00,275.00,171.00,205.00,116.00,46.00,APPROVED
NH: PORTSMOUTH,01/01/2022 23:20:00,,3144.00,1810.00,532.00,270.00,172.00,210.00,116.00,46.00,APPROVED
NH: PORTSMOUTH,01/02/2022 00:20:00,,3187.00,1839.00,535.00,278.00,181.00,216.00,116.00,47.00,APPROVED
NH: PORTSMOUTH,01/02/2022 01:21:00,,3176.00,1826.00,536.00,277.00,172.00,209.00,116.00,46.00,APPROVED
NH: PORTSMOUTH,01/02/2022 02:21:00,,3162.00,1812.00,529.00,279.00,175.00,210.00,118.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 03:21:00,,3138.00,1798.00,522.00,265.00,174.00,210.00,114.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 04:21:00,,3186.00,1841.00,541.00,275.00,181.00,216.00,115.00,47.00,APPROVED
NH: PORTSMOUTH,01/02/2022 05:21:00,,3195.00,1833.00,546.00,276.00,173.00,214.00,115.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 06:22:00,,3215.00,1854.00,541.00,274.00,173.00,216.00,114.00,47.00,APPROVED
NH: PORTSMOUTH,01/02/2022 07:22:00,,3181.00,1835.00,532.00,277.00,175.00,216.00,116.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 08:22:00,,3140.00,1754.00,513.00,260.00,168.00,203.00,107.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 09:22:00,,3206.00,1815.00,537.00,266.00,169.00,208.00,112.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 10:22:00,,3140.00,1757.00,515.00,255.00,166.00,205.00,107.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 11:23:00,,3102.00,1716.00,504.00,253.00,165.00,199.00,107.00,43.00,APPROVED
NH: PORTSMOUTH,01/02/2022 12:23:00,,3193.00,1805.00,535.00,262.00,168.00,203.00,110.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 13:23:00,,3156.00,1782.00,524.00,263.00,169.00,203.00,110.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 14:23:00,,3215.00,1813.00,529.00,265.00,173.00,210.00,111.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 15:24:00,,3256.00,1855.00,546.00,274.00,172.00,211.00,110.00,47.00,APPROVED
NH: PORTSMOUTH,01/02/2022 16:24:00,,3208.00,1816.00,528.00,269.00,174.00,209.00,111.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 17:24:00,,3516.00,2078.00,602.00,308.00,191.00,238.00,127.00,49.00,APPROVED
NH: PORTSMOUTH,01/02/2022 18:24:00,,3473.00,2061.00,601.00,306.00,193.00,236.00,129.00,49.00,APPROVED
NH: PORTSMOUTH,01/02/2022 19:24:00,,3287.00,1856.00,544.00,278.00,177.00,209.00,115.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 20:25:00,,3270.00,1844.00,539.00,271.00,174.00,210.00,114.00,45.00,APPROVED
NH: PORTSMOUTH,01/02/2022 21:25:00,,3126.00,1720.00,498.00,251.00,164.00,193.00,107.00,42.00,APPROVED
NH: PORTSMOUTH,01/02/2022 22:25:00,,3278.00,1842.00,533.00,264.00,173.00,205.00,113.00,44.00,APPROVED
NH: PORTSMOUTH,01/02/2022 23:25:00,,3442.00,1977.00,581.00,287.00,181.00,225.00,119.00,45.00,APPROVED
NH: PORTSMOUTH,01/03/2022 00:25:00,,3344.00,1895.00,566.00,274.00,178.00,221.00,115.00,46.00,APPROVED
NH: PORTSMOUTH,01/03/2022 01:26:00,,3272.00,1828.00,549.00,261.00,174.00,211.00,109.00,44.00,APPROVED
NH: PORTSMOUTH,01/03/2022 02:26:00,,2989.00,1585.00,463.00,227.00,154.00,180.00,94.00,42.00,APPROVED
NH: PORTSMOUTH,01/03/2022 03:26:00,,2867.00,1488.00,433.00,210.00,146.00,170.00,86.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 04:26:00,,2874.00,1466.00,424.00,204.00,142.00,167.00,82.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 05:27:00,,2816.00,1430.00,411.00,197.00,140.00,163.00,78.00,41.00,APPROVED
NH: PORTSMOUTH,01/03/2022 06:27:00,,2815.00,1431.00,417.00,197.00,137.00,165.00,76.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 07:27:00,,2802.00,1398.00,409.00,193.00,136.00,164.00,72.00,38.00,APPROVED
NH: PORTSMOUTH,01/03/2022 08:27:00,,2804.00,1403.00,407.00,192.00,136.00,163.00,71.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 09:27:00,,2781.00,1383.00,409.00,191.00,138.00,167.00,67.00,38.00,APPROVED
NH: PORTSMOUTH,01/03/2022 10:28:00,,2792.00,1390.00,404.00,190.00,136.00,164.00,67.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 11:28:00,,2793.00,1396.00,409.00,188.00,135.00,168.00,68.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 12:28:00,,2807.00,1398.00,410.00,197.00,138.00,168.00,62.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 13:28:00,,2817.00,1404.00,413.00,193.00,137.00,169.00,64.00,38.00,APPROVED
NH: PORTSMOUTH,01/03/2022 14:28:00,,2826.00,1411.00,410.00,198.00,140.00,173.00,68.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 15:29:00,,2803.00,1405.00,410.00,195.00,137.00,170.00,67.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 16:38:00,,2885.00,1431.00,413.00,195.00,141.00,172.00,66.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 17:39:00,,2793.00,1403.00,404.00,190.00,134.00,164.00,67.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 18:39:00,,2806.00,1411.00,409.00,195.00,137.00,171.00,67.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 19:39:00,,2790.00,1385.00,403.00,193.00,133.00,169.00,67.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 20:39:00,,2799.00,1397.00,407.00,192.00,135.00,168.00,67.00,40.00,APPROVED
NH: PORTSMOUTH,01/03/2022 21:39:00,,2810.00,1394.00,411.00,191.00,137.00,169.00,66.00,39.00,APPROVED
NH: PORTSMOUTH,01/03/2022 22:40:00,,2792.00,1379.00,405.00,191.00,135.00,167.00,67.00,37.00,APPROVED
NH: PORTSMOUTH,01/03/2022 23:40:00,,2769.00,1374.00,400.00,190.00,136.00,162.00,64.00,38.00,APPROVED
NH: PORTSMOUTH,01/04/2022 00:40:00,,2788.00,1381.00,404.00,195.00,136.00,170.00,65.00,38.00,APPROVED
