LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NJ: EDISON,01/01/2026 00:32:00,40.00,1480.00,781.00,233.00,119.00,81.00,101.00,55.00,28.00,APPROVED
NJ: EDISON,01/01/2026 01:32:00,43.00,1495.00,783.00,236.00,123.00,81.00,105.00,55.00,26.00,APPROVED
NJ: EDISON,01/01/2026 02:32:00,42.00,1496.00,784.00,235.00,126.00,82.00,104.00,58.00,27.00,APPROVED
NJ: EDISON,01/01/2026 03:32:00,41.00,1501.00,789.00,236.00,124.00,81.00,108.00,57.00,27.00,APPROVED
NJ: EDISON,01/01/2026 04:32:00,42.00,1486.00,785.00,234.00,127.00,81.00,104.00,58.00,27.00,APPROVED
NJ: EDISON,01/01/2026 05:32:00,41.00,1483.00,785.00,236.00,124.00,80.00,105.00,58.00,27.00,APPROVED
NJ: EDISON,01/01/2026 06:32:00,40.00,1487.00,776.00,237.00,121.00,80.00,104.00,56.00,28.00,APPROVED
NJ: EDISON,01/01/2026 07:32:00,40.00,1499.00,777.00,233.00,125.00,80.00,107.00,56.00,27.00,APPROVED
NJ: EDISON,01/01/2026 08:32:00,43.00,1496.00,787.00,234.00,124.00,82.00,104.00,57.00,28.00,APPROVED
NJ: EDISON,01/01/2026 09:33:00,43.00,1502.00,793.00,232.00,124.00,81.00,106.00,57.00,28.00,APPROVED
NJ: EDISON,01/01/2026 10:33:00,42.00,1507.00,798.00,239.00,125.00,82.00,104.00,58.00,28.00,APPROVED
NJ: EDISON,01/01/2026 11:33:00,50.00,1712.00,975.00,287.00,155.00,94.00,126.00,66.00,31.00,APPROVED
NJ: EDISON,01/01/2026 12:33:00,57.00,1925.00,1184.00,364.00,199.00,114.00,157.00,82.00,35.00,APPROVED
NJ: EDISON,01/01/2026 13:33:00,48.00,1580.00,886.00,279.00,149.00,92.00,123.00,66.00,30.00,APPROVED
NJ: EDISON,01/01/2026 14:33:00,41.00,1425.00,748.00,232.00,119.00,78.00,103.00,53.00,29.00,APPROVED
NJ: EDISON,01/01/2026 15:33:00,38.00,1392.00,709.00,212.00,110.00,76.00,95.00,49.00,27.00,APPROVED
NJ: EDISON,01/01/2026 16:33:00,40.00,1375.00,693.00,212.00,107.00,74.00,96.00,50.00,26.00,APPROVED
NJ: EDISON,01/01/2026 17:33:00,39.00,1379.00,699.00,210.00,108.00,75.00,96.00,51.00,26.00,APPROVED
NJ: EDISON,01/01/2026 18:33:00,38.00,1378.00,696.00,214.00,108.00,74.00,94.00,50.00,26.00,APPROVED
NJ: EDISON,01/01/2026 19:33:00,42.00,1383.00,703.00,217.00,110.00,74.00,95.00,50.00,26.00,APPROVED
NJ: EDISON,01/01/2026 20:33:00,40.00,1390.00,700.00,214.00,111.00,75.00,96.00,51.00,26.00,APPROVED
NJ: EDISON,01/01/2026 21:33:00,39.00,1395.00,711.00,216.00,108.00,77.00,97.00,50.00,27.00,APPROVED
NJ: EDISON,01/01/2026 22:33:00,40.00,1396.00,714.00,215.00,113.00,77.00,95.00,53.00,26.00,APPROVED
NJ: EDISON,01/01/2026 23:33:00,38.00,1396.00,715.00,216.00,108.00,77.00,95.00,53.00,27.00,APPROVED
NJ: EDISON,01/02/2026 00:33:00,39.00,1387.00,714.00,219.00,111.00,73.00,96.00,53.00,26.00,APPROVED
NJ: EDISON,01/02/2026 01:33:00,41.00,1397.00,711.00,214.00,111.00,78.00,96.00,50.00,26.00,APPROVED
NJ: EDISON,01/02/2026 02:33:00,41.00,1403.00,712.00,216.00,111.00,76.00,97.00,51.00,26.00,APPROVED
NJ: EDISON,01/02/2026 03:33:00,39.00,1419.00,727.00,220.00,112.00,77.00,97.00,51.00,26.00,APPROVED
NJ: EDISON,01/02/2026 04:33:00,41.00,1419.00,740.00,225.00,116.00,76.00,99.00,53.00,27.00,APPROVED
NJ: EDISON,01/02/2026 05:34:00,40.00,1415.00,736.00,227.00,116.00,81.00,99.00,53.00,28.00,APPROVED
NJ: EDISON,01/02/2026 06:34:00,42.00,1436.00,761.00,228.00,120.00,79.00,103.00,55.00,28.00,APPROVED
NJ: EDISON,01/02/2026 07:34:00,41.00,1466.00,775.00,235.00,122.00,83.00,104.00,56.00,27.00,APPROVED
NJ: EDISON,01/02/2026 08:34:00,39.00,1451.00,767.00,235.00,122.00,82.00,104.00,55.00,27.00,APPROVED
NJ: EDISON,01/02/2026 09:34:00,39.00,1444.00,752.00,233.00,116.00,79.00,104.00,53.00,28.00,APPROVED
NJ: EDISON,01/02/2026 10:34:00,41.00,1428.00,742.00,226.00,116.00,79.00,103.00,52.00,27.00,APPROVED
NJ: EDISON,01/02/2026 11:34:00,40.00,1431.00,745.00,225.00,115.00,78.00,100.00,53.00,26.00,APPROVED
NJ: EDISON,01/02/2026 12:34:00,43.00,1427.00,740.00,228.00,120.00,79.00,101.00,51.00,27.00,APPROVED
NJ: EDISON,01/02/2026 13:34:00,40.00,1433.00,743.00,227.00,116.00,79.00,101.00,53.00,27.00,APPROVED
NJ: EDISON,01/02/2026 14:34:00,40.00,1435.00,751.00,229.00,121.00,78.00,103.00,52.00,27.00,APPROVED
NJ: EDISON,01/02/2026 15:34:00,41.00,1439.00,748.00,228.00,119.00,79.00,103.00,52.00,28.00,APPROVED
NJ: EDISON,01/02/2026 16:34:00,40.00,1429.00,752.00,231.00,118.00,82.00,102.00,54.00,26.00,APPROVED
NJ: EDISON,01/02/2026 17:34:00,40.00,1440.00,750.00,229.00,118.00,79.00,103.00,55.00,26.00,APPROVED
NJ: EDISON,01/02/2026 18:34:00,41.00,1443.00,753.00,231.00,118.00,80.00,103.00,54.00,27.00,APPROVED
NJ: EDISON,01/02/2026 19:34:00,40.00,1438.00,756.00,227.00,118.00,79.00,101.00,54.00,29.00,APPROVED
NJ: EDISON,01/02/2026 20:34:00,41.00,1437.00,753.00,226.00,119.00,80.00,101.00,53.00,27.00,APPROVED
