LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: NAVAJO LAKE,01/01/2020 00:14:00,,3368.00,2048.00,605.00,352.00,201.00,249.00,142.00,62.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 01:14:00,,3469.00,2091.00,610.00,353.00,203.00,244.00,145.00,64.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 02:14:00,,3562.00,2132.00,620.00,356.00,206.00,249.00,147.00,63.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 03:14:00,,3611.00,2179.00,630.00,364.00,203.00,250.00,145.00,63.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 04:14:00,,3689.00,2244.00,649.00,380.00,216.00,264.00,149.00,64.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 05:15:00,,3741.00,2292.00,655.00,391.00,217.00,270.00,154.00,65.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 06:15:00,,3766.00,2320.00,668.00,398.00,222.00,275.00,155.00,69.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 07:15:00,,3763.00,2330.00,673.00,412.00,220.00,274.00,153.00,69.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 08:15:00,,3821.00,2390.00,680.00,415.00,226.00,278.00,156.00,68.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 09:15:00,,3860.00,2433.00,703.00,429.00,230.00,287.00,163.00,70.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 10:16:00,,3965.00,2566.00,729.00,459.00,241.00,305.00,173.00,76.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 11:16:00,,4029.00,2674.00,757.00,491.00,255.00,328.00,180.00,77.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 12:16:00,,4108.00,2767.00,796.00,519.00,257.00,335.00,184.00,81.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 13:16:00,,4166.00,2771.00,790.00,514.00,264.00,338.00,187.00,82.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 14:16:00,,4135.00,2764.00,790.00,519.00,264.00,340.00,187.00,81.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 15:17:00,,4207.00,2800.00,795.00,525.00,265.00,342.00,186.00,81.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 16:17:00,,4213.00,2837.00,803.00,540.00,268.00,348.00,191.00,82.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 17:17:00,,4149.00,2780.00,798.00,530.00,265.00,343.00,188.00,81.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 18:17:00,,4028.00,2638.00,757.00,489.00,251.00,322.00,180.00,81.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 19:17:00,,3938.00,2556.00,731.00,462.00,244.00,310.00,174.00,78.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 20:18:00,,3767.00,2420.00,703.00,441.00,239.00,298.00,169.00,75.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 21:18:00,,3696.00,2328.00,680.00,408.00,226.00,280.00,160.00,72.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 22:18:00,,3743.00,2312.00,680.00,395.00,220.00,277.00,156.00,68.00,APPROVED
NM: NAVAJO LAKE,01/01/2020 23:18:00,,3883.00,2415.00,720.00,405.00,226.00,288.00,157.00,66.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 00:18:00,,3835.00,2372.00,706.00,396.00,221.00,290.00,155.00,67.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 01:19:00,,3754.00,2305.00,690.00,383.00,218.00,279.00,145.00,63.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 02:19:00,,3709.00,2287.00,691.00,386.00,217.00,275.00,151.00,63.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 03:19:00,,3696.00,2270.00,676.00,377.00,214.00,273.00,147.00,65.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 04:19:00,,3718.00,2304.00,665.00,402.00,218.00,270.00,157.00,69.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 05:19:00,,3688.00,2313.00,673.00,408.00,218.00,273.00,156.00,72.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 06:20:00,,3787.00,2386.00,681.00,423.00,225.00,281.00,164.00,71.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 07:20:00,,3824.00,2427.00,695.00,433.00,229.00,285.00,165.00,75.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 08:20:00,,3780.00,2409.00,694.00,432.00,232.00,286.00,167.00,76.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 09:20:00,,3794.00,2396.00,692.00,429.00,231.00,284.00,163.00,74.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 10:20:00,,3848.00,2465.00,705.00,441.00,231.00,291.00,163.00,77.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 11:21:00,,3885.00,2504.00,716.00,459.00,234.00,299.00,171.00,76.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 12:21:00,,3860.00,2540.00,725.00,468.00,245.00,310.00,175.00,79.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 13:21:00,,3913.00,2604.00,748.00,495.00,250.00,318.00,177.00,81.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 14:21:00,,3985.00,2679.00,762.00,514.00,259.00,328.00,186.00,83.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 15:21:00,,4020.00,2747.00,777.00,531.00,265.00,339.00,188.00,86.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 16:22:00,,4063.00,2801.00,793.00,539.00,268.00,347.00,193.00,88.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 17:22:00,,4111.00,2823.00,813.00,555.00,271.00,355.00,197.00,88.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 18:22:00,,4046.00,2774.00,791.00,543.00,272.00,346.00,193.00,87.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 19:22:00,,3939.00,2660.00,768.00,520.00,257.00,334.00,190.00,85.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 20:22:00,,3792.00,2500.00,723.00,473.00,240.00,307.00,176.00,82.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 21:23:00,,3676.00,2386.00,700.00,447.00,232.00,295.00,169.00,80.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 22:23:00,,3610.00,2314.00,681.00,428.00,229.00,284.00,168.00,78.00,APPROVED
NM: NAVAJO LAKE,01/02/2020 23:23:00,,3594.00,2292.00,673.00,417.00,223.00,280.00,159.00,72.00,APPROVED
NM: NAVAJO LAKE,01/03/2020 00:23:00,,3585.00,2254.00,669.00,401.00,220.00,273.00,156.00,72.00,APPROVED
