LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NV: LAS VEGAS,01/01/2026 00:28:00,,1695.00,1010.00,283.00,156.00,91.00,113.00,70.00,29.00,APPROVED
NV: LAS VEGAS,01/01/2026 01:28:00,,1718.00,1022.00,284.00,159.00,96.00,115.00,72.00,30.00,APPROVED
NV: LAS VEGAS,01/01/2026 02:28:00,,1740.00,1044.00,289.00,161.00,91.00,116.00,71.00,30.00,APPROVED
NV: LAS VEGAS,01/01/2026 03:28:00,,1835.00,1119.00,312.00,178.00,98.00,121.00,76.00,30.00,APPROVED
NV: LAS VEGAS,01/01/2026 04:29:00,,1892.00,1171.00,321.00,187.00,102.00,130.00,79.00,31.00,APPROVED
NV: LAS VEGAS,01/01/2026 05:29:00,,1931.00,1205.00,331.00,187.00,105.00,133.00,79.00,32.00,APPROVED
NV: LAS VEGAS,01/01/2026 06:29:00,,2027.00,1283.00,349.00,202.00,108.00,140.00,78.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 07:29:00,,2057.00,1305.00,352.00,203.00,110.00,142.00,83.00,34.00,APPROVED
NV: LAS VEGAS,01/01/2026 08:29:00,,2055.00,1290.00,359.00,204.00,108.00,141.00,84.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 09:30:00,,1889.00,1161.00,326.00,179.00,99.00,130.00,75.00,31.00,APPROVED
NV: LAS VEGAS,01/01/2026 10:30:00,,1910.00,1183.00,330.00,183.00,99.00,133.00,75.00,31.00,APPROVED
NV: LAS VEGAS,01/01/2026 11:30:00,,1972.00,1234.00,341.00,193.00,104.00,138.00,81.00,32.00,APPROVED
NV: LAS VEGAS,01/01/2026 12:30:00,,1958.00,1234.00,344.00,197.00,105.00,137.00,79.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 13:30:00,,2037.00,1307.00,362.00,209.00,113.00,148.00,85.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 14:31:00,,2144.00,1403.00,385.00,226.00,120.00,163.00,92.00,34.00,APPROVED
NV: LAS VEGAS,01/01/2026 15:31:00,,2121.00,1388.00,386.00,227.00,120.00,159.00,89.00,35.00,APPROVED
NV: LAS VEGAS,01/01/2026 16:31:00,,2068.00,1340.00,375.00,223.00,118.00,155.00,88.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 17:31:00,,2066.00,1333.00,372.00,218.00,113.00,152.00,87.00,33.00,APPROVED
NV: LAS VEGAS,01/01/2026 18:31:00,,2012.00,1287.00,357.00,208.00,109.00,149.00,85.00,34.00,APPROVED
NV: LAS VEGAS,01/01/2026 19:32:00,,1877.00,1167.00,326.00,184.00,103.00,133.00,78.00,32.00,APPROVED
NV: LAS VEGAS,01/01/2026 20:32:00,,1803.00,1089.00,306.00,168.00,97.00,123.00,73.00,30.00,APPROVED
NV: LAS VEGAS,01/01/2026 21:32:00,,1791.00,1089.00,301.00,171.00,96.00,121.00,72.00,29.00,APPROVED
NV: LAS VEGAS,01/01/2026 22:32:00,,1783.00,1096.00,307.00,172.00,96.00,124.00,77.00,31.00,APPROVED
NV: LAS VEGAS,01/01/2026 23:32:00,,1791.00,1094.00,305.00,174.00,99.00,126.00,73.00,31.00,APPROVED
NV: LAS VEGAS,01/02/2026 00:33:00,,1799.00,1094.00,306.00,174.00,97.00,122.00,74.00,31.00,APPROVED
NV: LAS VEGAS,01/02/2026 01:33:00,,1790.00,1094.00,302.00,171.00,97.00,121.00,75.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 02:33:00,,1784.00,1087.00,306.00,170.00,95.00,119.00,72.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 03:33:00,,1785.00,1085.00,306.00,170.00,97.00,122.00,75.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 04:33:00,,1795.00,1105.00,308.00,175.00,99.00,122.00,75.00,31.00,APPROVED
NV: LAS VEGAS,01/02/2026 05:34:00,,1799.00,1115.00,311.00,176.00,98.00,127.00,77.00,32.00,APPROVED
NV: LAS VEGAS,01/02/2026 06:34:00,,1792.00,1116.00,312.00,182.00,98.00,125.00,75.00,31.00,APPROVED
NV: LAS VEGAS,01/02/2026 07:34:00,,1780.00,1090.00,305.00,172.00,98.00,124.00,74.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 08:34:00,,1773.00,1078.00,298.00,171.00,93.00,122.00,71.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 09:34:00,,1763.00,1064.00,297.00,163.00,94.00,118.00,71.00,28.00,APPROVED
NV: LAS VEGAS,01/02/2026 10:35:00,,1754.00,1041.00,293.00,162.00,92.00,116.00,69.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 11:35:00,,1773.00,1048.00,289.00,159.00,90.00,117.00,69.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 12:35:00,,1761.00,1064.00,293.00,158.00,91.00,119.00,69.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 13:35:00,,1812.00,1091.00,302.00,168.00,94.00,119.00,71.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 14:35:00,,1797.00,1087.00,295.00,168.00,95.00,120.00,70.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 15:35:00,,1805.00,1087.00,300.00,164.00,95.00,119.00,71.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 16:36:00,,1793.00,1078.00,296.00,163.00,91.00,117.00,69.00,30.00,APPROVED
NV: LAS VEGAS,01/02/2026 17:36:00,,1746.00,1036.00,289.00,155.00,93.00,115.00,68.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 18:36:00,,1672.00,984.00,279.00,145.00,88.00,114.00,67.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 19:36:00,,1655.00,988.00,282.00,150.00,88.00,111.00,68.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 20:36:00,,1616.00,971.00,277.00,152.00,89.00,108.00,69.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 21:37:00,,1596.00,943.00,273.00,146.00,87.00,108.00,68.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 22:37:00,,1591.00,945.00,271.00,147.00,89.00,105.00,66.00,29.00,APPROVED
NV: LAS VEGAS,01/02/2026 23:37:00,,1607.00,952.00,269.00,147.00,86.00,105.00,68.00,30.00,APPROVED
