LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NV: LAS VEGAS,01/02/2018 17:13:00,,1787.00,1112.00,294.00,169.00,88.00,118.00,78.00,31.00,APPROVED
NV: LAS VEGAS,01/11/2018 20:23:00,,1578.00,949.00,254.00,136.00,76.00,102.00,65.00,26.00,APPROVED
NV: LAS VEGAS,01/11/2018 21:29:00,,1398.00,801.00,225.00,125.00,77.00,89.00,60.00,25.00,APPROVED
NV: LAS VEGAS,01/11/2018 22:29:00,,1384.00,800.00,230.00,130.00,78.00,93.00,61.00,26.00,APPROVED
NV: LAS VEGAS,01/11/2018 23:29:00,,1402.00,798.00,225.00,127.00,77.00,90.00,60.00,24.00,APPROVED
NV: LAS VEGAS,01/12/2018 00:29:00,,1393.00,792.00,227.00,125.00,74.00,91.00,60.00,23.00,APPROVED
NV: LAS VEGAS,01/12/2018 01:30:00,,1421.00,811.00,228.00,126.00,77.00,92.00,60.00,24.00,APPROVED
NV: LAS VEGAS,01/12/2018 02:30:00,,1458.00,823.00,230.00,127.00,79.00,91.00,61.00,23.00,APPROVED
NV: LAS VEGAS,01/12/2018 03:30:00,,1491.00,841.00,235.00,128.00,78.00,92.00,61.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 04:30:00,,1532.00,859.00,238.00,132.00,79.00,95.00,62.00,24.00,APPROVED
NV: LAS VEGAS,01/12/2018 05:30:00,,1543.00,867.00,243.00,131.00,81.00,93.00,61.00,26.00,APPROVED
NV: LAS VEGAS,01/12/2018 06:31:00,,1569.00,877.00,244.00,133.00,82.00,95.00,62.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 07:31:00,,1584.00,896.00,247.00,134.00,81.00,95.00,62.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 08:31:00,,1580.00,890.00,250.00,132.00,82.00,97.00,62.00,23.00,APPROVED
NV: LAS VEGAS,01/12/2018 09:31:00,,1604.00,911.00,253.00,134.00,84.00,96.00,64.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 10:31:00,,1625.00,921.00,253.00,138.00,82.00,100.00,65.00,26.00,APPROVED
NV: LAS VEGAS,01/12/2018 11:32:00,,1618.00,930.00,258.00,138.00,85.00,102.00,65.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 12:32:00,,1622.00,935.00,261.00,141.00,85.00,102.00,64.00,24.00,APPROVED
NV: LAS VEGAS,01/12/2018 13:32:00,,1657.00,957.00,264.00,146.00,86.00,103.00,66.00,26.00,APPROVED
NV: LAS VEGAS,01/12/2018 14:32:00,,1664.00,975.00,266.00,150.00,87.00,105.00,67.00,28.00,APPROVED
NV: LAS VEGAS,01/12/2018 15:32:00,,1661.00,968.00,267.00,153.00,86.00,107.00,68.00,28.00,APPROVED
NV: LAS VEGAS,01/12/2018 17:06:00,,1519.00,840.00,235.00,128.00,75.00,90.00,60.00,24.00,APPROVED
NV: LAS VEGAS,01/12/2018 18:06:00,,1436.00,836.00,243.00,131.00,81.00,95.00,62.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 19:06:00,,1366.00,812.00,238.00,135.00,81.00,96.00,65.00,26.00,APPROVED
NV: LAS VEGAS,01/12/2018 20:07:00,,1373.00,813.00,237.00,136.00,82.00,98.00,65.00,25.00,APPROVED
NV: LAS VEGAS,01/12/2018 21:07:00,,1346.00,805.00,240.00,136.00,81.00,99.00,64.00,27.00,APPROVED
NV: LAS VEGAS,01/12/2018 22:07:00,,1334.00,798.00,237.00,134.00,79.00,96.00,63.00,26.00,APPROVED
NV: LAS VEGAS,01/12/2018 23:07:00,,1342.00,803.00,236.00,135.00,80.00,95.00,62.00,25.00,APPROVED
NV: LAS VEGAS,01/13/2018 00:07:00,,1333.00,794.00,238.00,135.00,82.00,93.00,64.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 01:08:00,,1343.00,804.00,237.00,134.00,80.00,94.00,62.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 02:08:00,,1402.00,821.00,237.00,133.00,79.00,96.00,64.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 03:08:00,,1453.00,844.00,242.00,138.00,81.00,96.00,63.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 04:08:00,,1497.00,859.00,246.00,137.00,81.00,96.00,65.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 05:08:00,,1534.00,886.00,257.00,140.00,83.00,100.00,66.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 06:09:00,,1543.00,903.00,260.00,143.00,86.00,104.00,68.00,28.00,APPROVED
NV: LAS VEGAS,01/13/2018 07:09:00,,1550.00,910.00,257.00,142.00,85.00,105.00,67.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 08:09:00,,1582.00,915.00,261.00,145.00,85.00,103.00,65.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 09:09:00,,1598.00,935.00,266.00,147.00,86.00,105.00,68.00,26.00,APPROVED
NV: LAS VEGAS,01/13/2018 10:09:00,,1596.00,943.00,264.00,146.00,88.00,107.00,68.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 11:10:00,,1595.00,944.00,268.00,148.00,87.00,105.00,66.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 12:10:00,,1612.00,951.00,268.00,147.00,86.00,107.00,67.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 13:10:00,,1627.00,958.00,269.00,149.00,87.00,104.00,68.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 14:10:00,,1634.00,971.00,273.00,151.00,86.00,107.00,69.00,28.00,APPROVED
NV: LAS VEGAS,01/13/2018 15:10:00,,1629.00,962.00,269.00,152.00,87.00,108.00,68.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 16:11:00,,1592.00,946.00,273.00,149.00,87.00,110.00,68.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 17:11:00,,1511.00,910.00,269.00,147.00,86.00,107.00,68.00,27.00,APPROVED
NV: LAS VEGAS,01/13/2018 18:11:00,,1454.00,891.00,263.00,148.00,86.00,104.00,68.00,28.00,APPROVED
