LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NV: RENO,03/19/2009 12:27:00,,3641.00,479.00,198.00,220.00,256.00,181.00,20.00,28.00,APPROVED
NV: RENO,03/19/2009 12:27:00,,3404.00,415.00,191.00,212.00,254.00,151.00,26.00,18.00,APPROVED
NV: RENO,03/19/2009 21:38:00,,1859.00,1164.00,369.00,188.00,122.00,140.00,94.00,34.00,APPROVED
NV: RENO,03/19/2009 22:38:00,,2055.00,1264.00,385.00,198.00,125.00,145.00,94.00,34.00,APPROVED
NV: RENO,03/19/2009 23:39:00,,2113.00,1289.00,387.00,201.00,123.00,145.00,94.00,34.00,APPROVED
NV: RENO,03/20/2009 00:39:00,,2171.00,1307.00,389.00,198.00,123.00,146.00,95.00,34.00,APPROVED
NV: RENO,03/20/2009 01:39:00,,2106.00,1276.00,389.00,197.00,122.00,145.00,94.00,33.00,APPROVED
NV: RENO,03/20/2009 02:39:00,,2091.00,1274.00,389.00,203.00,125.00,145.00,94.00,34.00,APPROVED
NV: RENO,03/20/2009 03:39:00,,2174.00,1315.00,397.00,204.00,125.00,146.00,92.00,36.00,APPROVED
NV: RENO,03/20/2009 04:40:00,,2246.00,1351.00,407.00,202.00,127.00,147.00,95.00,35.00,APPROVED
NV: RENO,03/20/2009 05:40:00,,2254.00,1345.00,406.00,202.00,127.00,148.00,92.00,34.00,APPROVED
NV: RENO,03/20/2009 06:40:00,,2253.00,1358.00,409.00,201.00,129.00,147.00,96.00,35.00,APPROVED
NV: RENO,03/20/2009 07:40:00,,2303.00,1376.00,417.00,205.00,127.00,150.00,93.00,33.00,APPROVED
NV: RENO,03/20/2009 08:41:00,,2375.00,1419.00,419.00,207.00,128.00,153.00,94.00,33.00,APPROVED
NV: RENO,03/20/2009 09:41:00,,2443.00,1476.00,436.00,211.00,133.00,158.00,91.00,34.00,APPROVED
NV: RENO,03/20/2009 10:41:00,,2539.00,1525.00,444.00,216.00,134.00,164.00,94.00,34.00,APPROVED
NV: RENO,03/20/2009 11:41:00,,2585.00,1565.00,463.00,217.00,137.00,172.00,92.00,35.00,APPROVED
NV: RENO,03/20/2009 12:41:00,,2633.00,1606.00,468.00,226.00,138.00,175.00,92.00,36.00,APPROVED
NV: RENO,03/20/2009 13:42:00,,2668.00,1633.00,482.00,231.00,141.00,183.00,93.00,36.00,APPROVED
NV: RENO,03/20/2009 14:42:00,,2688.00,1651.00,488.00,229.00,142.00,184.00,91.00,37.00,APPROVED
NV: RENO,03/20/2009 15:42:00,,2652.00,1642.00,491.00,229.00,142.00,187.00,92.00,38.00,APPROVED
NV: RENO,03/20/2009 16:42:00,,2485.00,1580.00,490.00,231.00,143.00,183.00,105.00,39.00,APPROVED
NV: RENO,03/20/2009 17:42:00,,2232.00,1457.00,474.00,230.00,143.00,181.00,109.00,39.00,APPROVED
NV: RENO,03/20/2009 18:43:00,,2008.00,1301.00,441.00,218.00,138.00,170.00,104.00,38.00,APPROVED
NV: RENO,03/20/2009 19:43:00,,1863.00,1204.00,410.00,201.00,129.00,156.00,99.00,37.00,APPROVED
NV: RENO,03/20/2009 20:43:00,,2024.00,1272.00,403.00,206.00,127.00,150.00,98.00,39.00,APPROVED
NV: RENO,03/20/2009 21:43:00,,2131.00,1329.00,403.00,208.00,124.00,150.00,98.00,35.00,APPROVED
NV: RENO,03/20/2009 22:44:00,,2125.00,1315.00,399.00,207.00,124.00,146.00,94.00,37.00,APPROVED
NV: RENO,03/20/2009 23:44:00,,2152.00,1322.00,397.00,204.00,128.00,146.00,95.00,34.00,APPROVED
NV: RENO,03/21/2009 00:44:00,,2190.00,1342.00,395.00,208.00,125.00,147.00,96.00,37.00,APPROVED
NV: RENO,03/21/2009 01:44:00,,2068.00,1290.00,399.00,202.00,127.00,146.00,93.00,36.00,APPROVED
NV: RENO,03/21/2009 02:44:00,,2099.00,1300.00,403.00,205.00,127.00,148.00,96.00,36.00,APPROVED
NV: RENO,03/21/2009 03:45:00,,2129.00,1304.00,405.00,205.00,126.00,149.00,96.00,34.00,APPROVED
NV: RENO,03/21/2009 04:45:00,,2166.00,1314.00,405.00,201.00,128.00,149.00,96.00,34.00,APPROVED
NV: RENO,03/21/2009 05:45:00,,2216.00,1344.00,412.00,210.00,129.00,151.00,95.00,35.00,APPROVED
