LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ALBANY,01/01/2013 00:01:00,,1561.00,872.00,270.00,137.00,81.00,104.00,63.00,35.00,APPROVED
NY: ALBANY,01/01/2013 01:01:00,,1565.00,877.00,270.00,137.00,83.00,103.00,65.00,35.00,APPROVED
NY: ALBANY,01/01/2013 02:01:00,,1571.00,883.00,274.00,140.00,84.00,107.00,64.00,37.00,APPROVED
NY: ALBANY,01/01/2013 03:01:00,,1567.00,881.00,276.00,138.00,85.00,106.00,67.00,35.00,APPROVED
NY: ALBANY,01/01/2013 04:02:00,,1571.00,886.00,274.00,136.00,82.00,106.00,66.00,37.00,APPROVED
NY: ALBANY,01/01/2013 05:02:00,,1556.00,874.00,273.00,137.00,81.00,106.00,64.00,35.00,APPROVED
NY: ALBANY,01/01/2013 06:02:00,,1571.00,872.00,267.00,137.00,83.00,102.00,63.00,34.00,APPROVED
NY: ALBANY,01/01/2013 07:02:00,,1583.00,888.00,274.00,140.00,83.00,103.00,63.00,35.00,APPROVED
NY: ALBANY,01/01/2013 08:02:00,,1592.00,907.00,281.00,143.00,85.00,109.00,67.00,36.00,APPROVED
NY: ALBANY,01/01/2013 09:03:00,,1613.00,945.00,292.00,150.00,87.00,115.00,71.00,36.00,APPROVED
NY: ALBANY,01/01/2013 10:03:00,,1722.00,1041.00,324.00,168.00,95.00,126.00,76.00,39.00,APPROVED
NY: ALBANY,01/01/2013 11:03:00,,1705.00,1032.00,317.00,170.00,96.00,123.00,75.00,37.00,APPROVED
NY: ALBANY,01/01/2013 12:03:00,,1626.00,964.00,300.00,156.00,89.00,119.00,69.00,36.00,APPROVED
NY: ALBANY,01/01/2013 13:03:00,,1597.00,928.00,289.00,145.00,88.00,112.00,68.00,36.00,APPROVED
NY: ALBANY,01/01/2013 14:04:00,,1594.00,917.00,290.00,147.00,87.00,109.00,67.00,36.00,APPROVED
NY: ALBANY,01/01/2013 15:04:00,,1596.00,914.00,285.00,144.00,85.00,111.00,67.00,37.00,APPROVED
NY: ALBANY,01/01/2013 16:04:00,,1593.00,915.00,288.00,143.00,85.00,112.00,66.00,37.00,APPROVED
NY: ALBANY,01/01/2013 17:04:00,,1601.00,918.00,286.00,145.00,87.00,113.00,66.00,36.00,APPROVED
NY: ALBANY,01/01/2013 18:04:00,,1588.00,917.00,284.00,144.00,88.00,112.00,66.00,36.00,APPROVED
NY: ALBANY,01/01/2013 19:05:00,,1589.00,909.00,285.00,142.00,86.00,111.00,67.00,36.00,APPROVED
NY: ALBANY,01/01/2013 20:05:00,,1580.00,909.00,284.00,144.00,86.00,111.00,65.00,35.00,APPROVED
NY: ALBANY,01/01/2013 21:05:00,,1583.00,908.00,282.00,144.00,86.00,112.00,68.00,36.00,APPROVED
NY: ALBANY,01/01/2013 22:05:00,,1585.00,908.00,282.00,141.00,85.00,112.00,65.00,36.00,APPROVED
NY: ALBANY,01/01/2013 23:05:00,,1571.00,899.00,280.00,141.00,84.00,110.00,64.00,35.00,APPROVED
NY: ALBANY,01/02/2013 00:06:00,,1557.00,889.00,278.00,137.00,83.00,107.00,64.00,35.00,APPROVED
NY: ALBANY,01/02/2013 01:06:00,,1548.00,882.00,277.00,137.00,86.00,108.00,61.00,35.00,APPROVED
NY: ALBANY,01/02/2013 02:06:00,,1532.00,866.00,273.00,135.00,82.00,106.00,62.00,35.00,APPROVED
NY: ALBANY,01/02/2013 03:06:00,,1545.00,863.00,276.00,133.00,83.00,107.00,60.00,35.00,APPROVED
NY: ALBANY,01/02/2013 04:07:00,,1524.00,865.00,273.00,135.00,82.00,108.00,61.00,35.00,APPROVED
NY: ALBANY,01/02/2013 05:07:00,,1531.00,860.00,266.00,135.00,82.00,108.00,62.00,33.00,APPROVED
NY: ALBANY,01/02/2013 06:07:00,,1526.00,855.00,265.00,134.00,81.00,106.00,60.00,34.00,APPROVED
NY: ALBANY,01/02/2013 07:07:00,,1489.00,829.00,265.00,126.00,82.00,104.00,60.00,34.00,APPROVED
NY: ALBANY,01/02/2013 08:07:00,,1469.00,806.00,259.00,125.00,79.00,98.00,58.00,33.00,APPROVED
NY: ALBANY,01/02/2013 09:08:00,,1475.00,812.00,256.00,127.00,78.00,101.00,58.00,33.00,APPROVED
NY: ALBANY,01/02/2013 10:08:00,,1519.00,852.00,270.00,129.00,81.00,106.00,61.00,33.00,APPROVED
NY: ALBANY,01/02/2013 11:08:00,,1522.00,858.00,278.00,132.00,85.00,108.00,61.00,34.00,APPROVED
NY: ALBANY,01/02/2013 12:08:00,,1528.00,876.00,279.00,134.00,84.00,109.00,62.00,34.00,APPROVED
NY: ALBANY,01/02/2013 13:08:00,,1518.00,859.00,274.00,134.00,80.00,108.00,62.00,34.00,APPROVED
NY: ALBANY,01/02/2013 14:09:00,,1506.00,852.00,267.00,132.00,80.00,107.00,60.00,34.00,APPROVED
NY: ALBANY,01/02/2013 15:09:00,,1496.00,836.00,268.00,129.00,81.00,102.00,60.00,33.00,APPROVED
NY: ALBANY,01/02/2013 15:41:00,,1505.00,839.00,263.00,128.00,81.00,102.00,62.00,34.00,APPROVED
NY: ALBANY,01/02/2013 16:55:00,,1465.00,776.00,238.00,116.00,78.00,91.00,55.00,33.00,APPROVED
NY: ALBANY,01/02/2013 17:56:00,,1448.00,779.00,239.00,117.00,76.00,90.00,56.00,34.00,APPROVED
NY: ALBANY,01/02/2013 18:56:00,,1454.00,776.00,240.00,115.00,74.00,94.00,57.00,33.00,APPROVED
NY: ALBANY,01/02/2013 19:56:00,,1440.00,771.00,242.00,118.00,75.00,94.00,56.00,33.00,APPROVED
NY: ALBANY,01/02/2013 20:56:00,,1456.00,766.00,237.00,115.00,75.00,95.00,50.00,33.00,APPROVED
NY: ALBANY,01/02/2013 21:56:00,,1441.00,755.00,236.00,115.00,74.00,91.00,50.00,34.00,APPROVED
NY: ALBANY,01/02/2013 22:57:00,,1427.00,753.00,234.00,116.00,76.00,89.00,55.00,33.00,APPROVED
NY: ALBANY,01/02/2013 23:57:00,,1413.00,755.00,233.00,112.00,74.00,88.00,53.00,32.00,APPROVED
NY: ALBANY,01/03/2013 00:57:00,,1414.00,749.00,227.00,113.00,72.00,88.00,54.00,33.00,APPROVED
NY: ALBANY,01/03/2013 01:57:00,,1424.00,745.00,233.00,115.00,73.00,89.00,55.00,32.00,APPROVED
NY: ALBANY,01/03/2013 02:58:00,,1420.00,747.00,234.00,113.00,74.00,91.00,52.00,32.00,APPROVED
NY: ALBANY,01/03/2013 03:58:00,,1406.00,744.00,236.00,112.00,72.00,90.00,52.00,34.00,APPROVED
NY: ALBANY,01/03/2013 04:58:00,,1401.00,745.00,230.00,111.00,72.00,91.00,51.00,31.00,APPROVED
NY: ALBANY,01/03/2013 05:58:00,,1397.00,733.00,232.00,113.00,72.00,91.00,49.00,32.00,APPROVED
NY: ALBANY,01/03/2013 06:58:00,,1391.00,733.00,229.00,109.00,72.00,92.00,51.00,32.00,APPROVED
NY: ALBANY,01/03/2013 07:59:00,,1398.00,737.00,231.00,113.00,73.00,90.00,50.00,31.00,APPROVED
NY: ALBANY,01/03/2013 08:59:00,,1400.00,738.00,228.00,111.00,71.00,94.00,48.00,32.00,APPROVED
NY: ALBANY,01/03/2013 09:59:00,,1385.00,732.00,230.00,111.00,70.00,92.00,48.00,31.00,APPROVED
NY: ALBANY,01/03/2013 10:59:00,,1395.00,738.00,231.00,113.00,72.00,93.00,49.00,32.00,APPROVED
NY: ALBANY,01/03/2013 11:59:00,,1403.00,735.00,228.00,110.00,73.00,91.00,48.00,32.00,APPROVED
