LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ALBANY,01/01/2024 00:01:00,44.00,1451.00,827.00,236.00,126.00,87.00,111.00,90.00,15.00,APPROVED
NY: ALBANY,01/01/2024 01:02:00,43.00,1436.00,823.00,233.00,124.00,87.00,110.00,85.00,15.00,APPROVED
NY: ALBANY,01/01/2024 02:02:00,45.00,1442.00,818.00,235.00,125.00,87.00,110.00,87.00,15.00,APPROVED
NY: ALBANY,01/01/2024 03:02:00,43.00,1434.00,821.00,235.00,122.00,87.00,111.00,87.00,15.00,APPROVED
NY: ALBANY,01/01/2024 04:02:00,42.00,1448.00,827.00,234.00,127.00,88.00,114.00,88.00,15.00,APPROVED
NY: ALBANY,01/01/2024 05:02:00,42.00,1452.00,835.00,237.00,125.00,87.00,111.00,90.00,15.00,APPROVED
NY: ALBANY,01/01/2024 06:03:00,43.00,1454.00,828.00,237.00,126.00,88.00,112.00,89.00,16.00,APPROVED
NY: ALBANY,01/01/2024 07:03:00,42.00,1448.00,835.00,238.00,128.00,89.00,113.00,90.00,15.00,APPROVED
NY: ALBANY,01/01/2024 08:03:00,41.00,1447.00,848.00,238.00,130.00,87.00,113.00,89.00,15.00,APPROVED
NY: ALBANY,01/01/2024 09:03:00,41.00,1454.00,836.00,240.00,128.00,89.00,113.00,88.00,15.00,APPROVED
NY: ALBANY,01/01/2024 10:04:00,45.00,1456.00,850.00,244.00,129.00,88.00,115.00,89.00,16.00,APPROVED
NY: ALBANY,01/01/2024 11:04:00,43.00,1482.00,858.00,243.00,133.00,90.00,115.00,90.00,16.00,APPROVED
NY: ALBANY,01/01/2024 12:04:00,44.00,1490.00,858.00,247.00,133.00,89.00,117.00,89.00,17.00,APPROVED
NY: ALBANY,01/01/2024 13:04:00,43.00,1470.00,856.00,241.00,130.00,90.00,114.00,90.00,16.00,APPROVED
NY: ALBANY,01/01/2024 14:04:00,45.00,1477.00,854.00,242.00,130.00,90.00,115.00,88.00,17.00,APPROVED
NY: ALBANY,01/01/2024 15:05:00,43.00,1461.00,855.00,243.00,131.00,91.00,119.00,91.00,16.00,APPROVED
NY: ALBANY,01/01/2024 16:05:00,45.00,1463.00,844.00,237.00,132.00,90.00,118.00,90.00,17.00,APPROVED
NY: ALBANY,01/01/2024 17:05:00,44.00,1467.00,851.00,236.00,131.00,90.00,115.00,90.00,17.00,APPROVED
NY: ALBANY,01/01/2024 18:05:00,43.00,1458.00,847.00,241.00,132.00,90.00,114.00,90.00,16.00,APPROVED
NY: ALBANY,01/01/2024 19:05:00,43.00,1444.00,846.00,240.00,131.00,92.00,113.00,90.00,16.00,APPROVED
NY: ALBANY,01/01/2024 20:06:00,44.00,1452.00,844.00,240.00,130.00,91.00,113.00,93.00,16.00,APPROVED
NY: ALBANY,01/01/2024 21:06:00,44.00,1449.00,841.00,240.00,130.00,87.00,115.00,90.00,16.00,APPROVED
NY: ALBANY,01/01/2024 22:06:00,44.00,1458.00,837.00,239.00,128.00,87.00,111.00,88.00,16.00,APPROVED
NY: ALBANY,01/01/2024 23:06:00,42.00,1469.00,840.00,239.00,129.00,89.00,115.00,88.00,16.00,APPROVED
NY: ALBANY,01/02/2024 00:06:00,41.00,1458.00,832.00,236.00,127.00,89.00,112.00,89.00,15.00,APPROVED
NY: ALBANY,01/02/2024 01:07:00,43.00,1449.00,827.00,240.00,127.00,89.00,113.00,87.00,16.00,APPROVED
NY: ALBANY,01/02/2024 02:07:00,43.00,1441.00,829.00,234.00,122.00,85.00,111.00,88.00,16.00,APPROVED
NY: ALBANY,01/02/2024 03:07:00,45.00,1442.00,813.00,233.00,125.00,85.00,109.00,90.00,15.00,APPROVED
NY: ALBANY,01/02/2024 04:07:00,44.00,1434.00,818.00,232.00,125.00,85.00,109.00,89.00,16.00,APPROVED
NY: ALBANY,01/02/2024 05:08:00,43.00,1426.00,813.00,229.00,118.00,87.00,108.00,87.00,15.00,APPROVED
NY: ALBANY,01/02/2024 06:08:00,43.00,1423.00,800.00,225.00,123.00,84.00,108.00,84.00,14.00,APPROVED
NY: ALBANY,01/02/2024 07:08:00,43.00,1421.00,799.00,227.00,119.00,86.00,108.00,85.00,16.00,APPROVED
NY: ALBANY,01/02/2024 08:08:00,42.00,1423.00,801.00,228.00,121.00,86.00,107.00,85.00,15.00,APPROVED
NY: ALBANY,01/02/2024 09:08:00,44.00,1437.00,801.00,231.00,122.00,84.00,109.00,85.00,15.00,APPROVED
NY: ALBANY,01/02/2024 10:09:00,44.00,1434.00,808.00,227.00,122.00,86.00,109.00,86.00,15.00,APPROVED
NY: ALBANY,01/02/2024 11:09:00,44.00,1440.00,823.00,232.00,125.00,85.00,110.00,89.00,16.00,APPROVED
NY: ALBANY,01/02/2024 12:09:00,42.00,1435.00,821.00,229.00,126.00,86.00,110.00,86.00,16.00,APPROVED
NY: ALBANY,01/02/2024 13:09:00,43.00,1450.00,819.00,229.00,124.00,88.00,110.00,89.00,15.00,APPROVED
NY: ALBANY,01/02/2024 14:09:00,42.00,1430.00,820.00,231.00,123.00,87.00,110.00,87.00,15.00,APPROVED
NY: ALBANY,01/02/2024 15:10:00,43.00,1427.00,804.00,232.00,122.00,85.00,109.00,86.00,16.00,APPROVED
NY: ALBANY,01/02/2024 16:10:00,42.00,1435.00,808.00,231.00,124.00,85.00,109.00,87.00,15.00,APPROVED
NY: ALBANY,01/02/2024 17:10:00,43.00,1419.00,827.00,230.00,126.00,87.00,110.00,89.00,14.00,APPROVED
NY: ALBANY,01/02/2024 18:10:00,41.00,1430.00,829.00,234.00,127.00,88.00,110.00,89.00,14.00,APPROVED
NY: ALBANY,01/02/2024 19:10:00,42.00,1425.00,824.00,235.00,128.00,87.00,111.00,87.00,16.00,APPROVED
NY: ALBANY,01/02/2024 20:11:00,41.00,1425.00,831.00,237.00,126.00,87.00,114.00,87.00,15.00,APPROVED
NY: ALBANY,01/02/2024 21:11:00,41.00,1422.00,823.00,234.00,127.00,88.00,109.00,86.00,15.00,APPROVED
NY: ALBANY,01/02/2024 22:11:00,45.00,1441.00,831.00,240.00,130.00,89.00,112.00,89.00,16.00,APPROVED
NY: ALBANY,01/02/2024 23:11:00,43.00,1446.00,830.00,237.00,127.00,90.00,114.00,89.00,15.00,APPROVED
NY: ALBANY,01/03/2024 00:12:00,43.00,1449.00,833.00,233.00,128.00,85.00,112.00,89.00,15.00,APPROVED
NY: ALBANY,01/03/2024 01:12:00,44.00,1462.00,844.00,238.00,132.00,89.00,115.00,92.00,15.00,APPROVED
NY: ALBANY,01/03/2024 02:12:00,43.00,1478.00,860.00,242.00,133.00,92.00,116.00,92.00,17.00,APPROVED
NY: ALBANY,01/03/2024 03:12:00,45.00,1484.00,881.00,249.00,137.00,89.00,120.00,94.00,17.00,APPROVED
NY: ALBANY,01/03/2024 04:12:00,44.00,1485.00,879.00,251.00,137.00,91.00,119.00,90.00,17.00,APPROVED
NY: ALBANY,01/03/2024 05:13:00,45.00,1496.00,888.00,247.00,141.00,93.00,117.00,94.00,16.00,APPROVED
NY: ALBANY,01/03/2024 06:13:00,43.00,1508.00,895.00,253.00,147.00,93.00,122.00,92.00,16.00,APPROVED
NY: ALBANY,01/03/2024 07:13:00,44.00,1510.00,895.00,250.00,144.00,93.00,121.00,93.00,17.00,APPROVED
NY: ALBANY,01/03/2024 08:13:00,45.00,1498.00,912.00,255.00,143.00,93.00,120.00,96.00,18.00,APPROVED
NY: ALBANY,01/03/2024 09:13:00,46.00,1512.00,913.00,257.00,146.00,95.00,122.00,97.00,16.00,APPROVED
NY: ALBANY,01/03/2024 10:14:00,46.00,1540.00,927.00,261.00,150.00,95.00,126.00,97.00,18.00,APPROVED
NY: ALBANY,01/03/2024 11:14:00,44.00,1542.00,944.00,270.00,152.00,97.00,128.00,95.00,18.00,APPROVED
NY: ALBANY,01/03/2024 12:14:00,44.00,1552.00,952.00,265.00,154.00,101.00,128.00,98.00,18.00,APPROVED
NY: ALBANY,01/03/2024 13:14:00,44.00,1547.00,942.00,269.00,155.00,98.00,131.00,101.00,18.00,APPROVED
NY: ALBANY,01/03/2024 14:14:00,45.00,1540.00,951.00,265.00,153.00,99.00,129.00,99.00,18.00,APPROVED
NY: ALBANY,01/03/2024 15:15:00,44.00,1542.00,956.00,268.00,158.00,97.00,130.00,97.00,18.00,APPROVED
NY: ALBANY,01/03/2024 16:46:00,45.00,1486.00,843.00,236.00,125.00,87.00,114.00,89.00,15.00,APPROVED
NY: ALBANY,01/03/2024 17:46:00,43.00,1524.00,902.00,255.00,141.00,94.00,119.00,94.00,16.00,APPROVED
NY: ALBANY,01/03/2024 18:47:00,45.00,1541.00,928.00,256.00,149.00,99.00,127.00,94.00,17.00,APPROVED
NY: ALBANY,01/03/2024 19:47:00,45.00,1547.00,938.00,259.00,153.00,97.00,127.00,94.00,18.00,APPROVED
NY: ALBANY,01/03/2024 20:47:00,46.00,1536.00,936.00,262.00,151.00,97.00,124.00,95.00,17.00,APPROVED
NY: ALBANY,01/03/2024 21:47:00,44.00,1537.00,931.00,259.00,152.00,95.00,121.00,95.00,16.00,APPROVED
NY: ALBANY,01/03/2024 22:48:00,46.00,1547.00,929.00,259.00,149.00,95.00,127.00,96.00,16.00,APPROVED
NY: ALBANY,01/03/2024 23:48:00,46.00,1539.00,925.00,260.00,147.00,98.00,124.00,95.00,18.00,APPROVED
NY: ALBANY,01/04/2024 00:48:00,44.00,1547.00,919.00,257.00,146.00,94.00,124.00,94.00,18.00,APPROVED
NY: ALBANY,01/04/2024 01:48:00,45.00,1554.00,925.00,261.00,150.00,95.00,125.00,96.00,18.00,APPROVED
NY: ALBANY,01/04/2024 02:48:00,45.00,1547.00,929.00,253.00,148.00,97.00,124.00,95.00,17.00,APPROVED
NY: ALBANY,01/04/2024 03:49:00,44.00,1549.00,930.00,261.00,146.00,93.00,125.00,97.00,16.00,APPROVED
NY: ALBANY,01/04/2024 04:49:00,46.00,1547.00,923.00,259.00,149.00,98.00,128.00,97.00,18.00,APPROVED
NY: ALBANY,01/04/2024 05:49:00,46.00,1548.00,939.00,262.00,148.00,97.00,128.00,96.00,19.00,APPROVED
NY: ALBANY,01/04/2024 06:49:00,44.00,1553.00,932.00,263.00,152.00,97.00,124.00,94.00,16.00,APPROVED
