LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: NEW YORK CITY,01/01/2026 00:26:00,59.00,2226.00,1348.00,387.00,211.00,150.00,209.00,135.00,23.00,APPROVED
NY: NEW YORK CITY,01/01/2026 01:27:00,61.00,2235.00,1357.00,390.00,214.00,148.00,210.00,138.00,24.00,APPROVED
NY: NEW YORK CITY,01/01/2026 02:27:00,58.00,2247.00,1361.00,390.00,215.00,149.00,212.00,141.00,23.00,APPROVED
NY: NEW YORK CITY,01/01/2026 03:27:00,58.00,2256.00,1376.00,398.00,219.00,149.00,212.00,142.00,24.00,APPROVED
NY: NEW YORK CITY,01/01/2026 04:27:00,56.00,2266.00,1380.00,396.00,222.00,151.00,213.00,142.00,25.00,APPROVED
NY: NEW YORK CITY,01/01/2026 05:27:00,61.00,2245.00,1374.00,394.00,218.00,150.00,213.00,144.00,24.00,APPROVED
NY: NEW YORK CITY,01/01/2026 06:27:00,59.00,2248.00,1379.00,391.00,221.00,150.00,210.00,142.00,24.00,APPROVED
NY: NEW YORK CITY,01/01/2026 07:27:00,58.00,2252.00,1378.00,399.00,219.00,151.00,210.00,142.00,25.00,APPROVED
NY: NEW YORK CITY,01/01/2026 08:27:00,59.00,2245.00,1372.00,399.00,215.00,154.00,208.00,145.00,23.00,APPROVED
NY: NEW YORK CITY,01/01/2026 09:27:00,61.00,2248.00,1377.00,396.00,217.00,148.00,206.00,145.00,24.00,APPROVED
NY: NEW YORK CITY,01/01/2026 10:27:00,60.00,2265.00,1368.00,394.00,221.00,152.00,207.00,150.00,24.00,APPROVED
