LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ROCHESTER,01/01/2009 00:32:00,,2216.00,949.00,278.00,155.00,95.00,117.00,77.00,31.00,APPROVED
NY: ROCHESTER,01/01/2009 01:32:00,,2194.00,964.00,281.00,153.00,96.00,115.00,76.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 02:32:00,,2366.00,966.00,273.00,157.00,94.00,115.00,76.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 03:33:00,,2936.00,961.00,275.00,153.00,97.00,115.00,75.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 04:33:00,,3851.00,974.00,277.00,156.00,96.00,117.00,76.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 05:33:00,,20821.00,927.00,275.00,142.00,92.00,112.00,67.00,27.00,APPROVED
NY: ROCHESTER,01/01/2009 06:33:00,,30313.00,921.00,274.00,138.00,92.00,111.00,66.00,28.00,APPROVED
NY: ROCHESTER,01/01/2009 07:33:00,,32445.00,910.00,276.00,134.00,92.00,115.00,60.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 08:34:00,,13008.00,937.00,278.00,144.00,95.00,110.00,70.00,28.00,APPROVED
NY: ROCHESTER,01/01/2009 09:34:00,,2411.00,956.00,277.00,151.00,93.00,112.00,76.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 10:34:00,,2112.00,956.00,277.00,151.00,92.00,114.00,78.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 11:34:00,,2117.00,972.00,278.00,154.00,94.00,116.00,78.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 12:34:00,,2134.00,968.00,280.00,155.00,94.00,116.00,79.00,28.00,APPROVED
NY: ROCHESTER,01/01/2009 13:35:00,,2133.00,958.00,277.00,151.00,94.00,111.00,76.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 14:35:00,,2119.00,962.00,279.00,152.00,95.00,117.00,79.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 15:35:00,,2118.00,980.00,277.00,155.00,96.00,116.00,80.00,31.00,APPROVED
NY: ROCHESTER,01/01/2009 16:35:00,,2139.00,992.00,282.00,157.00,99.00,117.00,79.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 17:35:00,,2153.00,995.00,283.00,160.00,97.00,117.00,80.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 18:36:00,,2176.00,1006.00,285.00,159.00,98.00,121.00,77.00,31.00,APPROVED
NY: ROCHESTER,01/01/2009 19:36:00,,2168.00,999.00,286.00,161.00,98.00,117.00,80.00,29.00,APPROVED
NY: ROCHESTER,01/01/2009 20:36:00,,2155.00,1003.00,287.00,160.00,99.00,119.00,80.00,31.00,APPROVED
NY: ROCHESTER,01/01/2009 21:36:00,,2130.00,989.00,284.00,157.00,95.00,119.00,81.00,30.00,APPROVED
NY: ROCHESTER,01/01/2009 22:36:00,,2123.00,979.00,282.00,155.00,96.00,117.00,78.00,28.00,APPROVED
NY: ROCHESTER,01/01/2009 23:37:00,,2106.00,980.00,283.00,157.00,93.00,120.00,78.00,29.00,APPROVED
NY: ROCHESTER,01/02/2009 00:37:00,,2106.00,984.00,284.00,155.00,98.00,117.00,79.00,31.00,APPROVED
NY: ROCHESTER,01/02/2009 01:37:00,,2127.00,983.00,284.00,159.00,95.00,120.00,81.00,30.00,APPROVED
NY: ROCHESTER,01/02/2009 02:37:00,,2147.00,996.00,286.00,158.00,98.00,118.00,80.00,30.00,APPROVED
NY: ROCHESTER,01/02/2009 03:38:00,,2150.00,1000.00,284.00,158.00,97.00,121.00,80.00,31.00,APPROVED
NY: ROCHESTER,01/02/2009 04:38:00,,2166.00,1017.00,290.00,160.00,99.00,122.00,80.00,30.00,APPROVED
NY: ROCHESTER,01/02/2009 05:38:00,,2179.00,1025.00,292.00,162.00,100.00,123.00,82.00,31.00,APPROVED
NY: ROCHESTER,01/02/2009 06:38:00,,2211.00,1049.00,296.00,168.00,100.00,125.00,79.00,32.00,APPROVED
NY: ROCHESTER,01/02/2009 07:38:00,,2230.00,1054.00,302.00,172.00,101.00,127.00,83.00,33.00,APPROVED
NY: ROCHESTER,01/02/2009 08:39:00,,2256.00,1066.00,298.00,175.00,102.00,128.00,83.00,32.00,APPROVED
NY: ROCHESTER,01/02/2009 09:39:00,,2280.00,1081.00,301.00,173.00,101.00,128.00,84.00,32.00,APPROVED
NY: ROCHESTER,01/02/2009 10:39:00,,2302.00,1083.00,308.00,175.00,103.00,130.00,86.00,32.00,APPROVED
